rank,car_number,unique_id,completed_laps,elapsed_time,last_laptime,lap_status,best_laptime,best_lap,time_behind_leader,laps_behind_leade,time_behind_prec,laps_behind_prec,overall_rank,overall_best_laptime,current_status,track_status,pit_stop_count,last_pitted_lap,start_position,laps_led
1,9,0,0,0.0,90.6623,T,0.0,0,0.0,0,0.0,0,1,0.0,Active,G,0,0,1,0
2,20,1,0,0.1913,90.4851,T,0.0,0,0.1913,0,0.1913,0,2,0.0,Active,G,0,0,2,0
3,98,2,0,0.2394,90.0784,T,0.0,0,0.2394,0,0.0481,0,3,0.0,Active,G,0,0,3,0
4,26,3,0,0.6998,89.9021,T,0.0,0,0.6998,0,0.4604,0,4,0.0,Active,G,0,0,4,0
6,21,5,0,0.5763,87.8624,T,0.0,0,0.5763,0,0.5763,0,6,0.0,Active,G,0,0,6,0
5,29,4,0,0.787,88.9642,T,0.0,0,0.787,0,0.0872,0,5,0.0,Active,G,0,0,5,0
7,10,6,0,0.8574,86.8746,T,0.0,0,0.8574,0,0.2811,0,7,0.0,Active,G,0,0,7,0
8,27,7,0,0.914,86.5132,T,0.0,0,0.914,0,0.0566,0,8,0.0,Active,G,0,0,8,0
9,12,8,0,0.8286,85.3403,T,0.0,0,0.8286,0,0.0,0,9,0.0,Active,G,0,0,9,0
6,21,5,0,0.5763,87.8624,T,0.0,0,0.5763,0,0.0,0,6,0.0,Active,G,0,0,6,0
10,28,9,0,1.7042,85.6225,T,0.0,0,1.7042,0,0.8756,0,A,0.0,Active,G,0,0,A,0
11,19,A,0,1.7928,84.7532,T,0.0,0,1.7928,0,0.0886,0,B,0.0,Active,G,0,0,B,0
12,16,B,0,1.9644,84.3696,T,0.0,0,1.9644,0,0.1716,0,C,0.0,Active,G,0,0,C,0
14,15,D,0,1.9409,81.9579,T,0.0,0,1.9409,0,1.9409,0,E,0.0,Active,G,0,0,E,0
13,7,C,0,2.1569,83.7321,T,0.0,0,2.1569,0,0.1925,0,D,0.0,Active,G,0,0,D,0
15,8,E,0,2.2081,81.2655,T,0.0,0,2.2081,0,0.2672,0,F,0.0,Active,G,0,0,F,0
14,15,D,0,1.9409,81.9579,T,0.0,0,1.9409,0,0.0,0,E,0.0,Active,G,0,0,E,0
16,83,F,0,2.739,80.3671,T,0.0,0,2.739,0,0.5309,0,10,0.0,Active,G,0,0,10,0
17,5,10,0,2.7831,79.0812,T,0.0,0,2.7831,0,0.0441,0,11,0.0,Active,G,0,0,11,0
18,22,11,0,2.6832,77.9244,T,0.0,0,2.6832,0,0.0,0,12,0.0,Active,G,0,0,12,0
19,3,12,0,2.8845,77.4791,T,0.0,0,2.8845,0,0.2013,0,13,0.0,Active,G,0,0,13,0
20,77,13,0,2.9296,76.8812,T,0.0,0,2.9296,0,0.0451,0,14,0.0,Active,G,0,0,14,0
22,2,15,0,2.9931,75.6376,T,0.0,0,2.9931,0,2.9931,0,16,0.0,Active,G,0,0,16,0
21,24,14,0,3.0458,76.4657,T,0.0,0,3.0458,0,0.1162,0,15,0.0,Active,G,0,0,15,0
23,1,16,0,3.02,74.5556,T,0.0,0,3.02,0,0.0269,0,17,0.0,Active,G,0,0,17,0
24,14,17,0,3.1207,74.3793,T,0.0,0,3.1207,0,0.1007,0,18,0.0,Active,G,0,0,18,0
25,88,18,0,3.2792,73.3118,T,0.0,0,3.2792,0,0.1585,0,19,0.0,Active,G,0,0,19,0
26,4,19,0,3.355,73.0833,T,0.0,0,3.355,0,0.0758,0,1A,0.0,Active,G,0,0,1A,0
27,50,1A,0,3.3693,72.2963,T,0.0,0,3.3693,0,0.0143,0,1B,0.0,Active,G,0,0,1B,0
29,11,1C,0,3.6545,70.3503,T,0.0,0,3.6545,0,3.6545,0,1D,0.0,Active,G,0,0,1D,0
22,2,15,0,2.9931,75.6376,T,0.0,0,2.9931,0,0.0,0,16,0.0,Active,G,0,0,16,0
28,63,1B,0,3.8657,70.9961,T,0.0,0,3.8657,0,0.4964,0,1C,0.0,Active,G,0,0,1C,0
30,44,1D,0,3.8457,68.7127,T,0.0,0,3.8457,0,0.1912,0,1E,0.0,Active,G,0,0,1E,0
31,17,1E,0,3.8879,68.3551,T,0.0,0,3.8879,0,0.0422,0,1F,0.0,Active,G,0,0,1F,0
32,40,1F,0,4.0599,67.9933,T,0.0,0,4.0599,0,0.172,0,20,0.0,Active,G,0,0,20,0
33,18,20,0,4.3087,67.6815,T,0.0,0,4.3087,0,0.2488,0,21,0.0,Active,G,0,0,21,0
29,11,1C,0,3.6545,70.3503,T,0.0,0,3.6545,0,0.0,0,1D,0.0,Active,G,0,0,1D,0
