command,type,sequence_number,preamble,rank,car_number,unique_id,completed_laps,elapsed_time,last_laptime,lap_status,best_laptime,best_lap,time_behind_leader,laps_behind_leader,time_behind_prec,laps_behind_prec,overall_rank,overall_best_laptime,current_status,track_status,pit_stop_count,last_pitted_lap,start_position,laps_led
$C,U,0,S10,1,9,0,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,1,0.0,Active,G,0,0,1,0
$C,R,0,S10,1,9,0,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,1,0.0,Active,G,0,0,1,0
$C,U,0,S10,1,9,0,0,3.3695833333333334,0.0,T,0.0,0,0.0,0,0.0,0,1,0.0,Active,G,0,0,1,0
$C,R,0,S10,1,9,0,0,3.3695833333333334,0.0,T,0.0,0,0.0,0,0.0,0,1,0.0,Active,G,0,0,1,0
$C,U,1,S10,1,9,0,1,6.752793333333333,3.38321,T,3.38321,1,0.0,0,0.0,0,1,3.38321,Active,G,0,0,1,0
$C,U,2,S10,1,9,0,2,10.208211666666667,3.4554183333333333,P,3.38321,1,0.0,0,0.0,0,1,3.38321,Active,G,1,2,1,0
$C,U,0,R.I,1,20,0,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,1,0.0,Active,U,0,0,1,0
$C,U,65536,R.I,2,22,1,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,2,0.0,Active,U,0,0,2,0
$C,U,131072,R.I,3,12,2,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,3,0.0,Active,U,0,0,3,0
$C,U,196608,R.I,4,1,3,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,4,0.0,Active,U,0,0,4,0
$C,U,262144,R.I,5,18,4,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,5,0.0,Active,U,0,0,5,0
$C,U,327680,R.I,6,21,5,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,6,0.0,Active,U,0,0,6,0
$C,U,393216,R.I,7,13,6,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,7,0.0,Active,U,0,0,7,0
$C,U,458752,R.I,8,3,7,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,8,0.0,Active,U,0,0,8,0
$C,U,524288,R.I,9,9,8,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,9,0.0,Active,U,0,0,9,0
$C,U,589824,R.I,10,14,9,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,10,0.0,Active,U,0,0,10,0
$C,U,655360,R.I,11,4,10,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,11,0.0,Active,U,0,0,11,0
$C,U,720896,R.I,12,98,11,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,12,0.0,Active,U,0,0,12,0
$C,U,786432,R.I,13,19,12,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,13,0.0,Active,U,0,0,13,0
$C,U,851968,R.I,14,28,13,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,14,0.0,Active,U,0,0,14,0
$C,U,917504,R.I,15,23,14,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,15,0.0,Active,U,0,0,15,0
$C,U,983040,R.I,16,30,15,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,16,0.0,Active,U,0,0,16,0
$C,U,1048576,R.I,17,32,16,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,17,0.0,Active,U,0,0,17,0
$C,U,1114112,R.I,18,6,17,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,18,0.0,Active,U,0,0,18,0
$C,U,1179648,R.I,19,33,18,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,19,0.0,Active,U,0,0,19,0
$C,U,1245184,R.I,20,59,19,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,20,0.0,Active,U,0,0,20,0
$C,U,1310720,R.I,21,29,20,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,21,0.0,Active,U,0,0,21,0
$C,U,1376256,R.I,22,88,21,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,22,0.0,Active,U,0,0,22,0
$C,U,1441792,R.I,23,25,22,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,23,0.0,Active,U,0,0,23,0
$C,U,1507328,R.I,24,24,23,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,24,0.0,Active,U,0,0,24,0
$C,U,1572864,R.I,25,26,24,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,25,0.0,Active,U,0,0,25,0
$C,U,1638400,R.I,26,64,25,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,26,0.0,Active,U,0,0,26,0
$C,U,1703936,R.I,27,66,26,0,0.0,0.0,T,0.0,0,0.0,0,0.0,0,27,0.0,Active,U,0,0,27,0
