,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
0,1,27,1,3161.7472,0.0,0.0
52,1,28,1,3232.5006,0.0,70.75340000000006
112,1,29,1,3302.7415,0.0,70.24090000000024
171,1,30,1,3372.7543,0.0,70.01279999999997
233,1,31,1,3443.2965,0.0,70.54219999999987
297,1,32,1,3514.0768,0.0,70.7802999999999
358,1,33,1,3584.7718,0.0,70.69500000000016
418,1,34,1,3655.393,0.0,70.62120000000004
478,1,35,1,3725.953,0.0,70.55999999999995
536,1,36,1,3796.4888,0.0,70.53580000000011
603,1,37,1,3867.086,0.0,70.5971999999997
664,1,38,1,3937.907,0.0,70.82100000000037
727,1,39,1,4008.9393,0.0,71.03229999999985
786,1,40,1,4080.0447,0.0,71.10539999999992
847,1,41,1,4151.2570000000005,0.0,71.2123000000006
911,1,42,1,4222.5355,0.0,71.27849999999944
977,1,43,1,4293.8274,0.0,71.29190000000017
1039,1,44,1,4365.1774,0.0,71.34999999999945
1100,1,45,1,4436.6267,0.0,71.44930000000022
1164,1,46,1,4507.9664,0.0,71.33970000000045
1226,1,47,1,4579.6885,0.0,71.72209999999995
1290,1,48,1,4651.5535,0.0,71.86499999999978
1355,1,49,1,4733.6501,0.0,82.09659999999985
1455,1,50,5,4823.4076,4.0,89.75749999999971
1522,1,51,4,4894.7885,-1.0,71.38090000000011
1589,1,52,2,4966.0902,-2.0,71.30169999999998
1653,1,53,2,5037.0345,0.0,70.94430000000011
1734,1,54,2,5107.8653,0.0,70.83080000000064
1778,1,55,1,5178.4701,-1.0,70.60479999999916
1842,1,56,1,5249.0588,0.0,70.58870000000024
1906,1,57,1,5319.6675,0.0,70.60869999999977
1982,1,58,1,5390.9818,0.0,71.3143
2053,1,59,1,5462.1164,0.0,71.13460000000032
2116,1,60,1,5533.4267,0.0,71.3103000000001
2179,1,61,1,5604.8518,0.0,71.42510000000038
2243,1,62,1,5676.3946,0.0,71.54279999999926
2306,1,63,1,5748.0897,0.0,71.69510000000082
2367,1,64,1,5820.8181,0.0,72.72839999999997
2429,1,65,1,5892.9951,0.0,72.17699999999968
2495,1,66,1,5964.2395,0.0,71.24439999999959
2558,1,67,1,6035.9438,0.0,71.70430000000033
2625,1,68,1,6107.8067,0.0,71.86290000000008
2683,1,69,1,6180.0518,0.0,72.2451000000001
2741,1,70,1,6252.8035,0.0,72.7516999999998
2805,1,71,1,6338.4552,0.0,85.65170000000035
2896,1,72,2,6435.2314,1.0,96.77619999999933
2967,1,73,3,6519.2551,1.0,84.02370000000064
3035,1,74,2,6602.9586,-1.0,83.70349999999962
3113,1,75,2,6687.1733,0.0,84.21470000000045
3169,1,76,1,6771.6823,-1.0,84.50900000000001
3241,1,77,1,6854.9871,0.0,83.30479999999989
3310,1,78,1,6938.5215,0.0,83.53439999999955
3374,1,79,1,7022.0168,0.0,83.4953000000005
3436,1,80,1,7107.2375,0.0,85.22069999999985
3497,1,81,1,7190.3325,0.0,83.09500000000025
3559,1,82,1,7274.4486,0.0,84.11609999999928
20,4,26,17,3055.7183,0.0,0.0
46,4,27,17,3167.7741,0.0,112.05580000000009
101,4,28,16,3241.8818,-1.0,74.10770000000002
161,4,29,16,3315.0057,0.0,73.12390000000005
221,4,30,15,3388.3916,-1.0,73.38589999999976
285,4,31,15,3460.7323,0.0,72.3407000000002
347,4,32,14,3533.3602,-1.0,72.62789999999995
407,4,33,14,3604.9011,0.0,71.54089999999997
467,4,34,14,3676.5290000000005,0.0,71.62790000000041
526,4,35,14,3748.0559999999996,0.0,71.52699999999913
587,4,36,13,3819.7876,-1.0,71.73160000000053
651,4,37,13,3892.0283,0.0,72.24069999999983
712,4,38,13,3964.409,0.0,72.38070000000016
773,4,39,13,4036.7514,0.0,72.3424
832,4,40,13,4108.8009,0.0,72.04950000000008
897,4,41,13,4181.2007,0.0,72.39980000000014
959,4,42,12,4253.8199,-1.0,72.61920000000009
