,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
2,1,0,3,0.145,0.0,0.0
43,1,1,4,33.6488,1.0,33.5038
111,1,2,4,92.9615,0.0,59.3127
163,1,3,4,159.0254,0.0,66.06389999999999
219,1,4,4,227.3404,0.0,68.315
271,1,5,4,293.29400000000004,0.0,65.95360000000005
325,1,6,4,355.8509,0.0,62.556899999999985
358,1,7,4,401.1358,0.0,45.28489999999999
416,1,8,3,428.2859,-1.0,27.15010000000001
466,1,9,3,454.8254,0.0,26.539499999999975
516,1,10,3,480.6858,0.0,25.86039999999997
567,1,11,3,506.4598,0.0,25.774
618,1,12,3,532.2847,0.0,25.82490000000007
667,1,13,3,557.9685,0.0,25.683799999999906
718,1,14,3,583.6717,0.0,25.703200000000038
770,1,15,3,609.3382,0.0,25.666500000000042
823,1,16,3,634.9619,0.0,25.623699999999985
876,1,17,3,660.6053,0.0,25.643400000000042
928,1,18,3,686.4268,0.0,25.8214999999999
981,1,19,3,712.3216,0.0,25.894800000000032
1033,1,20,3,738.0238,0.0,25.70220000000006
1087,1,21,3,763.7796,0.0,25.75579999999991
1143,1,22,3,789.5930000000001,0.0,25.813400000000115
1198,1,23,3,815.4957,0.0,25.90269999999998
1252,1,24,3,841.4035,0.0,25.907799999999952
1307,1,25,3,867.372,0.0,25.96849999999995
1362,1,26,3,893.1954,0.0,25.823399999999992
1416,1,27,3,919.0919,0.0,25.89650000000006
1471,1,28,3,945.0322,0.0,25.94029999999998
1527,1,29,3,971.0339,0.0,26.001700000000028
1583,1,30,3,996.9166,0.0,25.8827
1639,1,31,3,1022.9577,0.0,26.04110000000003
1693,1,32,3,1049.0261,0.0,26.068399999999997
1748,1,33,3,1075.0578,0.0,26.0317
1804,1,34,3,1101.0221,0.0,25.964299999999866
1859,1,35,3,1126.8679,0.0,25.845800000000054
1915,1,36,3,1152.829,0.0,25.961099999999988
1970,1,37,3,1178.8904,0.0,26.06140000000005
2026,1,38,3,1204.8714,0.0,25.980999999999995
2083,1,39,3,1230.8442,0.0,25.972800000000007
2138,1,40,3,1256.8406,0.0,25.996399999999994
2192,1,41,3,1282.7767,0.0,25.936099999999897
2247,1,42,3,1308.7392,0.0,25.96250000000009
2302,1,43,3,1334.7969,0.0,26.057700000000068
2358,1,44,3,1360.9323,0.0,26.13539999999989
2413,1,45,3,1387.0519,0.0,26.11959999999999
2470,1,46,3,1413.1992,0.0,26.147300000000087
2525,1,47,3,1439.2994,0.0,26.100200000000086
2579,1,48,3,1465.5042,0.0,26.204799999999977
2635,1,49,4,1492.2981,1.0,26.793899999999894
2689,1,50,4,1518.4886,0.0,26.19049999999993
2744,1,51,4,1544.5667,0.0,26.078100000000177
2797,1,52,4,1570.5634,0.0,25.99669999999992
2851,1,53,4,1596.6242,0.0,26.060799999999972
2906,1,54,4,1622.9717,0.0,26.347500000000082
2959,1,55,4,1649.1175,0.0,26.14580000000001
3016,1,56,4,1675.2596,0.0,26.142100000000028
3069,1,57,4,1701.2036,0.0,25.94399999999996
3136,1,58,4,1727.3325,0.0,26.12889999999993
3211,1,59,9,1765.9506,5.0,38.61809999999991
3318,1,60,10,1814.3508,1.0,48.40020000000004
3356,1,61,8,1840.5008,-2.0,26.15000000000009
3419,1,62,7,1866.2969,-1.0,25.796100000000024
3481,1,63,6,1892.0194,-1.0,25.722499999999854
3539,1,64,5,1917.9657,-1.0,25.946300000000065
3608,1,65,4,1943.76,-1.0,25.79430000000002
3682,1,66,4,1969.6485,0.0,25.888500000000022
3739,1,67,4,1995.6191,0.0,25.970599999999877
3796,1,68,4,2021.8061,0.0,26.187000000000126
3852,1,69,4,2047.753,0.0,25.946899999999914
3908,1,70,4,2073.5155,0.0,25.762500000000045
3964,1,71,4,2099.2774,0.0,25.76189999999997
4020,1,72,4,2124.9729,0.0,25.695500000000266
4077,1,73,4,2150.7093,0.0,25.736399999999776
4134,1,74,4,2176.549,0.0,25.839699999999993
4190,1,75,4,2202.2666,0.0,25.717599999999948
4246,1,76,4,2228.0303,0.0,25.76369999999997
4301,1,77,4,2253.9363,0.0,25.90599999999995
4356,1,78,4,2279.7399,0.0,25.803600000000188
4412,1,79,4,2305.5691,0.0,25.829200000000128
4467,1,80,4,2331.4437,0.0,25.874599999999646
4522,1,81,4,2357.2234,0.0,25.779700000000048
4575,1,82,4,2383.1253,0.0,25.901900000000296
4628,1,83,4,2408.9863,0.0,25.860999999999876
4681,1,84,4,2435.1082,0.0,26.121900000000096
4734,1,85,4,2461.0924,0.0,25.984199999999873
4787,1,86,4,2487.0209,0.0,25.928499999999985
4840,1,87,4,2512.9895,0.0,25.96860000000015
4894,1,88,4,2539.0894,0.0,26.099899999999707
4944,1,89,4,2565.1101,0.0,26.020700000000033
4998,1,90,4,2591.1522,0.0,26.04210000000012
5050,1,91,4,2617.1999,0.0,26.047700000000077
5102,1,92,4,2643.2606,0.0,26.060699999999997
5153,1,93,4,2669.5784,0.0,26.317799999999806
5202,1,94,4,2695.9374,0.0,26.358999999999924
5255,1,95,4,2722.132,0.0,26.194600000000264
5305,1,96,4,2748.687,0.0,26.554999999999836
5358,1,97,4,2775.0939,0.0,26.40689999999995
5411,1,98,4,2801.4025,0.0,26.308600000000297
5462,1,99,4,2827.7518,0.0,26.349299999999857
5514,1,100,4,2854.2098,0.0,26.458000000000084
5564,1,101,4,2880.3434,0.0,26.133600000000115
5615,1,102,4,2906.7846,0.0,26.441199999999753
5670,1,103,4,2933.2254,0.0,26.440799999999854
5722,1,104,4,2959.672,0.0,26.446600000000217
5775,1,105,4,2986.0758,0.0,26.403800000000047
5829,1,106,4,3012.4959999999996,0.0,26.420199999999568
5876,1,107,4,3038.8144,0.0,26.318400000000565
5928,1,108,4,3065.1699,0.0,26.355499999999665
5976,1,109,4,3091.5559,0.0,26.385999999999967
6032,1,110,4,3117.7497,0.0,26.19380000000001
6085,1,111,4,3143.9109999999996,0.0,26.161299999999756
6137,1,112,4,3170.1067,0.0,26.195700000000215
6193,1,113,4,3196.3007,0.0,26.19399999999996
6247,1,114,4,3222.5559,0.0,26.25520000000006
6295,1,115,4,3248.7059,0.0,26.15000000000009
6350,1,116,4,3274.6958,0.0,25.989900000000034
6408,1,117,4,3300.9289,0.0,26.233099999999922
6464,1,118,4,3327.5305,0.0,26.601599999999962
6523,1,119,4,3356.6166,0.0,29.086099999999988
6592,1,120,3,3395.9392,-1.0,39.322599999999966
6713,1,121,9,3444.5319,6.0,48.59270000000015
6773,1,122,9,3470.8021,0.0,26.27019999999993
6809,1,123,9,3496.7038,0.0,25.90169999999989
6864,1,124,9,3522.7915,0.0,26.08770000000004
6920,1,125,7,3548.7053,-2.0,25.913800000000265
6982,1,126,7,3574.8631,0.0,26.157799999999952
7045,1,127,6,3601.018,-1.0,26.154899999999998
7105,1,128,6,3627.1136,0.0,26.095600000000104
7157,1,129,6,3653.2024,0.0,26.088799999999992
7210,1,130,6,3679.3559999999998,0.0,26.153599999999642
7263,1,131,6,3705.6353,0.0,26.27930000000015
7316,1,132,6,3731.7531,0.0,26.11779999999999
7370,1,133,6,3757.9273,0.0,26.174199999999928
7423,1,134,6,3784.0658,0.0,26.138500000000022
7477,1,135,6,3810.3194,0.0,26.253600000000006
7528,1,136,6,3836.7975,0.0,26.478100000000268
7581,1,137,6,3863.0616,0.0,26.26409999999987
7631,1,138,6,3889.2855,0.0,26.223899999999958
7683,1,139,6,3915.6936,0.0,26.408100000000104
7737,1,140,6,3942.1522,0.0,26.458599999999933
7789,1,141,6,3968.3608,0.0,26.208599999999933
7844,1,142,5,3996.6231,-1.0,28.26229999999987
7899,1,143,5,4023.0689,0.0,26.445800000000418
7956,1,144,5,4049.3396,0.0,26.27069999999958
8007,1,145,5,4075.7866,0.0,26.447000000000116
8058,1,146,5,4102.2534,0.0,26.466799999999694
8109,1,147,5,4128.6744,0.0,26.421000000000276
8162,1,148,5,4155.067,0.0,26.39260000000013
8213,1,149,5,4181.4633,0.0,26.396300000000338
8264,1,150,5,4208.0072,0.0,26.543899999999667
8320,1,151,5,4234.4186,0.0,26.411399999999958
8375,1,152,5,4260.8045,0.0,26.38590000000022
8432,1,153,5,4287.4119,0.0,26.60739999999987
8486,1,154,5,4314.0165,0.0,26.604599999999664
8543,1,155,5,4340.3232,0.0,26.30670000000009
8599,1,156,5,4366.8231,0.0,26.499899999999798
8657,1,157,5,4393.3639,0.0,26.540800000000672
8714,1,158,5,4419.8176,0.0,26.453700000000026
8773,1,159,5,4446.1832,0.0,26.365600000000086
8828,1,160,5,4472.5059,0.0,26.322699999999713
8887,1,161,5,4499.0378,0.0,26.53189999999995
8943,1,162,5,4525.3758,0.0,26.337999999999738
8998,1,163,5,4551.5139,0.0,26.138100000000122
9052,1,164,5,4577.7301,0.0,26.216199999999844
9107,1,165,5,4604.1824,0.0,26.452299999999923
9160,1,166,5,4630.4239,0.0,26.241500000000087
9214,1,167,5,4656.725,0.0,26.301100000000588
9267,1,168,5,4683.2213,0.0,26.496299999999792
9320,1,169,5,4709.6462,0.0,26.42489999999998
9373,1,170,5,4736.0198,0.0,26.373599999999897
9428,1,171,5,4762.5302,0.0,26.510400000000118
9482,1,172,4,4789.3933,-1.0,26.863099999999577
9542,1,173,4,4828.7742,0.0,39.38090000000011
9598,1,174,4,4873.3738,0.0,44.599600000000464
9654,1,175,4,4940.9957,0.0,67.6219000000001
9711,1,176,4,5007.0033,0.0,66.00759999999991
9755,1,177,3,5067.7789,-1.0,60.77559999999994
9819,1,178,4,5135.2538,1.0,67.47490000000016
9874,1,179,4,5196.1926,0.0,60.9387999999999
9926,1,180,4,5260.9082,0.0,64.71559999999954
9975,1,181,4,5325.6468,0.0,64.73860000000059
10033,1,182,4,5388.9085,0.0,63.26169999999911
10092,1,183,4,5441.6721,0.0,52.763600000000224
10143,1,184,5,5469.6139,1.0,27.941800000000512
10194,1,185,5,5495.7972,0.0,26.18329999999969
10245,1,186,5,5522.0276,0.0,26.230400000000373
10296,1,187,5,5548.2811,0.0,26.253499999999804
10346,1,188,5,5574.8481,0.0,26.567000000000007
10400,1,189,5,5601.1198,0.0,26.271700000000237
10451,1,190,5,5627.4118,0.0,26.29199999999946
10502,1,191,5,5653.8421,0.0,26.43029999999999
10554,1,192,5,5680.5067,0.0,26.664600000000064
10605,1,193,5,5707.0898,0.0,26.58309999999983
10654,1,194,5,5733.9012,0.0,26.811400000000503
10704,1,195,6,5761.2411,1.0,27.339899999999943
10755,1,196,8,5788.8874,2.0,27.646299999999428
10807,1,197,8,5816.1652,0.0,27.277800000000752
10857,1,198,8,5842.7607,0.0,26.595499999999447
10911,1,199,8,5869.639,0.0,26.87830000000031
10964,1,200,8,5896.2318,0.0,26.592799999999443
11013,1,201,8,5922.753000000001,0.0,26.521200000001045
11062,1,202,8,5949.1191,0.0,26.36609999999928
11114,1,203,8,5975.9093,0.0,26.790200000000368
11166,1,204,8,6002.1943,0.0,26.284999999999854
11219,1,205,8,6028.2447,0.0,26.05040000000008
11272,1,206,8,6054.4266,0.0,26.181899999999587
11326,1,207,8,6081.6116,0.0,27.1850000000004
11377,1,208,8,6108.1768,0.0,26.565200000000004
11426,1,209,8,6134.9334,0.0,26.756599999999708
11479,1,210,8,6162.1987,0.0,27.265300000000025
11531,1,211,8,6188.4504,0.0,26.2516999999998
11584,1,212,8,6214.2485,0.0,25.798099999999977
11637,1,213,8,6240.6181,0.0,26.36959999999999
11688,1,214,8,6266.9301,0.0,26.311999999999898
11739,1,215,7,6293.085,-1.0,26.154900000000453
11793,1,216,7,6318.6064,0.0,25.52139999999963
11846,1,217,7,6343.8997,0.0,25.293300000000272
