,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
5,1,0,6,0.535,0.0,0.0
51,1,1,4,86.9998,-2.0,86.4648
170,1,2,4,212.8039,0.0,125.8041
236,1,3,4,328.1531,0.0,115.3492
308,1,4,4,436.1127,0.0,107.95960000000002
374,1,5,4,509.7733,0.0,73.66059999999999
435,1,6,4,581.6537,0.0,71.88039999999995
501,1,7,4,653.5183,0.0,71.8646
569,1,8,4,725.316,0.0,71.79770000000008
637,1,9,4,797.2237,0.0,71.90769999999998
709,1,10,4,869.2254,0.0,72.00170000000003
777,1,11,4,940.9864,0.0,71.76099999999997
845,1,12,4,1012.9910000000001,0.0,72.0046000000001
915,1,13,4,1084.8339999999998,0.0,71.84299999999973
984,1,14,4,1156.7536,0.0,71.91960000000017
1057,1,15,4,1228.6011,0.0,71.84750000000008
1133,1,16,4,1300.5514,0.0,71.95029999999997
1204,1,17,4,1372.5174,0.0,71.9659999999999
1278,1,18,4,1444.6115,0.0,72.09410000000003
1344,1,19,4,1516.7274,0.0,72.11590000000001
1398,1,20,2,1588.7318,-2.0,72.00440000000003
1466,1,21,1,1660.4155,-1.0,71.68370000000004
1582,1,22,2,1743.0846,1.0,82.66909999999984
1710,1,23,8,1839.0216,6.0,95.93700000000013
1782,1,24,5,1911.9696,-3.0,72.94799999999987
1871,1,25,5,1984.7179,0.0,72.7483000000002
1946,1,26,4,2057.4247,-1.0,72.70679999999993
2023,1,27,4,2130.002,0.0,72.57729999999992
2099,1,28,4,2203.5092,0.0,73.50720000000001
2167,1,29,4,2276.17,0.0,72.66080000000011
2237,1,30,4,2348.6518,0.0,72.48180000000002
2304,1,31,4,2421.1672,0.0,72.51539999999977
2372,1,32,4,2493.7614,0.0,72.5942
2437,1,33,4,2566.2638,0.0,72.5024000000003
2502,1,34,4,2638.7163,0.0,72.45249999999987
2571,1,35,4,2711.2187,0.0,72.50239999999985
2638,1,36,4,2783.7211,0.0,72.5024000000003
2712,1,37,4,2856.3615,0.0,72.64039999999977
2805,1,38,5,2939.1946,1.0,82.83309999999983
2923,1,39,12,3034.4829999999997,7.0,95.28839999999991
2997,1,40,10,3106.8307,-2.0,72.34770000000026
3079,1,41,9,3178.9561,-1.0,72.1253999999999
3155,1,42,6,3251.0752,-3.0,72.11910000000034
3244,1,43,6,3323.0558,0.0,71.98059999999987
3324,1,44,5,3395.32,-1.0,72.26420000000007
3403,1,45,5,3467.4017,0.0,72.08169999999973
3480,1,46,5,3539.4978,0.0,72.0961000000002
3545,1,47,4,3611.5087,-1.0,72.01089999999976
3619,1,48,4,3683.8292,0.0,72.32050000000027
3684,1,49,4,3756.0731,0.0,72.24389999999994
3752,1,50,4,3828.1187,0.0,72.04559999999992
3823,1,51,4,3900.1599,0.0,72.04120000000012
3889,1,52,4,3972.4531,0.0,72.29320000000007
3959,1,53,4,4044.6219,0.0,72.16879999999992
4024,1,54,4,4116.9691,0.0,72.34720000000016
4143,1,55,21,4258.0577,17.0,141.08860000000004
4209,1,56,21,4336.9305,0.0,78.8728000000001
4275,1,57,21,4410.0101,0.0,73.07960000000003
4337,1,58,12,4508.5736,-9.0,98.5634999999993
4447,1,59,19,4640.1344,7.0,131.5608000000002
4512,1,60,19,4768.2207,0.0,128.08629999999994
4576,1,61,19,4871.6165,0.0,103.39580000000024
4635,1,62,19,4944.8114,0.0,73.1948999999995
4699,1,63,18,5018.1112,-1.0,73.29980000000069
4764,1,64,17,5092.2946,-1.0,74.18339999999989
4834,1,65,16,5165.4234,-1.0,73.1287999999995
4901,1,66,15,5238.9571,-1.0,73.53369999999995
4964,1,67,15,5311.5096,0.0,72.55250000000069
5029,1,68,15,5384.7699,0.0,73.26029999999992
5093,1,69,14,5458.2308,-1.0,73.46090000000004
5158,1,70,14,5530.7469,0.0,72.51609999999982
5228,1,71,12,5602.9495,-2.0,72.20259999999962
5299,1,72,12,5674.7583,0.0,71.8088000000007
5369,1,73,12,5746.5751,0.0,71.8167999999996
5435,1,74,12,5818.5103,0.0,71.9351999999999
5502,1,75,12,5890.3215,0.0,71.8112000000001
5569,1,76,12,5962.2773,0.0,71.95579999999973
5636,1,77,12,6034.2026,0.0,71.92529999999988
5704,1,78,12,6106.1494,0.0,71.94680000000062
5771,1,79,12,6177.8653,0.0,71.71590000000015
5839,1,80,12,6249.6544,0.0,71.78909999999996
5905,1,81,12,6321.6630000000005,0.0,72.00860000000011
5970,1,82,12,6394.9147,0.0,73.2516999999998
6033,1,83,11,6466.8389,-1.0,71.92419999999947
6101,1,84,11,6539.0003,0.0,72.16139999999996
6176,1,85,11,6610.4567,0.0,71.45640000000003
9,3,0,10,0.7769,0.0,0.0
60,3,1,7,88.7749,-3.0,87.998
176,3,2,7,216.1033,0.0,127.32839999999999
242,3,3,7,331.6344,0.0,115.53110000000004
313,3,4,7,437.4978,0.0,105.86339999999996
380,3,5,7,511.5561,0.0,74.05830000000003
442,3,6,8,584.7789,1.0,73.2228
511,3,7,9,657.9988,1.0,73.21989999999994
582,3,8,10,731.4194,1.0,73.42060000000004
652,3,9,11,804.6872,1.0,73.26779999999997
723,3,10,11,877.6304,0.0,72.94320000000005
790,3,11,11,950.4369,0.0,72.80650000000003
859,3,12,11,1023.0458,0.0,72.60889999999995
927,3,13,11,1095.7554,0.0,72.70960000000002
998,3,14,11,1168.3179,0.0,72.5625
1093,3,15,19,1262.9127,8.0,94.59480000000008
1168,3,16,20,1348.9368,1.0,86.02409999999986
1234,3,17,18,1420.7876,-2.0,71.85080000000016
1305,3,18,18,1492.28,0.0,71.49239999999986
1377,3,19,18,1564.0259,0.0,71.74590000000012
1449,3,20,17,1635.6794,-1.0,71.6534999999999
1543,3,21,17,1707.4419,0.0,71.76250000000005
1633,3,22,16,1779.5606,-1.0,72.11869999999999
1724,3,23,15,1851.7669,-1.0,72.20630000000006
1811,3,24,13,1924.7739,-2.0,73.00699999999983
1887,3,25,12,1997.2228,-1.0,72.4489000000001
1967,3,26,11,2069.5417,-1.0,72.31890000000021
2038,3,27,11,2142.4809,0.0,72.9391999999998
2112,3,28,11,2215.5313,0.0,73.05040000000008
2178,3,29,10,2287.9346,-1.0,72.40329999999994
2248,3,30,10,2359.9451,0.0,72.01049999999987
2316,3,31,10,2432.199,0.0,72.25390000000016
2383,3,32,10,2504.2766,0.0,72.07760000000007
2448,3,33,10,2576.5412,0.0,72.26459999999997
2515,3,34,10,2648.9027,0.0,72.36149999999998
2581,3,35,10,2721.7587,0.0,72.85599999999977
2647,3,36,9,2793.8044,-1.0,72.04570000000012
2719,3,37,6,2865.9999,-3.0,72.19549999999981
2844,3,38,13,2958.8985,7.0,92.89859999999999
2934,3,39,16,3044.5648,3.0,85.66630000000032
3015,3,40,15,3116.0838,-1.0,71.51899999999978
3091,3,41,13,3187.6163,-2.0,71.53250000000025
3179,3,42,12,3259.2387,-1.0,71.62239999999974
3253,3,43,10,3331.3914,-2.0,72.1527000000001
3336,3,44,9,3403.6713,-1.0,72.2799
3411,3,45,9,3475.9088,0.0,72.23750000000018
3487,3,46,9,3547.8563,0.0,71.94749999999976
3561,3,47,9,3620.0288,0.0,72.17250000000013
3630,3,48,9,3692.3117,0.0,72.28290000000015
3695,3,49,9,3764.9843,0.0,72.67259999999987
3762,3,50,8,3837.5715,-1.0,72.58719999999994
3832,3,51,8,3909.8948,0.0,72.32330000000002
3899,3,52,8,3982.0253,0.0,72.13049999999976
3969,3,53,8,4054.0679999999998,0.0,72.04269999999997
4034,3,54,8,4126.5284,0.0,72.46040000000039
4102,3,55,7,4200.0119,-1.0,73.48350000000028
4180,3,56,7,4282.5613,0.0,82.54939999999988
4248,3,57,7,4387.234,0.0,104.67270000000008
4348,3,58,13,4511.4692,6.0,124.23519999999917
4403,3,59,6,4626.7608,-7.0,115.29160000000047
4490,3,60,6,4755.5734,0.0,128.8126000000002
4556,3,61,6,4864.8867,0.0,109.3132999999998
4615,3,62,6,4937.3364,0.0,72.44970000000012
4679,3,63,6,5009.4026,0.0,72.06620000000021
4742,3,64,6,5081.752,0.0,72.34940000000006
4813,3,65,6,5153.9701,0.0,72.21809999999914
4884,3,66,6,5226.258,0.0,72.28790000000026
4949,3,67,6,5298.6126,0.0,72.35460000000057
5013,3,68,6,5371.2432,0.0,72.6305999999995
5078,3,69,6,5443.5199,0.0,72.27670000000035
5143,3,70,6,5515.9681,0.0,72.44819999999982
5216,3,71,6,5587.9509,0.0,71.98279999999977
5287,3,72,6,5660.2266,0.0,72.27570000000014
5358,3,73,6,5732.5863,0.0,72.35969999999998
5424,3,74,6,5804.8558,0.0,72.26950000000033
5490,3,75,6,5877.1481,0.0,72.29230000000007
5558,3,76,6,5949.3729,0.0,72.22479999999996
5625,3,77,6,6021.6452,0.0,72.27229999999963
5693,3,78,6,6093.8681,0.0,72.22289999999975
5760,3,79,6,6166.064,0.0,72.19590000000062
5828,3,80,6,6238.2304,0.0,72.16640000000007
5893,3,81,6,6310.5185,0.0,72.28809999999976
5960,3,82,6,6382.8882,0.0,72.3697000000002
6022,3,83,6,6455.7866,0.0,72.89840000000004
6089,3,84,6,6528.1893,0.0,72.40269999999964
6163,3,85,6,6600.5795,0.0,72.39019999999982
20,4,0,21,2.1501,0.0,0.0
98,4,1,15,94.0881,-6.0,91.938
191,4,2,15,224.8128,0.0,130.7247
257,4,3,15,340.0934,0.0,115.28059999999996
324,4,4,15,441.2151,0.0,101.12170000000003
392,4,5,15,515.956,0.0,74.74090000000001
454,4,6,14,588.9982,-1.0,73.04219999999998
520,4,7,14,661.9461,0.0,72.9479
