,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
5773,1,0,1,0.0,0.0,0.0
56,1,1,5,84.0431,4.0,84.0431
137,1,2,5,204.4026,0.0,120.35950000000001
205,1,3,5,322.2874,0.0,117.88479999999998
271,1,4,5,435.26599999999996,0.0,112.97859999999997
332,1,5,4,506.1063,-1.0,70.84030000000001
398,1,6,4,575.3275,0.0,69.22120000000001
466,1,7,4,644.264,0.0,68.93650000000002
531,1,8,4,713.284,0.0,69.01999999999998
595,1,9,4,782.4363,0.0,69.15229999999997
657,1,10,4,851.2991,0.0,68.8628
720,1,11,4,920.0851,0.0,68.78600000000006
787,1,12,4,988.7908,0.0,68.70569999999998
859,1,13,4,1057.5964,0.0,68.80559999999991
928,1,14,4,1126.3839,0.0,68.78750000000014
1006,1,15,7,1202.9717,3.0,76.58780000000002
1110,1,16,16,1298.8576,9.0,95.88589999999999
1182,1,17,16,1367.3988,0.0,68.54119999999989
1250,1,18,15,1435.3209,-1.0,67.9221
1318,1,19,15,1503.1928,0.0,67.8719000000001
1387,1,20,15,1571.2152,0.0,68.02240000000006
1453,1,21,15,1639.2734,0.0,68.05819999999994
1519,1,22,15,1707.586,0.0,68.31259999999997
1583,1,23,15,1776.8543,0.0,69.26829999999995
1646,1,24,13,1847.6866,-2.0,70.83230000000003
1710,1,25,10,1917.0308,-3.0,69.3442
1800,1,26,9,1986.0413,-1.0,69.01050000000009
1873,1,27,8,2054.4826,-1.0,68.44129999999973
1948,1,28,7,2122.4267,-1.0,67.94410000000016
2023,1,29,6,2190.4320000000002,-1.0,68.00530000000026
2110,1,30,6,2257.9831,0.0,67.55109999999968
2180,1,31,4,2328.1028,-2.0,70.1197000000002
2240,1,32,3,2397.0405,-1.0,68.93769999999995
2321,1,33,3,2465.8815,0.0,68.8409999999999
2390,1,34,3,2534.6735,0.0,68.79199999999992
2462,1,35,3,2603.3976,0.0,68.72409999999991
2528,1,36,3,2672.2597,0.0,68.86210000000028
2603,1,37,3,2741.1615,0.0,68.9018000000001
2683,1,38,4,2810.9599,1.0,69.79839999999967
2753,1,39,5,2887.4808,1.0,76.52089999999998
2830,1,40,10,2984.4359,5.0,96.95510000000013
2895,1,41,10,3052.6679999999997,0.0,68.23209999999972
2959,1,42,9,3129.708,-1.0,77.04000000000042
3024,1,43,9,3217.5195,0.0,87.8114999999998
3086,1,44,9,3348.8934,0.0,131.37390000000005
3154,1,45,9,3479.4685,0.0,130.57510000000002
3213,1,46,9,3591.1974,0.0,111.72890000000007
3270,1,47,6,3663.7664,-3.0,72.56899999999996
3349,1,48,6,3734.3539,0.0,70.58750000000009
3406,1,49,5,3806.6824,-1.0,72.32850000000008
3472,1,50,5,3876.3033,0.0,69.62089999999989
3533,1,51,5,3946.6668,0.0,70.36349999999993
3596,1,52,5,4017.4454,0.0,70.7786000000001
3654,1,53,5,4086.1113,0.0,68.66589999999997
3712,1,54,5,4154.5949,0.0,68.48360000000002
3778,1,55,5,4223.2787,0.0,68.68379999999979
3839,1,56,5,4291.5397,0.0,68.26100000000042
3910,1,57,4,4359.6609,-1.0,68.12119999999959
3978,1,58,4,4427.5869,0.0,67.92600000000039
4042,1,59,3,4495.8201,-1.0,68.23319999999967
4088,1,60,1,4564.8613,-2.0,69.04119999999966
4159,1,61,1,4685.9572,0.0,121.09590000000026
4230,1,62,1,4811.3048,0.0,125.34760000000006
4369,1,63,9,4945.9496,8.0,134.64480000000003
4436,1,64,9,5063.2917,0.0,117.34209999999985
4496,1,65,9,5181.769,0.0,118.47730000000047
4556,1,66,9,5292.5858,0.0,110.8167999999996
4612,1,67,8,5363.8330000000005,-1.0,71.2472000000007
4672,1,68,7,5434.066,-1.0,70.23299999999927
4732,1,69,7,5504.1853,0.0,70.1193000000003
4794,1,70,7,5573.898,0.0,69.71270000000004
4859,1,71,7,5643.8197,0.0,69.92169999999987
4931,1,72,7,5725.4892,0.0,81.66949999999997
4998,1,73,7,5841.0619,0.0,115.57269999999971
5060,1,74,7,5954.0859,0.0,113.02400000000034
5128,1,75,7,6070.3836,0.0,116.29770000000008
5184,1,76,7,6181.263000000001,0.0,110.87940000000071
5248,1,77,8,6253.2843,1.0,72.02129999999943
5307,1,78,8,6324.1053,0.0,70.82099999999991
5371,1,79,8,6393.9882,0.0,69.88289999999961
5432,1,80,8,6463.0859,0.0,69.09770000000026
5498,1,81,7,6532.0249,-1.0,68.9390000000003
5560,1,82,7,6600.61,0.0,68.58509999999933
5620,1,83,7,6669.2935,0.0,68.6835000000001
5681,1,84,7,6738.2159,0.0,68.92240000000038
5744,1,85,7,6807.4609,0.0,69.24499999999989
13,4,0,14,5.3985,0.0,0.0
76,4,1,13,92.8163,-1.0,87.4178
