,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
3,1,0,4,2.0466,0.0,0.0
49,1,1,3,94.3974,-1.0,92.3508
112,1,2,3,164.4848,0.0,70.0874
183,1,3,3,233.368,0.0,68.88319999999999
247,1,4,3,301.7896,0.0,68.42160000000001
312,1,5,3,370.1837,0.0,68.39409999999998
390,1,6,3,438.3355,0.0,68.15180000000004
455,1,7,3,506.5632,0.0,68.22769999999997
522,1,8,3,574.9718,0.0,68.40860000000004
588,1,9,3,643.0949,0.0,68.12310000000002
657,1,10,3,711.4359,0.0,68.3409999999999
735,1,11,3,779.6809,0.0,68.245
800,1,12,3,847.8022,0.0,68.12130000000002
871,1,13,3,916.3474,0.0,68.54520000000002
952,1,14,3,984.7884,0.0,68.44100000000003
1032,1,15,3,1053.0912,0.0,68.30280000000005
1105,1,16,3,1121.3074,0.0,68.21619999999984
1182,1,17,3,1189.3801,0.0,68.07270000000017
1257,1,18,3,1257.7089,0.0,68.3288
1322,1,19,3,1326.3016,0.0,68.59269999999992
1386,1,20,3,1394.7957,0.0,68.49409999999989
1452,1,21,3,1462.886,0.0,68.09030000000007
1518,1,22,3,1530.8693,0.0,67.9833000000001
1583,1,23,3,1599.5058,0.0,68.63649999999984
1614,1,29,5,2038.8663,2.0,439.3605
1698,1,30,4,2107.2035,-1.0,68.33720000000017
1764,1,31,4,2175.5326,0.0,68.32909999999993
1831,1,32,4,2243.9689,0.0,68.43629999999985
1896,1,33,4,2312.6913,0.0,68.7224000000001
1960,1,34,4,2380.9393,0.0,68.24800000000005
2027,1,35,4,2449.1055,0.0,68.16620000000012
2094,1,36,4,2517.159,0.0,68.05349999999999
2163,1,37,4,2585.1882,0.0,68.02919999999995
2240,1,38,4,2653.1425,0.0,67.95429999999988
2309,1,39,4,2721.0743,0.0,67.9318000000003
2368,1,40,2,2789.2054,-2.0,68.1310999999996
2449,1,41,2,2856.8442,0.0,67.63880000000017
2529,1,42,3,2928.7695,1.0,71.92529999999988
2619,1,43,4,3016.6806,1.0,87.91110000000026
2687,1,44,4,3085.0251,0.0,68.3444999999997
2758,1,45,4,3154.3318,0.0,69.30670000000009
2826,1,46,4,3222.1917,0.0,67.85989999999993
2892,1,47,4,3289.8715,0.0,67.67980000000034
