,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
6,1,0,7,0.5587,0.0,0.0
54,1,1,8,23.6452,1.0,23.0865
105,1,2,7,45.4428,-1.0,21.7976
159,1,3,7,66.9678,0.0,21.525
213,1,4,7,88.2044,0.0,21.23660000000001
268,1,5,7,109.4933,0.0,21.288899999999998
324,1,6,7,130.7034,0.0,21.210099999999983
382,1,7,7,152.0852,0.0,21.3818
443,1,8,7,173.5076,0.0,21.42240000000001
504,1,9,7,194.9992,0.0,21.491600000000005
563,1,10,7,216.4525,0.0,21.453299999999984
623,1,11,7,238.0833,0.0,21.630800000000022
684,1,12,7,259.6572,0.0,21.57389999999998
745,1,13,7,281.4128,0.0,21.755600000000015
806,1,14,7,303.332,0.0,21.91919999999999
863,1,15,7,325.1961,0.0,21.864100000000008
922,1,16,7,347.1764,0.0,21.9803
981,1,17,7,369.1774,0.0,22.000999999999976
1041,1,18,7,391.0705,0.0,21.893100000000004
1101,1,19,7,413.2371,0.0,22.166600000000017
1163,1,20,7,435.523,0.0,22.285900000000026
1224,1,21,7,457.6113,0.0,22.088300000000004
1282,1,22,7,479.709,0.0,22.097699999999975
1341,1,23,7,501.79900000000004,0.0,22.090000000000032
1396,1,24,7,524.0611,0.0,22.262099999999975
1453,1,25,7,546.3037,0.0,22.24260000000004
1510,1,26,7,568.5744,0.0,22.27069999999992
1567,1,27,7,590.8681,0.0,22.293700000000058
1622,1,28,7,613.226,0.0,22.357899999999972
1679,1,29,7,635.7231,0.0,22.497100000000046
1737,1,30,7,658.2392,0.0,22.516099999999938
1794,1,31,7,680.6779,0.0,22.43870000000004
1853,1,32,7,703.5652,0.0,22.887299999999982
1911,1,33,7,726.3974,0.0,22.832199999999943
1970,1,34,7,748.9762,0.0,22.5788
2030,1,35,7,771.7065,0.0,22.730300000000057
2087,1,36,7,794.7319,0.0,23.02539999999999
2144,1,37,7,817.8796,0.0,23.147699999999986
2205,1,38,7,841.0542,0.0,23.174600000000055
2263,1,39,7,864.5933,0.0,23.539099999999962
2323,1,40,7,888.3501,0.0,23.7568
2382,1,41,7,920.753,0.0,32.402900000000045
2448,1,42,7,977.262,0.0,56.5089999999999
2506,1,43,7,1033.9531,0.0,56.691100000000006
2545,1,44,2,1096.5337,-5.0,62.580600000000004
2663,1,45,2,1136.7021,0.0,40.16840000000002
2725,1,46,2,1184.5583,0.0,47.856199999999944
2786,1,47,2,1232.9315,0.0,48.3732
2845,1,48,2,1279.7242,0.0,46.792700000000195
2906,1,49,2,1325.2992,0.0,45.57499999999982
2942,1,50,2,1363.1475,0.0,37.84830000000011
3009,1,51,2,1385.1011,0.0,21.95360000000005
3064,1,52,2,1406.382,0.0,21.280899999999974
3122,1,53,2,1427.5584,0.0,21.17639999999983
3182,1,54,2,1448.7629,0.0,21.204500000000053
3237,1,55,2,1469.9807,0.0,21.217800000000125
3295,1,56,2,1491.378,0.0,21.39729999999986
3353,1,57,2,1512.6707,0.0,21.292699999999968
3412,1,58,2,1534.0509,0.0,21.38020000000006
3470,1,59,2,1555.4513,0.0,21.40039999999999
