,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
1,1,0,2,0.1503,0.0,0.0
48,1,1,3,79.1193,1.0,78.969
114,1,2,3,183.7209,0.0,104.6016
169,1,3,3,288.4575,0.0,104.73659999999998
226,1,4,3,387.86800000000005,0.0,99.41050000000007
290,1,5,3,478.8604,0.0,90.99239999999998
327,1,6,3,569.9609,0.0,91.10050000000001
390,1,7,3,619.6386,0.0,49.67769999999996
526,1,8,3,780.2761,0.0,160.63750000000005
5698,1,9,3,948.4645,0.0,168.1884
5767,1,10,4,1059.3993,1.0,110.9348
5824,1,11,3,1166.7089999999998,-1.0,107.3096999999998
5898,1,12,3,1265.1664,0.0,98.45740000000023
5942,1,13,3,1309.552,0.0,44.38559999999984
5990,1,14,3,1352.2418,0.0,42.689800000000105
6042,1,15,3,1394.5027,0.0,42.26089999999999
6094,1,16,3,1436.7367,0.0,42.233999999999924
6152,1,17,3,1479.0458,0.0,42.30910000000017
6207,1,18,3,1521.5049,0.0,42.45909999999981
6259,1,19,3,1563.7681,0.0,42.2632000000001
6310,1,20,3,1606.1711,0.0,42.40300000000002
6363,1,21,3,1648.5511,0.0,42.37999999999988
6412,1,22,3,1691.0092,0.0,42.45810000000006
6462,1,23,3,1733.483,0.0,42.47379999999998
6515,1,24,3,1776.0351,0.0,42.55210000000011
6565,1,25,3,1818.4378,0.0,42.40269999999987
6622,1,26,3,1860.9036,0.0,42.46580000000017
6673,1,27,3,1903.4359,0.0,42.53229999999985
6728,1,28,3,1946.0220000000002,0.0,42.586100000000215
6781,1,29,3,1988.4698,0.0,42.447799999999916
6832,1,30,3,2031.1257,0.0,42.655899999999974
6887,1,31,3,2073.6734,0.0,42.54770000000008
6940,1,32,3,2116.347,0.0,42.67360000000008
6994,1,33,3,2158.8522,0.0,42.505199999999604
7046,1,34,3,2201.621,0.0,42.76880000000028
7101,1,35,3,2244.3088,0.0,42.6877999999997
7153,1,36,3,2286.8527,0.0,42.54390000000012
7209,1,37,3,2329.4887,0.0,42.63599999999997
7262,1,38,3,2372.9776,0.0,43.488900000000285
7314,1,39,4,2422.0346,1.0,49.05699999999979
7406,1,40,8,2490.5838,4.0,68.54919999999993
7456,1,41,5,2533.1389,-3.0,42.55510000000004
7521,1,42,4,2575.6402,-1.0,42.5012999999999
7580,1,43,3,2618.2417,-1.0,42.601500000000215
7634,1,44,3,2660.7805,0.0,42.53879999999981
7686,1,45,3,2702.974,0.0,42.19350000000031
7737,1,46,3,2745.3854,0.0,42.41139999999996
7791,1,47,3,2787.8709,0.0,42.485499999999774
7842,1,48,3,2830.3461,0.0,42.475200000000314
7893,1,49,3,2872.7340000000004,0.0,42.38790000000017
7948,1,50,3,2915.1997,0.0,42.46569999999974
7998,1,51,3,2957.6915,0.0,42.491799999999785
8052,1,52,3,3000.3211,0.0,42.62960000000021
8103,1,53,3,3042.9492,0.0,42.628099999999904
8156,1,54,3,3085.4928,0.0,42.54359999999997
8207,1,55,3,3128.0617,0.0,42.56890000000021
8258,1,56,3,3170.5899,0.0,42.52819999999974
8312,1,57,3,3213.1729,0.0,42.583000000000084
8363,1,58,3,3255.7808,0.0,42.60789999999997
8417,1,59,3,3298.423,0.0,42.642199999999775
8468,1,60,3,3340.9809,0.0,42.557900000000245
8522,1,61,3,3383.7911,0.0,42.810199999999895
8573,1,62,3,3426.57,0.0,42.77890000000025
8623,1,63,3,3469.5941,0.0,43.024099999999635
8677,1,64,3,3512.8845,0.0,43.29040000000032
8727,1,65,3,3556.4245,0.0,43.539999999999964
8782,1,66,3,3599.6461,0.0,43.22159999999985
