,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
13,9,0,13,1.1154,0.0,0.0
66,9,1,13,93.4128,0.0,92.29740000000001
130,9,2,13,194.3933,0.0,100.9805
188,9,3,13,298.781,0.0,104.3877
242,9,4,12,397.3646,-1.0,98.58359999999999
307,9,5,12,488.8151,0.0,91.45049999999998
353,9,6,12,571.7717,0.0,82.95660000000004
403,9,7,7,626.8734,-5.0,55.10169999999994
535,9,8,7,786.6041,0.0,159.73070000000007
5708,9,9,7,953.3848,0.0,166.78070000000002
5770,9,10,6,1060.2252,-1.0,106.84040000000005
5855,9,11,11,1174.5035,5.0,114.27829999999994
5907,9,12,11,1266.5971,0.0,92.09359999999992
5953,9,13,10,1312.6949,-1.0,46.09780000000001
6000,9,14,9,1356.2238,-1.0,43.52890000000002
6055,9,15,9,1399.3445,0.0,43.12069999999994
6104,9,16,8,1443.4035,-1.0,44.05899999999997
6163,9,17,8,1486.4413,0.0,43.03780000000006
6220,9,18,8,1528.9092,0.0,42.4679000000001
6269,9,19,8,1571.3158,0.0,42.406600000000026
6323,9,20,8,1613.8927,0.0,42.57690000000002
6373,9,21,8,1656.4559,0.0,42.563199999999824
6422,9,22,8,1699.1103,0.0,42.65440000000012
6475,9,23,8,1741.7737,0.0,42.66339999999991
6525,9,24,8,1784.2858,0.0,42.512100000000146
6578,9,25,8,1826.7129,0.0,42.42709999999988
6632,9,26,8,1869.0786,0.0,42.36570000000006
6683,9,27,8,1911.519,0.0,42.440399999999954
6738,9,28,8,1953.9024,0.0,42.38339999999994
6790,9,29,8,1996.1913,0.0,42.28890000000001
6845,9,30,8,2038.5895,0.0,42.39820000000009
6897,9,31,8,2080.9603,0.0,42.370800000000145
6949,9,32,8,2123.3538,0.0,42.393499999999676
7004,9,33,8,2165.7665,0.0,42.412700000000314
7056,9,34,8,2208.1735,0.0,42.4069999999997
7111,9,35,8,2250.6815,0.0,42.508000000000266
7163,9,36,8,2293.5321,0.0,42.85059999999976
7222,9,37,8,2336.2004,0.0,42.66830000000027
7270,9,38,7,2379.008,-1.0,42.80759999999964
7313,9,39,3,2421.8515,-4.0,42.843500000000404
7354,9,40,1,2464.6219,-2.0,42.77039999999988
7418,9,41,1,2507.3215,0.0,42.69959999999992
7489,9,42,1,2556.3855,0.0,49.06399999999985
7594,9,43,8,2623.4147,7.0,67.02919999999995
7646,9,44,8,2665.658,0.0,42.24330000000009
7697,9,45,8,2707.6601,0.0,42.002100000000155
7746,9,46,8,2749.7733,0.0,42.11319999999978
7800,9,47,8,2792.2329,0.0,42.45960000000014
7851,9,48,8,2834.7290000000003,0.0,42.4961000000003
7906,9,49,8,2877.1348,0.0,42.405799999999545
7957,9,50,8,2919.4385,0.0,42.30370000000039
8008,9,51,8,2961.7337,0.0,42.29520000000002
8061,9,52,8,3004.2072,0.0,42.4734999999996
8111,9,53,8,3046.6307,0.0,42.42350000000033
8165,9,54,8,3089.3025,0.0,42.67179999999962
8216,9,55,8,3132.0336,0.0,42.731100000000424
8270,9,56,8,3174.5465,0.0,42.51289999999972
8321,9,57,8,3217.1714,0.0,42.62490000000025
8372,9,58,8,3259.9501,0.0,42.778699999999844
8426,9,59,8,3302.4963,0.0,42.54619999999977
8477,9,60,8,3345.0377,0.0,42.54140000000007
8531,9,61,8,3387.7675,0.0,42.72980000000007
8582,9,62,8,3430.5733,0.0,42.80580000000009
8633,9,63,8,3473.4229,0.0,42.84960000000001
8686,9,64,8,3516.525,0.0,43.102100000000064
8737,9,65,8,3559.8468,0.0,43.32179999999971
8790,9,66,7,3603.0065,-1.0,43.15970000000016
8844,9,67,7,3645.8025,0.0,42.79599999999982
8898,9,68,7,3694.2070000000003,0.0,48.40450000000055
8980,9,69,9,3760.9542,2.0,66.7471999999998
9041,9,70,9,3805.3920000000003,0.0,44.43780000000015
9069,9,71,6,3847.6408,-3.0,42.24879999999985
9122,9,72,4,3889.9621,-2.0,42.321300000000065
9180,9,73,4,3932.5979,0.0,42.63580000000002
9231,9,74,4,3975.0385,0.0,42.440599999999904
9282,9,75,4,4017.3306,0.0,42.292099999999664
9334,9,76,4,4059.8278,0.0,42.49720000000025
9382,9,77,4,4102.5271,0.0,42.69930000000022
9436,9,78,4,4145.2535,0.0,42.72639999999956
9488,9,79,4,4188.0676,0.0,42.81410000000051
9543,9,80,4,4230.8822,0.0,42.8145999999997
9595,9,81,4,4273.7079,0.0,42.825700000000325
9649,9,82,4,4316.3962,0.0,42.6882999999998
9701,9,83,4,4358.9737,0.0,42.57749999999942
9752,9,84,4,4401.602,0.0,42.62830000000031
9807,9,85,4,4444.7833,0.0,43.18130000000019
9858,9,86,4,4487.8654,0.0,43.08209999999963
9912,9,87,4,4530.8256,0.0,42.96020000000044
9961,9,88,4,4573.4987,0.0,42.67309999999998
10014,9,89,4,4616.567,0.0,43.06829999999991
10063,9,90,4,4659.587,0.0,43.02000000000044
10111,9,91,4,4702.4912,0.0,42.904199999999946
10164,9,92,4,4745.8,0.0,43.30879999999979
10213,9,93,4,4788.8264,0.0,43.02639999999974
10265,9,94,4,4831.6956,0.0,42.86920000000009
10313,9,95,4,4874.6752,0.0,42.979599999999664
10366,9,96,4,4917.6049,0.0,42.929700000000594
10416,9,97,4,4960.3221,0.0,42.71720000000005
10464,9,98,3,5002.8727,-1.0,42.55059999999958
10520,9,99,3,5045.3379,0.0,42.46520000000055
10571,9,100,3,5087.594,0.0,42.256099999999606
10626,9,101,3,5129.8868,0.0,42.29280000000017
10686,9,102,4,5178.6511,1.0,48.76429999999982
10784,9,103,5,5247.022,1.0,68.37089999999989
10817,9,104,5,5289.2158,0.0,42.19380000000001
10866,9,105,5,5331.2798,0.0,42.064000000000306
10917,9,106,4,5374.3015,-1.0,43.02169999999933
10970,9,107,4,5417.0613,0.0,42.75980000000072
11022,9,108,4,5459.7089,0.0,42.64759999999933
11073,9,109,4,5502.7512,0.0,43.04230000000007
11125,9,110,4,5545.6735,0.0,42.92230000000018
11173,9,111,4,5588.5288,0.0,42.85530000000017
11224,9,112,4,5631.6274,0.0,43.09860000000026
11278,9,113,4,5674.7411,0.0,43.11369999999988
11329,9,114,4,5718.1199,0.0,43.3787999999995
