,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
1,1,0,2,0.3959,0.0,0.0
66,1,1,4,89.0116,2.0,88.6157
213,1,2,4,209.0299,0.0,120.0183
282,1,3,4,320.2359,0.0,111.20600000000002
350,1,4,4,425.7871,0.0,105.5512
428,1,5,4,538.1678,0.0,112.38070000000005
499,1,6,4,639.7496,0.0,101.58179999999993
566,1,7,4,740.8715,0.0,101.12189999999998
609,1,8,3,802.2889,-1.0,61.41740000000004
685,1,9,3,861.9722,0.0,59.68330000000003
745,1,10,3,921.4444,0.0,59.47219999999993
806,1,11,3,980.8387,0.0,59.394300000000044
867,1,12,3,1040.1482,0.0,59.30950000000007
933,1,13,3,1099.6733,0.0,59.52509999999984
998,1,14,3,1159.2408,0.0,59.56750000000011
1064,1,15,3,1218.809,0.0,59.56819999999993
1126,1,16,3,1278.2657,0.0,59.456699999999955
1202,1,17,3,1337.7188,0.0,59.45310000000018
1275,1,18,3,1397.1111,0.0,59.39229999999998
1315,1,19,3,1456.6722,0.0,59.5610999999999
1338,1,20,3,1516.4523,0.0,59.78009999999995
1416,1,21,3,1576.4397,0.0,59.98739999999998
1483,1,22,3,1636.4259,0.0,59.98620000000005
1549,1,23,3,1696.3014,0.0,59.8755000000001
1614,1,24,3,1756.3615,0.0,60.06009999999992
1680,1,25,3,1816.4477,0.0,60.08619999999996
1745,1,26,3,1876.3237,0.0,59.875999999999976
1824,1,27,3,1936.4021,0.0,60.0784000000001
1883,1,28,2,1996.5456,-1.0,60.143499999999904
1969,1,29,2,2056.8666,0.0,60.32099999999991
2055,1,30,7,2137.9056,5.0,81.03900000000021
2144,1,31,10,2205.0943,3.0,67.18870000000015
2217,1,32,8,2264.895,-2.0,59.80069999999978
2284,1,33,5,2324.4406,-3.0,59.54559999999992
2369,1,34,5,2385.217,0.0,60.776400000000194
2437,1,35,5,2445.9889,0.0,60.77189999999973
2504,1,36,6,2507.9114,1.0,61.92250000000013
2567,1,37,4,2567.5208,-2.0,59.60939999999982
2639,1,38,4,2626.9759999999997,0.0,59.45519999999988
2708,1,39,3,2686.3912,-1.0,59.41520000000037
2789,1,40,3,2746.0608,0.0,59.66960000000017
2874,1,41,3,2805.9417,0.0,59.880899999999656
2940,1,42,3,2865.78,0.0,59.838300000000345
3017,1,43,2,2936.7384,-1.0,70.95839999999998
3090,1,44,2,3036.612,0.0,99.8735999999999
3158,1,45,2,3141.086,0.0,104.4739999999997
3232,1,46,2,3244.1348,0.0,103.04880000000003
3306,1,47,2,3305.0902,0.0,60.95540000000028
3345,1,48,2,3365.0190000000002,0.0,59.92880000000014
3402,1,49,1,3424.5413,-1.0,59.52229999999963
3463,1,50,1,3483.8575,0.0,59.31620000000021
3522,1,51,1,3543.1267,0.0,59.26919999999973
3582,1,52,1,3602.3441,0.0,59.2174
3644,1,53,1,3661.8063,0.0,59.462200000000394
3716,1,54,1,3720.8505,0.0,59.04419999999982
3800,1,55,1,3780.224,0.0,59.37350000000015
3875,1,56,1,3860.337,0.0,80.11299999999983
4040,1,57,16,3984.5759,15.0,124.23889999999983
4115,1,58,16,4096.7596,0.0,112.1837000000005
4183,1,59,16,4199.3049,0.0,102.54529999999977
4241,1,60,16,4287.2394,0.0,87.9345000000003
4303,1,61,15,4349.124,-1.0,61.88459999999941
4364,1,62,14,4411.6614,-1.0,62.53740000000016
4429,1,63,14,4471.941,0.0,60.279599999999846
4491,1,64,13,4534.367,-1.0,62.426000000000386
4553,1,65,13,4595.0191,0.0,60.652100000000246
4620,1,66,12,4656.5566,-1.0,61.537499999999454
4686,1,67,12,4716.817,0.0,60.26040000000012
4752,1,68,12,4777.0016,0.0,60.18459999999959
4827,1,69,12,4837.1606,0.0,60.15900000000056
4892,1,70,12,4897.5679,0.0,60.40729999999985
4968,1,71,11,4958.2335,-1.0,60.66560000000027
5037,1,72,11,5018.7224,0.0,60.488899999999376
5106,1,73,11,5079.0602,0.0,60.33780000000024
5178,1,74,11,5139.5737,0.0,60.51350000000002
5276,1,75,11,5221.5985,0.0,82.02480000000014
5358,1,76,10,5293.1952,-1.0,71.59670000000006
5426,1,77,10,5384.6749,0.0,91.47969999999987
5491,1,78,10,5483.3292,0.0,98.65430000000015
5553,1,79,10,5587.543000000001,0.0,104.21380000000045
5620,1,80,10,5687.0479,0.0,99.504899999999
5683,1,81,10,5771.6668,0.0,84.6189000000004
5743,1,82,10,5834.1733,0.0,62.506500000000415
5805,1,83,11,5896.3426,1.0,62.169299999999566
5868,1,84,11,5957.710999999999,0.0,61.36839999999938
5930,1,85,10,6018.5379,-1.0,60.82690000000093
6000,1,86,10,6079.191999999999,0.0,60.654099999998834
6063,1,87,10,6139.7997,0.0,60.60770000000048
6123,1,88,10,6200.1754,0.0,60.375700000000506
6188,1,89,10,6260.9603,0.0,60.78489999999965
6254,1,90,10,6321.7031,0.0,60.74279999999999
6321,1,91,10,6382.3246,0.0,60.6215000000002
6387,1,92,10,6442.7594,0.0,60.434799999999996
6452,1,93,10,6503.206999999999,0.0,60.44759999999951
6518,1,94,10,6563.6124,0.0,60.405400000000554
6583,1,95,10,6624.0201,0.0,60.40769999999975
6649,1,96,10,6684.3513,0.0,60.331200000000536
6716,1,97,10,6744.840999999999,0.0,60.489699999999175
6782,1,98,10,6805.169,0.0,60.32800000000043
6850,1,99,10,6865.7123,0.0,60.54330000000027
6917,1,100,10,6926.2365,0.0,60.52419999999984
6983,1,101,10,6986.5151,0.0,60.27859999999964
7049,1,102,10,7046.8796,0.0,60.36450000000059
7117,1,103,10,7107.5159,0.0,60.63630000000012
7183,1,104,10,7168.6629,0.0,61.146999999999935
7249,1,105,10,7229.5581,0.0,60.89519999999993
7273,2,0,1,0.0,0.0,0.0
7391,2,1,2,71.3988,1.0,71.3988
7407,2,2,2,140.5753,0.0,69.1765
7427,2,3,2,209.5799,0.0,69.00460000000001
7446,2,4,2,278.2579,0.0,68.678
7466,2,5,2,346.6556,0.0,68.39769999999999
7485,2,6,2,415.3437,0.0,68.68810000000002
7503,2,7,2,483.8674,0.0,68.52369999999996
7522,2,8,2,553.2221,0.0,69.35469999999998
7539,2,9,2,621.7864,0.0,68.5643
7561,2,10,2,690.4674,0.0,68.68100000000004
7578,2,11,2,759.0875,0.0,68.62009999999998
7596,2,12,2,827.4879,0.0,68.40039999999999
7613,2,13,2,896.414,0.0,68.92610000000002
7630,2,14,2,965.2712,0.0,68.85720000000003
7649,2,15,2,1033.5093,0.0,68.23809999999992
7668,2,16,2,1101.9987,0.0,68.48940000000016
7687,2,17,2,1170.7029,0.0,68.7041999999999
7703,2,18,2,1239.503,0.0,68.80009999999993
7718,2,19,2,1307.7534,0.0,68.25040000000013
7733,2,20,2,1376.0604,0.0,68.30700000000002
7749,2,21,2,1444.2274,0.0,68.16699999999992
7765,2,22,2,1512.5983,0.0,68.37090000000012
7781,2,23,2,1580.8696,0.0,68.27129999999988
7800,2,24,2,1649.2371,0.0,68.36750000000006
7817,2,25,2,1717.6957,0.0,68.45859999999993
7832,2,26,2,1785.8546,0.0,68.1588999999999
7848,2,27,2,1853.854,0.0,67.99940000000015
7864,2,28,2,1921.8328,0.0,67.97879999999986
7882,2,29,2,1990.0539,0.0,68.2211000000002
7900,2,30,2,2058.3347,0.0,68.28079999999977
7275,3,0,3,0.0,0.0,0.0
7392,3,1,3,72.1222,0.0,72.1222
7409,3,2,3,141.6293,0.0,69.5071
7429,3,3,3,210.5966,0.0,68.9673
7448,3,4,3,279.4066,0.0,68.81000000000003
7468,3,5,3,348.1317,0.0,68.7251
7487,3,6,3,416.7752,0.0,68.64349999999996
7505,3,7,3,485.31699999999995,0.0,68.54179999999997
7523,3,8,3,554.0365,0.0,68.7195000000001
7541,3,9,3,622.6854,0.0,68.64889999999991
7562,3,10,3,691.0833,0.0,68.39790000000005
7580,3,11,3,759.4415,0.0,68.35820000000001
7597,3,12,3,827.9835,0.0,68.54200000000003
7615,3,13,3,896.5601,0.0,68.57659999999998
7632,3,14,3,966.0605,0.0,69.50040000000001
7651,3,15,3,1034.4635,0.0,68.40300000000002
7670,3,16,3,1102.5174,0.0,68.05389999999989
7688,3,17,3,1170.947,0.0,68.42959999999994
7704,3,18,3,1239.893,0.0,68.94600000000014
7719,3,19,3,1308.1316,0.0,68.2385999999999
7735,3,20,3,1376.5003,0.0,68.36869999999999
7751,3,21,3,1445.0157,0.0,68.5154
7767,3,22,3,1513.4943,0.0,68.47860000000014
7783,3,23,3,1581.6364,0.0,68.14210000000003
7803,3,24,3,1649.9586,0.0,68.32219999999984
7819,3,25,3,1718.4644,0.0,68.50580000000014
7834,3,26,3,1786.5382,0.0,68.07379999999989
7850,3,27,3,1854.5313,0.0,67.99310000000014
7866,3,28,3,1922.4606,0.0,67.92930000000001
7883,3,29,3,1990.3701,0.0,67.90949999999998
7902,3,30,3,2058.6373,0.0,68.26719999999978
19,4,0,19,2.2539,0.0,0.0
144,4,1,17,101.8932,-2.0,99.63929999999999
239,4,2,17,221.4344,0.0,119.54120000000002
310,4,3,17,337.4492,0.0,116.01480000000001
371,4,4,14,436.6943,-3.0,99.24509999999998
448,4,5,14,548.2403,0.0,111.54600000000005
518,4,6,14,649.8841,0.0,101.64379999999994
580,4,7,14,744.6638,0.0,94.77970000000005
642,4,8,13,807.7646,-1.0,63.100799999999936
701,4,9,13,868.5482,0.0,60.78359999999998
761,4,10,12,929.0033,-1.0,60.455100000000016
822,4,11,12,988.7405,0.0,59.73720000000003
884,4,12,12,1048.9232,0.0,60.182699999999954
949,4,13,12,1109.1208,0.0,60.197599999999966
1015,4,14,12,1169.1201,0.0,59.999300000000176
1080,4,15,12,1229.6979,0.0,60.5777999999998
1144,4,16,11,1289.8617,-1.0,60.16380000000004
1217,4,17,10,1349.5428,-1.0,59.681100000000015
1288,4,18,10,1409.4954,0.0,59.952600000000075
1330,4,19,10,1470.3224,0.0,60.827
1351,4,20,9,1530.3031,-1.0,59.98070000000007
1428,4,21,9,1590.2289,0.0,59.92579999999998
1494,4,22,9,1650.0542,0.0,59.82529999999997
1562,4,23,9,1710.0553,0.0,60.00109999999995
1627,4,24,9,1770.1611,0.0,60.105800000000045
1691,4,25,9,1830.056,0.0,59.89490000000001
1757,4,26,9,1890.0946,0.0,60.03859999999986
1835,4,27,8,1950.1665,-1.0,60.07190000000014
1906,4,28,7,2010.2359,-1.0,60.06939999999986
1978,4,29,6,2069.9983,-1.0,59.7624000000003
2078,4,30,16,2152.7122,10.0,82.71389999999974
2160,4,31,16,2217.9120000000003,0.0,65.19980000000032
2236,4,32,16,2277.4687,0.0,59.55669999999964
2316,4,33,14,2337.0233,-2.0,59.55459999999994
2385,4,34,14,2396.6957,0.0,59.67240000000038
2453,4,35,14,2457.0824,0.0,60.386699999999564
2517,4,36,14,2517.3498,0.0,60.26740000000018
2590,4,37,14,2577.514,0.0,60.164200000000164
2661,4,38,13,2639.2138,-1.0,61.69979999999987
2734,4,39,12,2700.185,-1.0,60.97119999999995
2806,4,40,10,2760.6461,-2.0,60.46109999999999
2887,4,41,10,2820.5731,0.0,59.927000000000135
2952,4,42,9,2881.0556,-1.0,60.48250000000007
3035,4,43,9,2948.032,0.0,66.97640000000001
3104,4,44,9,3044.3936,0.0,96.36159999999973
3165,4,45,6,3144.9355,-3.0,100.54190000000017
3257,4,46,6,3245.4801,0.0,100.54460000000017
3313,4,47,6,3307.6846,0.0,62.204499999999825
3372,4,48,6,3368.4957,0.0,60.8110999999999
3435,4,49,6,3429.7938,0.0,61.29809999999998
3494,4,50,6,3490.5139,0.0,60.7201
3553,4,51,6,3550.8811,0.0,60.36720000000014
3614,4,52,6,3611.4443,0.0,60.56320000000005
3676,4,53,6,3671.6391,0.0,60.19479999999976
3746,4,54,5,3731.9655,-1.0,60.32639999999992
3830,4,55,5,3791.7503,0.0,59.78480000000036
3905,4,56,5,3865.1253,0.0,73.375
4048,4,57,19,3989.5879,14.0,124.46259999999984
4120,4,58,19,4098.6261,0.0,109.03820000000042
4188,4,59,19,4201.8802,0.0,103.2540999999992
4245,4,60,19,4288.128,0.0,86.2478000000001
4310,4,61,19,4351.0768,0.0,62.94880000000012
4373,4,62,18,4414.0855,-1.0,63.00870000000032
4437,4,63,18,4475.5595,0.0,61.47400000000016
4501,4,64,18,4536.8256,0.0,61.266099999999824
4564,4,65,18,4599.2726,0.0,62.447000000000116
4636,4,66,19,4662.4863,1.0,63.213699999999335
4703,4,67,19,4723.9552,0.0,61.46890000000076
4773,4,68,19,4785.4231,0.0,61.467899999999645
4843,4,69,19,4847.2329,0.0,61.809799999999996
4908,4,70,19,4909.1249,0.0,61.891999999999825
4987,4,71,19,4970.9338,0.0,61.808899999999994
5058,4,72,19,5032.5119,0.0,61.57810000000063
5127,4,73,19,5093.7323,0.0,61.220399999999245
5196,4,74,17,5154.9784,-2.0,61.2461000000003
5299,4,75,18,5241.1487,1.0,86.17029999999977
5375,4,76,18,5312.4081,0.0,71.25939999999991
5441,4,77,18,5392.0233,0.0,79.61520000000019
5504,4,78,18,5489.9033,0.0,97.88000000000011
5568,4,79,18,5595.031999999999,0.0,105.1286999999993
5634,4,80,18,5692.7696,0.0,97.73760000000038
5693,4,81,18,5774.1489,0.0,81.37930000000051
5753,4,82,17,5836.6545,-1.0,62.505599999999504
5815,4,83,17,5899.6434,0.0,62.988900000000285
5877,4,84,17,5961.071999999999,0.0,61.42859999999928
5944,4,85,16,6022.33,-1.0,61.25800000000072
6009,4,86,16,6083.4012,0.0,61.07120000000032
6071,4,87,16,6144.4581,0.0,61.05689999999959
6134,4,88,16,6205.3171,0.0,60.85900000000038
6199,4,89,16,6266.7905,0.0,61.473399999999856
6265,4,90,16,6328.0999,0.0,61.309400000000096
6332,4,91,16,6389.124,0.0,61.024099999999635
6398,4,92,16,6450.0622,0.0,60.938200000000506
6463,4,93,16,6510.7038,0.0,60.641599999999926
6528,4,94,16,6571.2528,0.0,60.54899999999998
6594,4,95,16,6632.026999999999,0.0,60.77419999999893
6660,4,96,16,6692.7748,0.0,60.74780000000101
6727,4,97,16,6753.6131,0.0,60.838299999999435
6794,4,98,16,6814.2628,0.0,60.64970000000085
6861,4,99,16,6875.5494,0.0,61.28659999999945
6928,4,100,16,6936.7417,0.0,61.192299999999705
6993,4,101,16,6997.5315,0.0,60.78980000000047
7058,4,102,15,7058.2654,-1.0,60.733900000000176
7126,4,103,15,7118.6201,0.0,60.354699999999866
7190,4,104,14,7179.2501,-1.0,60.63000000000011
7259,4,105,14,7239.5495,0.0,60.29939999999988
6,5,0,7,0.7371,0.0,0.0
1309,5,1,22,1502.0715,15.0,1501.3344
1413,5,2,22,1573.4136,0.0,71.34210000000007
1488,5,3,22,1640.1449,0.0,66.73129999999992
1555,5,4,22,1701.2664,0.0,61.12149999999997
1620,5,5,22,1762.4655,0.0,61.199100000000044
1685,5,6,22,1822.8832,0.0,60.41769999999997
1752,5,7,22,1884.1789999999999,0.0,61.29579999999987
1830,5,8,22,1945.8782,0.0,61.699200000000246
1904,5,9,22,2006.8903,0.0,61.01209999999992
1974,5,10,22,2067.9944,0.0,61.10410000000002
2053,5,11,22,2133.5506,0.0,65.55619999999999
2129,5,12,22,2198.0311,0.0,64.48050000000012
2233,5,13,22,2272.4512,0.0,74.42009999999982
2326,5,14,22,2343.2115,0.0,70.76029999999992
2399,5,15,22,2407.5194,0.0,64.30790000000025
2465,5,16,22,2469.4609,0.0,61.941499999999905
2531,5,17,22,2531.5254,0.0,62.06449999999995
2607,5,18,22,2594.1249,0.0,62.59949999999981
2679,5,19,22,2655.804,0.0,61.67910000000029
2760,5,20,22,2717.9840000000004,0.0,62.18000000000029
2842,5,21,22,2780.0029,0.0,62.018899999999576
2907,5,22,22,2842.2268,0.0,62.22389999999996
2981,5,23,22,2906.4955,0.0,64.26870000000008
3051,5,24,22,2971.1946,0.0,64.69909999999982
3119,5,25,22,3050.8228,0.0,79.6282000000001
3227,5,26,22,3200.5734,0.0,149.7506000000003
3279,5,27,22,3270.2672,0.0,69.69379999999956
3341,5,28,22,3331.9621,0.0,61.694900000000416
3399,5,29,22,3393.5405,0.0,61.578399999999874
3461,5,30,22,3454.7545,0.0,61.21399999999994
3520,5,31,22,3515.8041,0.0,61.04959999999983
3578,5,32,22,3577.2404,0.0,61.4363000000003
3642,5,33,22,3639.8196,0.0,62.57919999999967
3712,5,34,22,3702.8058,0.0,62.98620000000028
3796,5,35,22,3766.1299,0.0,63.32409999999982
3870,5,36,22,3833.545,0.0,67.41510000000017
3938,5,37,22,3898.2501,0.0,64.70510000000013
4042,5,38,22,3985.0607,0.0,86.8105999999998
4121,5,39,22,4098.9984,0.0,113.9377000000004
4190,5,40,22,4202.6886,0.0,103.6902
4247,5,41,22,4288.7891,0.0,86.10049999999956
4311,5,42,22,4351.262,0.0,62.472899999999754
4374,5,43,22,4414.4459,0.0,63.183899999999994
