,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
0,1,0,1,0.0,0.0,0.0
26,1,1,1,109.561,0.0,109.561
137,1,2,1,216.5122,0.0,106.9512
198,1,3,1,323.4263,0.0,106.91410000000002
253,1,4,1,430.3722,0.0,106.9459
311,1,5,1,537.031,0.0,106.65879999999993
372,1,6,1,644.0572,0.0,107.02620000000002
432,1,7,1,751.3031,0.0,107.2459
501,1,8,1,858.5154,0.0,107.21230000000003
561,1,9,1,965.9507,0.0,107.43529999999998
632,1,10,1,1073.8321,0.0,107.8814000000001
697,1,11,1,1181.5143,0.0,107.68219999999997
761,1,12,1,1289.5124,0.0,107.99810000000002
828,1,13,1,1397.6038,0.0,108.09140000000002
921,1,14,2,1516.2635,1.0,118.65969999999993
1018,1,15,2,1653.0479,0.0,136.7844
1104,1,16,1,1760.6091,-1.0,107.56119999999987
1170,1,17,1,1867.9321,0.0,107.32300000000009
1236,1,18,1,1975.2757,0.0,107.34359999999992
1301,1,19,1,2082.7434,0.0,107.46769999999992
1379,1,20,1,2190.5173,0.0,107.77390000000014
1444,1,21,1,2297.9027,0.0,107.38540000000012
1507,1,22,1,2405.2415,0.0,107.33879999999999
1570,1,23,1,2512.4973,0.0,107.25579999999991
1639,1,24,1,2619.788,0.0,107.29070000000002
1705,1,25,1,2727.4405,0.0,107.65250000000015
1770,1,26,1,2835.4705,0.0,108.02999999999975
1836,1,27,1,2943.6387,0.0,108.16820000000007
1914,1,28,1,3052.3005,0.0,108.66179999999986
1998,1,29,1,3171.4095,0.0,119.10900000000038
2085,1,30,1,3308.1946,0.0,136.7850999999996
2150,1,31,1,3415.8651,0.0,107.67050000000017
2220,1,32,1,3523.2639,0.0,107.39879999999994
2283,1,33,1,3630.4529,0.0,107.1890000000003
2344,1,34,1,3737.803,0.0,107.35009999999966
2405,1,35,1,3845.15,0.0,107.34700000000021
2467,1,36,1,3952.2766,0.0,107.12660000000005
2533,1,37,1,4059.4693,0.0,107.19270000000006
2595,1,38,1,4166.5428,0.0,107.07349999999997
2663,1,39,1,4273.8738,0.0,107.33100000000013
2735,1,40,1,4380.8138,0.0,106.9399999999996
2800,1,41,1,4488.1307,0.0,107.3168999999998
2870,1,42,1,4595.7047,0.0,107.57400000000052
2953,1,43,1,4713.7987,0.0,118.09400000000005
3044,1,44,1,4847.9041,0.0,134.10539999999946
3117,1,45,1,4954.4678,0.0,106.56370000000061
3179,1,46,1,5060.7763,0.0,106.3085000000001
3242,1,47,1,5166.9114,0.0,106.13509999999951
3305,1,48,1,5272.3602,0.0,105.44880000000012
3369,1,49,1,5378.5693,0.0,106.20910000000003
3432,1,50,1,5484.9265,0.0,106.35719999999947
3496,1,51,1,5591.3473,0.0,106.42080000000078
3560,1,52,1,5697.8069,0.0,106.45959999999923
3622,1,53,1,5804.5284,0.0,106.72150000000056
3687,1,54,1,5910.5985,0.0,106.07009999999991
3752,1,55,1,6016.4165,0.0,105.81800000000021
19,4,0,20,2.0422,0.0,0.0
98,4,1,16,117.5671,-4.0,115.5249
186,4,2,16,226.4897,0.0,108.9226
245,4,3,17,335.2579,1.0,108.76820000000001
302,4,4,17,443.4119,0.0,108.154
363,4,5,17,551.8258,0.0,108.41389999999996
422,4,6,17,660.0456,0.0,108.21980000000008
481,4,7,16,768.9844,-1.0,108.93880000000001
549,4,8,16,877.2927,0.0,108.30829999999992
614,4,9,15,985.7802,-1.0,108.48750000000007
680,4,10,15,1094.1599,0.0,108.37970000000007
745,4,11,15,1203.5721,0.0,109.41219999999998
810,4,12,15,1313.6771,0.0,110.10500000000002
896,4,13,17,1432.3411,2.0,118.66399999999999
990,4,14,20,1572.3467,3.0,140.00559999999996
1089,4,15,17,1680.9537,-3.0,108.60699999999997
1158,4,16,17,1788.6165,0.0,107.66280000000006
1224,4,17,17,1896.4551,0.0,107.83859999999981
1290,4,18,17,2005.0043,0.0,108.54920000000016
1358,4,19,15,2112.5914,-2.0,107.58709999999974
1427,4,20,15,2220.3517,0.0,107.76030000000037
1495,4,21,16,2329.0447,1.0,108.69299999999976
1558,4,22,16,2437.4159,0.0,108.37120000000004
1624,4,23,15,2545.333,-1.0,107.91710000000012
1686,4,24,15,2653.238,0.0,107.90499999999975
1752,4,25,15,2761.888,0.0,108.65000000000009
1819,4,26,14,2870.5661,-1.0,108.67810000000009
1897,4,27,15,2989.4709999999995,1.0,118.90489999999954
1994,4,28,20,3134.7695,5.0,145.29850000000033
2078,4,29,19,3243.8063,-1.0,109.03680000000031
2144,4,30,19,3351.9089,0.0,108.10259999999971
2212,4,31,18,3460.0973,-1.0,108.1884
2270,4,32,17,3568.1051,-1.0,108.00780000000032
2334,4,33,17,3675.9842,0.0,107.87909999999965
2396,4,34,17,3783.7192,0.0,107.73500000000013
2458,4,35,17,3891.6506,0.0,107.93139999999994
2519,4,36,16,3999.865,-1.0,108.21439999999984
2583,4,37,16,4107.7723,0.0,107.90729999999985
2652,4,38,16,4215.4127,0.0,107.64040000000023
2716,4,39,14,4323.1345,-2.0,107.72180000000026
2781,4,40,13,4431.2275,-1.0,108.09299999999985
2858,4,41,15,4552.2586,2.0,121.03110000000015
2947,4,42,18,4687.3341,3.0,135.07549999999992
3030,4,43,16,4794.5689,-2.0,107.23480000000018
3104,4,44,16,4902.2557,0.0,107.6867999999995
3168,4,45,16,5009.4917,0.0,107.23599999999988
3232,4,46,16,5116.799,0.0,107.3073000000004
3295,4,47,15,5224.3453,-1.0,107.54629999999997
