,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
7507,1,0,5,0.0,0.0,0.0
86,1,1,12,74.8737,7.0,74.8737
172,1,2,12,138.5829,0.0,63.709199999999996
243,1,3,12,216.3208,0.0,77.7379
308,1,4,11,323.1038,-1.0,106.78299999999999
373,1,5,11,428.6733,0.0,105.5695
435,1,6,10,497.3743,-1.0,68.70100000000002
499,1,7,10,576.1979,0.0,78.8236
576,1,8,10,681.7743,0.0,105.57640000000004
642,1,9,10,796.6638,0.0,114.8895
708,1,10,11,896.2127,1.0,99.5489
768,1,11,13,967.2389,2.0,71.0261999999999
832,1,12,13,1032.6148,0.0,65.37590000000012
894,1,13,13,1096.8283,0.0,64.21349999999984
957,1,14,13,1161.2060000000001,0.0,64.37770000000023
1022,1,15,12,1225.8856,-1.0,64.67959999999994
1092,1,16,12,1290.4488,0.0,64.56319999999982
1154,1,17,12,1354.4346,0.0,63.985800000000154
1219,1,18,11,1418.1772,-1.0,63.74260000000004
1284,1,19,10,1481.6907,-1.0,63.51350000000002
1378,1,20,16,1553.4033,6.0,71.71259999999984
1466,1,21,18,1630.3112,2.0,76.90790000000015
1567,1,22,16,1693.5677,-2.0,63.25649999999996
1644,1,23,16,1758.3867,0.0,64.81899999999996
1721,1,24,16,1822.1635,0.0,63.776800000000094
1789,1,25,16,1885.5676,0.0,63.40409999999997
1852,1,26,16,1949.9139,0.0,64.34629999999993
1916,1,27,17,2015.281,1.0,65.36709999999994
1979,1,28,14,2082.9909,-3.0,67.70989999999983
2049,1,29,14,2175.1278,0.0,92.13690000000042
2110,1,30,14,2291.6623,0.0,116.53449999999975
2176,1,31,13,2417.0203,-1.0,125.35800000000017
2243,1,32,13,2546.2537,0.0,129.23340000000007
2301,1,33,13,2640.6871,0.0,94.43339999999989
2363,1,34,12,2710.3725,-1.0,69.68539999999985
2429,1,35,10,2787.8287,-2.0,77.45620000000008
2515,1,36,9,2896.1809999999996,-1.0,108.35229999999956
2585,1,37,9,3018.7353,0.0,122.55430000000024
2645,1,38,9,3119.0507,0.0,100.31539999999995
2736,1,39,20,3205.0843,11.0,86.0336000000002
2803,1,40,20,3299.4655,0.0,94.38119999999981
2867,1,41,20,3392.3808,0.0,92.91530000000012
2953,1,42,18,3509.1219,-2.0,116.74110000000019
3031,1,43,18,3627.6388,0.0,118.51690000000008
3099,1,44,18,3742.82,0.0,115.18119999999999
3156,1,45,18,3841.4699,0.0,98.64989999999989
3216,1,46,18,3911.0876,0.0,69.61769999999979
3277,1,47,19,3979.0093,1.0,67.92170000000033
3342,1,48,19,4044.9726,0.0,65.96329999999989
3404,1,49,18,4109.6112,-1.0,64.63860000000022
3469,1,50,18,4172.7526,0.0,63.14139999999952
3530,1,51,18,4235.9689,0.0,63.21630000000005
3598,1,52,18,4299.1053,0.0,63.13640000000032
3675,1,53,16,4362.085,-2.0,62.979699999999866
3748,1,54,14,4425.4635,-2.0,63.3784999999998
3821,1,55,12,4489.0682,-2.0,63.604699999999866
3891,1,56,12,4552.9396,0.0,63.871399999999994
3962,1,57,12,4616.5512,0.0,63.61160000000018
4033,1,58,11,4680.0004,-1.0,63.44920000000002
4106,1,59,9,4743.8297,-2.0,63.82930000000033
4180,1,60,9,4807.3694,0.0,63.53969999999936
4248,1,61,8,4872.6336,-1.0,65.26420000000053
4315,1,62,8,4935.7104,0.0,63.07679999999982
4383,1,63,8,4999.0323,0.0,63.321899999999914
4447,1,64,8,5062.2515,0.0,63.219200000000455
4511,1,65,8,5125.3184,0.0,63.066899999999805
4575,1,66,8,5188.18,0.0,62.86160000000018
4640,1,67,8,5250.9251,0.0,62.74510000000009
4705,1,68,8,5313.7751,0.0,62.849999999999454
4769,1,69,8,5376.5444,0.0,62.76929999999993
4830,1,70,8,5439.4512,0.0,62.90680000000066
4893,1,71,8,5502.1033,0.0,62.652099999999336
4958,1,72,8,5564.8118,0.0,62.70850000000064
5018,1,73,8,5627.9147,0.0,63.10289999999986
5080,1,74,8,5690.9962,0.0,63.08149999999932
5147,1,75,8,5754.1226,0.0,63.1264000000001
5207,1,76,8,5818.5625,0.0,64.4399000000003
5283,1,77,9,5890.1247,1.0,71.5622000000003
5378,1,78,15,5971.8987,6.0,81.77399999999943
5447,1,79,15,6035.6703,0.0,63.771600000000035
5515,1,80,14,6098.8448,-1.0,63.17450000000008
5582,1,81,12,6161.9035,-2.0,63.0587000000005
5656,1,82,11,6224.6455,-1.0,62.74199999999928
5718,1,83,8,6287.3337,-3.0,62.688200000000506
5795,1,84,8,6350.3554,0.0,63.02170000000024
5862,1,85,8,6413.2578,0.0,62.90239999999994
5930,1,86,8,6476.1794,0.0,62.92159999999967
5996,1,87,8,6538.996,0.0,62.81660000000011
6064,1,88,8,6602.3258,0.0,63.32979999999952
6133,1,89,9,6666.6677,1.0,64.34190000000035
6198,1,90,9,6729.7387,0.0,63.07099999999991
6262,1,91,9,6792.7573,0.0,63.01860000000033
6324,1,92,9,6856.2243,0.0,63.46699999999964
6388,1,93,9,6920.4554,0.0,64.23109999999997
6453,1,94,9,6985.4214,0.0,64.96600000000035
6516,1,95,9,7048.541,0.0,63.11959999999999
6582,1,96,9,7112.2043,0.0,63.66330000000016
6647,1,97,9,7176.0896,0.0,63.885299999999916
6712,1,98,9,7239.701999999999,0.0,63.61239999999907
6777,1,99,9,7302.9942,0.0,63.292200000000776
