,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
0,1,0,1,0.0,0.0,0.0
27,1,1,1,26.0364,0.0,26.0364
77,1,2,1,50.6895,0.0,24.653100000000002
128,1,3,1,75.0477,0.0,24.358200000000004
179,1,4,1,99.3379,0.0,24.2902
232,1,5,1,123.6638,0.0,24.32589999999999
285,1,6,1,148.0739,0.0,24.410100000000014
339,1,7,1,174.5182,0.0,26.4443
397,1,8,1,231.262,0.0,56.74379999999999
454,1,9,1,290.5267,0.0,59.264700000000005
511,1,10,1,348.6544,0.0,58.127700000000004
567,1,11,1,405.97,0.0,57.31560000000002
622,1,12,1,463.9895,0.0,58.019499999999994
678,1,13,1,521.5579,0.0,57.5684
732,1,14,1,576.4007,0.0,54.84280000000001
774,1,15,1,602.091,0.0,25.69029999999998
822,1,16,1,626.3652,0.0,24.27419999999995
870,1,17,1,650.6456,0.0,24.280399999999986
921,1,18,1,674.9357,0.0,24.290100000000052
968,1,19,1,699.2361,0.0,24.300399999999968
1017,1,20,1,723.5618,0.0,24.325699999999983
1068,1,21,1,747.9884,0.0,24.426600000000008
1116,1,22,1,772.4763,0.0,24.48790000000008
1168,1,23,1,796.9962,0.0,24.519900000000007
1219,1,24,1,821.4376,0.0,24.44139999999993
1271,1,25,1,845.943,0.0,24.50540000000001
1322,1,26,1,870.4680000000001,0.0,24.52500000000009
1374,1,27,1,895.0268,0.0,24.558799999999906
1431,1,28,1,919.5835,0.0,24.556699999999978
1481,1,29,1,944.1442,0.0,24.560699999999997
1531,1,30,1,968.7481,0.0,24.603900000000067
1582,1,31,1,993.3438,0.0,24.595699999999965
1633,1,32,1,1018.0141,0.0,24.670299999999997
1681,1,33,1,1042.692,0.0,24.677900000000022
1730,1,34,1,1067.2837,0.0,24.591699999999946
1782,1,35,1,1091.913,0.0,24.629300000000057
1832,1,36,1,1116.4428,0.0,24.529800000000023
1883,1,37,1,1140.9217,0.0,24.478900000000067
1933,1,38,1,1165.386,0.0,24.464299999999866
1984,1,39,1,1190.0237,0.0,24.637699999999995
2038,1,40,1,1214.539,0.0,24.515300000000025
2091,1,41,1,1239.1168,0.0,24.577800000000025
2143,1,42,1,1263.7899,0.0,24.673099999999977
2196,1,43,1,1289.1881,0.0,25.398200000000088
2248,1,44,1,1314.3657,0.0,25.177599999999984
2297,1,45,1,1339.4939,0.0,25.12819999999988
2346,1,46,1,1364.4141,0.0,24.920200000000023
2397,1,47,1,1389.0786,0.0,24.66450000000009
2448,1,48,1,1413.6965,0.0,24.617899999999963
2500,1,49,1,1438.0822,0.0,24.385700000000043
2552,1,50,1,1462.6443,0.0,24.562099999999873
2601,1,51,1,1487.1412,0.0,24.496900000000096
2652,1,52,1,1511.6164,0.0,24.475200000000086
2709,1,53,1,1536.3856,0.0,24.769199999999955
2761,1,54,1,1561.0923,0.0,24.706699999999955
2810,1,55,1,1585.719,0.0,24.626700000000028
2860,1,56,1,1610.4377,0.0,24.7186999999999
2914,1,57,1,1635.297,0.0,24.859300000000076
2966,1,58,1,1659.8438,0.0,24.546800000000076
3017,1,59,1,1684.5336,0.0,24.689799999999877
3127,1,60,14,1731.5303,13.0,46.99669999999992
3234,1,61,17,1782.5788,3.0,51.048500000000104
3293,1,62,17,1807.2758,0.0,24.69699999999989
3345,1,63,16,1831.5061,-1.0,24.23030000000017
3404,1,64,14,1855.91,-2.0,24.40390000000002
3461,1,65,10,1880.047,-4.0,24.136999999999944
3525,1,66,10,1904.0958,0.0,24.04880000000003
3582,1,67,9,1928.5435,-1.0,24.44769999999994
3636,1,68,7,1953.6223,-2.0,25.0788
3698,1,69,5,1977.5276,-2.0,23.905299999999897
3756,1,70,5,2001.5709,0.0,24.043300000000045
3794,1,71,4,2025.7092,-1.0,24.138300000000072
3853,1,72,2,2049.837,-2.0,24.12779999999998
3923,1,73,2,2073.9646,0.0,24.127599999999802
3979,1,74,2,2098.0678,0.0,24.103200000000015
4036,1,75,2,2122.2923,0.0,24.224500000000262
4089,1,76,2,2146.513,0.0,24.22069999999985
4143,1,77,2,2170.8914,0.0,24.378400000000056
4200,1,78,2,2195.134,0.0,24.24260000000004
4254,1,79,2,2219.6995,0.0,24.565500000000156
4309,1,80,2,2244.2656,0.0,24.566100000000006
4366,1,81,2,2268.746,0.0,24.480399999999918
4421,1,82,2,2293.2024,0.0,24.45640000000003
4476,1,83,2,2317.5951,0.0,24.392699999999877
4532,1,84,2,2342.0328,0.0,24.43769999999995
4588,1,85,2,2366.2921,0.0,24.259300000000167
4644,1,86,3,2391.1968,1.0,24.904700000000048
4702,1,87,3,2415.8543,0.0,24.6574999999998
4758,1,88,3,2440.3091,0.0,24.454799999999977
4813,1,89,3,2464.7775,0.0,24.4684000000002
4869,1,90,3,2489.1326,0.0,24.355099999999766
4924,1,91,3,2513.5408,0.0,24.408200000000306
4981,1,92,3,2538.0257,0.0,24.484899999999925
5034,1,93,3,2562.4233,0.0,24.397599999999784
5092,1,94,3,2586.8818,0.0,24.458500000000186
5147,1,95,3,2611.3438,0.0,24.46199999999999
5202,1,96,3,2636.5238,0.0,25.179999999999836
5326,1,97,15,2686.5119,12.0,49.98810000000003
5442,1,98,17,2737.4806,2.0,50.9686999999999
5494,1,99,16,2761.8882,-1.0,24.407600000000002
5551,1,100,16,2785.697,0.0,23.808800000000247
5605,1,101,16,2809.2727,0.0,23.57569999999987
5660,1,102,16,2833.6709,0.0,24.398200000000088
5714,1,103,16,2858.4179,0.0,24.746999999999844
5770,1,104,16,2882.776,0.0,24.358099999999922
5830,1,105,16,2907.2552,0.0,24.47920000000022
5888,1,106,16,2931.3169,0.0,24.061699999999746
5943,1,107,15,2955.8631,-1.0,24.546200000000226
6000,1,108,15,2980.66,0.0,24.796899999999823
6054,1,109,15,3004.7992,0.0,24.139200000000073
6107,1,110,15,3028.8056,0.0,24.006400000000212
6165,1,111,15,3052.8534,0.0,24.047799999999825
6220,1,112,15,3077.3327,0.0,24.479299999999967
6276,1,113,15,3101.6566,0.0,24.323899999999867
6332,1,114,15,3125.9116,0.0,24.25500000000011
6384,1,115,14,3150.1129,-1.0,24.201300000000174
6442,1,116,14,3174.4054,0.0,24.292500000000018
6497,1,117,14,3198.6863,0.0,24.280899999999747
6557,1,118,14,3223.0517,0.0,24.365400000000136
6607,1,119,14,3247.5973,0.0,24.545599999999922
6658,1,120,11,3272.2086,-3.0,24.61130000000003
6725,1,121,11,3296.7062,0.0,24.497600000000148
6762,1,122,9,3321.5182,-2.0,24.811999999999898
6833,1,123,9,3346.2990000000004,0.0,24.780800000000454
6872,1,124,7,3370.8762,-2.0,24.57719999999972
6932,1,125,7,3396.6209999999996,0.0,25.744799999999486
6987,1,126,7,3421.2558,0.0,24.63480000000027
7020,1,127,7,3445.5286,0.0,24.27280000000019
7075,1,128,5,3469.9018,-2.0,24.373199999999997
7136,1,129,4,3494.285,-1.0,24.38319999999976
7204,1,130,3,3518.6822,-1.0,24.39720000000034
7265,1,131,3,3542.9428,0.0,24.260599999999613
7320,1,132,3,3567.1934,0.0,24.250600000000304
7373,1,133,3,3591.442,0.0,24.248599999999897
7431,1,134,3,3615.7354,0.0,24.29340000000002
7489,1,135,3,3639.9106,0.0,24.17520000000013
7542,1,136,3,3664.1305,0.0,24.219900000000052
7597,1,137,4,3688.9769,1.0,24.846399999999903
7652,1,138,4,3713.3988,0.0,24.421899999999823
7707,1,139,4,3737.6979,0.0,24.29910000000018
7761,1,140,4,3762.0208,0.0,24.322899999999663
7812,1,141,4,3786.5629,0.0,24.54210000000012
7865,1,142,4,3811.6189,0.0,25.05600000000004
7983,1,143,13,3858.2503,9.0,46.63140000000021
8096,1,144,14,3909.1686,1.0,50.91829999999982
8154,1,145,14,3933.2669,0.0,24.09830000000011
8208,1,146,14,3957.1664,0.0,23.89949999999999
8263,1,147,14,3981.8156,0.0,24.649199999999837
8317,1,148,14,4006.1899,0.0,24.37429999999995
8376,1,149,14,4031.6042,0.0,25.414300000000367
8434,1,150,14,4057.2843,0.0,25.680099999999584
8490,1,151,14,4081.485,0.0,24.200700000000325
8548,1,152,14,4105.942,0.0,24.45699999999988
8604,1,153,14,4130.71,0.0,24.76800000000003
8658,1,154,14,4155.9661,0.0,25.256099999999606
8716,1,155,14,4181.0822,0.0,25.116100000000188
8774,1,156,14,4205.7912,0.0,24.708999999999833
8833,1,157,14,4230.1164,0.0,24.325200000000223
8887,1,158,13,4254.4123,-1.0,24.295900000000074
8941,1,159,12,4279.2229,-1.0,24.810599999999795
8998,1,160,12,4303.4194,0.0,24.196500000000015
9057,1,161,12,4328.8663,0.0,25.446899999999914
9112,1,162,12,4353.2794,0.0,24.413100000000668
9169,1,163,12,4377.8817,0.0,24.60229999999956
9222,1,164,12,4402.5046,0.0,24.6229000000003
9279,1,165,12,4427.3837,0.0,24.879100000000108
9338,1,166,12,4452.3305,0.0,24.946799999999712
9398,1,167,11,4477.840999999999,-1.0,25.51049999999941
9454,1,168,11,4502.9236,0.0,25.08260000000064
9508,1,169,11,4527.9925,0.0,25.068900000000212
9558,1,170,11,4554.6453,0.0,26.652799999999843
9617,1,171,11,4598.0849,0.0,43.4395999999997
9675,1,172,10,4640.1896,-1.0,42.104699999999866
9734,1,173,10,4682.863,0.0,42.67340000000058
9789,1,174,10,4747.2581,0.0,64.39509999999973
9837,1,175,10,4809.7149,0.0,62.45679999999993
9873,1,176,10,4874.1447,0.0,64.42979999999989
9931,1,177,10,4941.23,0.0,67.08529999999973
9985,1,178,10,4989.1835,0.0,47.95350000000053
10040,1,179,10,5025.0489,0.0,35.86539999999968
10096,1,180,10,5076.3286,0.0,51.27970000000005
10156,1,181,11,5152.0592,1.0,75.73059999999987
10208,1,182,11,5209.5152,0.0,57.45600000000013
10263,1,183,11,5265.0061,0.0,55.49089999999978
10307,1,184,11,5318.5126,0.0,53.506500000000415
10349,1,185,10,5344.7293,-1.0,26.216699999999946
10393,1,186,10,5369.5484,0.0,24.819099999999708
10446,1,187,10,5394.1747,0.0,24.6262999999999
10497,1,188,10,5418.4253,0.0,24.250600000000304
10550,1,189,10,5442.9152,0.0,24.48990000000049
10601,1,190,10,5467.6212,0.0,24.70599999999922
10654,1,191,11,5492.4818,1.0,24.860599999999977
10709,1,192,11,5517.5111,0.0,25.02930000000015
10763,1,193,11,5542.674,0.0,25.162900000000263
10815,1,194,11,5568.3204,0.0,25.64639999999963
10870,1,195,11,5594.344,0.0,26.023600000000442
10922,1,196,11,5619.5033,0.0,25.159300000000258
10974,1,197,11,5644.431,0.0,24.927699999999277
11028,1,198,11,5669.8882,0.0,25.45720000000074
11081,1,199,11,5695.5642,0.0,25.675999999999476
11131,1,200,11,5720.8669,0.0,25.302700000000186
11182,1,201,11,5745.7445,0.0,24.877599999999802
11229,1,202,11,5771.1264,0.0,25.381900000000314
11282,1,203,11,5798.2697,0.0,27.143299999999726
11337,1,204,11,5842.869000000001,0.0,44.59930000000077
11394,1,205,9,5892.4659,-2.0,49.59689999999955
11455,1,206,9,5948.6226,0.0,56.156699999999546
11515,1,207,9,6001.1399,0.0,52.51730000000043
11570,1,208,9,6069.8342,0.0,68.69430000000011
11595,1,209,9,6139.4874,0.0,69.65319999999974
11651,1,210,9,6209.1004,0.0,69.61300000000028
11703,1,211,9,6261.5296,0.0,52.42919999999958
11752,1,212,9,6294.4614,0.0,32.931800000000294
11805,1,213,8,6357.465,-1.0,63.003600000000006
11857,1,214,8,6412.0409,0.0,54.57589999999982
11899,1,215,8,6460.9204,0.0,48.87950000000001
11940,1,216,7,6486.5779,-1.0,25.657500000000255
11986,1,217,7,6511.428000000001,0.0,24.850100000000566
12032,1,218,7,6535.2953,0.0,23.867299999998977
12077,1,219,7,6559.0367,0.0,23.741399999999885
12124,1,220,7,6582.9316,0.0,23.894900000000234
12171,1,221,7,6606.6911,0.0,23.759500000000116
12216,1,222,7,6630.7033,0.0,24.01220000000012
12262,1,223,7,6654.6274,0.0,23.92410000000018
12310,1,224,7,6678.5525,0.0,23.925099999999475
12358,1,225,7,6702.6579,0.0,24.105400000000373
12423,1,226,10,6737.9472,3.0,35.28929999999946
12522,1,227,13,6788.7709,3.0,50.82370000000083
12571,1,228,13,6813.1611,0.0,24.390199999999822
12620,1,229,13,6837.6253,0.0,24.464199999999437
12668,1,230,13,6862.8247,0.0,25.199400000000423
12762,1,231,13,6911.7862,0.0,48.96149999999943
12880,1,232,14,6963.2507,1.0,51.464500000000044
12927,1,233,14,6987.5105,0.0,24.259800000000723
12976,1,234,14,7011.0905,0.0,23.579999999999927
13004,1,235,14,7034.5102,0.0,23.419699999999466
13051,1,236,14,7058.1989,0.0,23.68870000000061
13119,1,237,14,7082.3866,0.0,24.187699999999495
13168,1,238,14,7106.2457,0.0,23.85910000000058
13216,1,239,14,7130.1811,0.0,23.93539999999939
13261,1,240,14,7154.3218,0.0,24.140699999999924
13288,1,241,14,7179.4219,0.0,25.100100000000566
13351,1,242,14,7204.5818,0.0,25.159899999999652
13375,1,243,13,7228.7335,-1.0,24.151700000000346
13421,1,244,13,7253.5965,0.0,24.862999999999374
13466,3,0,2,0.0,0.0,0.0
13674,3,1,2,62.1349,0.0,62.1349
13733,3,2,6,128.9211,4.0,66.7862
21,4,0,19,2.3108,0.0,0.0
76,4,1,22,30.6408,3.0,28.33
125,4,2,21,57.0257,-1.0,26.384900000000002
174,4,3,20,82.346,-1.0,25.320300000000003
225,4,4,19,107.65299999999999,-1.0,25.306999999999988
280,4,5,19,132.7157,0.0,25.062700000000007
15,5,0,15,1.5034,0.0,0.0
69,5,1,16,29.8462,1.0,28.3428
117,5,2,16,55.5319,0.0,25.6857
168,5,3,15,81.2859,-1.0,25.753999999999998
220,5,4,15,106.7377,0.0,25.451800000000006
274,5,5,15,131.2245,0.0,24.486800000000002
324,5,6,15,155.5693,0.0,24.344799999999992
385,5,7,15,187.7705,0.0,32.2012
441,5,8,15,241.3073,0.0,53.5368
497,5,9,15,301.1106,0.0,59.80329999999998
555,5,10,15,361.4254,0.0,60.31480000000005
612,5,11,15,416.551,0.0,55.12559999999996
667,5,12,15,476.8008,0.0,60.24979999999999
722,5,13,15,532.6622,0.0,55.8614
766,5,14,15,578.2475,0.0,45.58529999999996
808,5,15,13,605.3689,-2.0,27.121400000000108
858,5,16,13,630.6042,0.0,25.23529999999994
907,5,17,13,655.3452,0.0,24.740999999999985
955,5,18,13,679.4106,0.0,24.065400000000068
1003,5,19,13,703.6209,0.0,24.21029999999996
1054,5,20,13,728.3929,0.0,24.772000000000048
1103,5,21,13,753.0287,0.0,24.635799999999904
1153,5,22,11,777.5188,-2.0,24.490100000000098
1201,5,23,11,801.6702,0.0,24.151399999999967
1255,5,24,11,825.8376,0.0,24.16739999999993
1304,5,25,11,850.096,0.0,24.25840000000005
1357,5,26,11,874.7318,0.0,24.635800000000017
1410,5,27,11,900.1696,0.0,25.437799999999925
1465,5,28,11,925.0224,0.0,24.852800000000002
1515,5,29,11,949.687,0.0,24.664600000000064
1567,5,30,11,974.0816,0.0,24.39459999999997
1618,5,31,11,998.6396,0.0,24.557999999999993
1667,5,32,11,1022.9625,0.0,24.322900000000004
1714,5,33,11,1047.4791,0.0,24.51660000000004
1765,5,34,11,1071.8586,0.0,24.379500000000007
1815,5,35,11,1096.3589,0.0,24.500299999999925
1867,5,36,11,1121.2247,0.0,24.865800000000036
1918,5,37,11,1146.0528,0.0,24.82809999999995
1969,5,38,11,1170.7022,0.0,24.649400000000014
2019,5,39,11,1195.3696,0.0,24.667400000000043
2074,5,40,11,1220.0115,0.0,24.641900000000078
2125,5,41,11,1244.5193,0.0,24.50779999999986
2179,5,42,11,1268.9713,0.0,24.451999999999998
2229,5,43,11,1293.5561,0.0,24.584800000000087
2282,5,44,11,1318.2469,0.0,24.69080000000008
2332,5,45,11,1343.1559,0.0,24.908999999999878
2383,5,46,11,1368.4126,0.0,25.256700000000137
2429,5,47,9,1395.5575,-2.0,27.14489999999978
2481,5,48,9,1420.5479999999998,0.0,24.990499999999884
2532,5,49,9,1445.0989,0.0,24.550900000000183
2581,5,50,9,1469.4634,0.0,24.364500000000135
2632,5,51,9,1494.1603,0.0,24.696899999999914
2682,5,52,9,1518.6182,0.0,24.45789999999988
2741,5,53,9,1543.4733,0.0,24.85510000000022
2791,5,54,9,1568.0955,0.0,24.622199999999793
2839,5,55,9,1592.3204,0.0,24.22490000000016
2893,5,56,9,1616.9379,0.0,24.617499999999836
2945,5,57,9,1641.5186,0.0,24.580700000000206
2997,5,58,9,1666.2563,0.0,24.737699999999904
3050,5,59,9,1690.8395,0.0,24.583200000000033
3103,5,60,8,1715.5676,-1.0,24.72810000000004
3162,5,61,8,1740.0201,0.0,24.452499999999873
3212,5,62,8,1764.4304,0.0,24.410300000000007
3263,5,63,6,1788.7719,-2.0,24.341499999999996
3324,5,64,5,1813.3683,-1.0,24.59640000000013
3387,5,65,5,1837.6215,0.0,24.25319999999988
3437,5,66,3,1861.9814,-2.0,24.359899999999925
3499,5,67,2,1886.7928,-1.0,24.81140000000005
3572,5,68,3,1923.3053,1.0,36.512500000000045
3736,5,69,17,1991.7761,14.0,68.47080000000005
3786,5,70,17,2016.4653,0.0,24.689200000000028
3827,5,71,17,2040.8229999999999,0.0,24.357699999999795
3893,5,72,15,2064.8769,-2.0,24.05390000000034
3951,5,73,15,2088.9645,0.0,24.08759999999984
4008,5,74,15,2112.9803,0.0,24.015800000000127
4062,5,75,15,2136.7685,0.0,23.78819999999996
4114,5,76,14,2162.4301,-1.0,25.661599999999908
4170,5,77,14,2186.2657,0.0,23.835599999999886
4224,5,78,14,2210.1726,0.0,23.90689999999995
4277,5,79,13,2234.3023,-1.0,24.129699999999957
4334,5,80,13,2258.4316,0.0,24.129300000000057
4388,5,81,13,2282.446,0.0,24.014400000000023
4444,5,82,13,2306.6881,0.0,24.242099999999937
4500,5,83,13,2331.1274,0.0,24.439300000000003
4555,5,84,13,2355.1437,0.0,24.01630000000023
4610,5,85,13,2379.5717,0.0,24.427999999999884
4665,5,86,12,2403.4874,-1.0,23.915700000000015
4722,5,87,12,2428.1162,0.0,24.628799999999956
4777,5,88,12,2452.2762,0.0,24.159999999999854
4833,5,89,12,2476.6012,0.0,24.325000000000273
4888,5,90,12,2501.0802,0.0,24.478999999999814
4942,5,91,11,2525.5641,-1.0,24.483900000000176
4999,5,92,11,2549.8160000000003,0.0,24.251900000000205
5052,5,93,11,2573.7942,0.0,23.97819999999956
5110,5,94,11,2597.8447,0.0,24.050500000000284
5166,5,95,11,2622.2158,0.0,24.371099999999842
5221,5,96,11,2646.6607,0.0,24.44489999999996
5281,5,97,10,2671.7609,-1.0,25.100200000000314
5342,5,98,9,2697.2861,-1.0,25.525199999999586
5401,5,99,9,2721.6877,0.0,24.401600000000144
5454,5,100,9,2745.9319,0.0,24.24420000000009
5512,5,101,9,2770.0437,0.0,24.11180000000013
5566,5,102,9,2794.0890000000004,0.0,24.045300000000225
5620,5,103,9,2818.4158,0.0,24.32679999999982
5674,5,104,9,2842.3773,0.0,23.961499999999887
5730,5,105,9,2866.8027,0.0,24.42540000000008
5785,5,106,8,2891.5016,-1.0,24.698899999999867
5850,5,107,8,2916.1672,0.0,24.665599999999813
5905,5,108,8,2940.3157,0.0,24.14850000000024
5963,5,109,8,2964.6619,0.0,24.346199999999953
6019,5,110,8,2989.5951,0.0,24.933199999999943
6073,5,111,8,3014.3768,0.0,24.7817
6130,5,112,8,3038.7969,0.0,24.42009999999982
6183,5,113,8,3063.2427,0.0,24.445799999999963
6240,5,114,8,3087.5835,0.0,24.3408000000004
6296,5,115,8,3112.237,0.0,24.653499999999894
6353,5,116,8,3137.0682,0.0,24.83120000000008
6408,5,117,8,3161.5912,0.0,24.522999999999683
6466,5,118,8,3185.8976,0.0,24.30639999999994
6519,5,119,6,3210.3197,-2.0,24.422100000000228
6579,5,120,6,3234.7684,0.0,24.448699999999917
6629,5,121,6,3259.3318,0.0,24.5634
6689,5,122,6,3283.9085,0.0,24.576700000000073
6740,5,123,3,3308.3218,-3.0,24.413300000000163
6799,5,124,3,3332.5805,0.0,24.258699999999862
6857,5,125,3,3356.7238,0.0,24.14330000000018
6912,5,126,3,3381.5829,0.0,24.85909999999967
6981,5,127,3,3417.6332,0.0,36.050300000000334
7100,5,128,13,3479.6132,10.0,61.97999999999956
7164,5,129,12,3504.5919,-1.0,24.978700000000117
7228,5,130,11,3528.9075,-1.0,24.315599999999904
7284,5,131,11,3552.9025,0.0,23.995000000000346
7338,5,132,11,3577.1164,0.0,24.21389999999974
7390,5,133,10,3601.0394,-1.0,23.92300000000023
7449,5,134,10,3624.9304,0.0,23.891000000000076
7504,5,135,10,3648.7851,0.0,23.854699999999866
7555,5,136,10,3673.007,0.0,24.221900000000005
7611,5,137,10,3697.9472,0.0,24.940200000000004
7665,5,138,9,3722.2437,-1.0,24.296499999999924
7719,5,139,9,3746.0657,0.0,23.822000000000116
7772,5,140,9,3770.3999,0.0,24.334199999999782
7826,5,141,9,3794.7333,0.0,24.333399999999983
7880,5,142,9,3819.5613,0.0,24.827999999999975
7937,5,143,8,3844.1412,-1.0,24.57990000000018
7998,5,144,8,3868.0802,0.0,23.93899999999985
8052,5,145,7,3892.5343,-1.0,24.454099999999926
8108,5,146,7,3916.5497,0.0,24.015400000000227
8166,5,147,7,3941.0437,0.0,24.494000000000142
8218,5,148,6,3965.1744,-1.0,24.130699999999706
8275,5,149,6,3989.7883,0.0,24.613900000000285
8330,5,150,6,4014.1049,0.0,24.316599999999653
8387,5,151,6,4038.4432,0.0,24.338300000000345
8444,5,152,6,4062.6408,0.0,24.197599999999966
8501,5,153,6,4086.7295,0.0,24.08869999999979
8558,5,154,6,4110.8267,0.0,24.097199999999702
8614,5,155,6,4135.0063,0.0,24.17960000000039
8668,5,156,6,4159.0708,0.0,24.064500000000407
8726,5,157,6,4183.2314,0.0,24.16059999999925
8784,5,158,6,4208.2981,0.0,25.06670000000031
8840,5,159,6,4233.8371,0.0,25.53899999999976
8896,5,160,6,4258.5382,0.0,24.701100000000224
8951,5,161,6,4283.1486,0.0,24.61040000000048
9010,5,162,6,4307.6236,0.0,24.474999999999454
9068,5,163,6,4332.9167,0.0,25.293099999999868
9124,5,164,6,4358.0635,0.0,25.14680000000044
9180,5,165,6,4382.678,0.0,24.61449999999968
9232,5,166,5,4407.3028,-1.0,24.624800000000505
9294,5,167,5,4431.6739,0.0,24.371099999999387
9349,5,168,5,4456.1213,0.0,24.447400000000016
9406,5,169,5,4481.0668,0.0,24.94549999999981
9461,5,170,4,4506.1086,-1.0,25.041799999999967
9515,5,171,4,4530.6615,0.0,24.55290000000059
9563,5,172,3,4559.9197,-1.0,29.258200000000215
9625,5,173,3,4604.8035,0.0,44.88379999999961
9684,5,174,3,4647.0656,0.0,42.26209999999992
9740,5,175,3,4686.3255,0.0,39.259900000000016
9795,5,176,3,4750.7054,0.0,64.3798999999999
9850,5,177,3,4815.9114,0.0,65.20600000000013
9903,5,178,2,4886.4863,-1.0,70.57489999999962
9942,5,179,2,4946.3107,0.0,59.82440000000042
10015,5,180,2,5002.8701,0.0,56.559400000000096
10072,5,181,2,5067.306,0.0,64.43589999999949
10132,5,182,2,5131.777,0.0,64.47100000000046
10191,5,183,2,5196.5691,0.0,64.79209999999966
10228,5,184,2,5259.1822,0.0,62.613100000000486
10280,5,185,2,5317.0507,0.0,57.868499999999585
10339,5,186,3,5343.2451,1.0,26.194400000000314
10385,5,187,3,5367.6648,0.0,24.419699999999466
10435,5,188,3,5391.5395,0.0,23.874700000000303
10487,5,189,3,5415.2883,0.0,23.7488000000003
10538,5,190,3,5439.2725,0.0,23.984199999999873
10589,5,191,3,5463.3951,0.0,24.122599999999693
10643,5,192,3,5487.9254,0.0,24.530300000000352
10697,5,193,3,5512.5967,0.0,24.671299999999974
10753,5,194,4,5537.4018,1.0,24.805099999999584
10806,5,195,4,5562.022,0.0,24.620200000000295
10857,5,196,4,5587.1517,0.0,25.129700000000412
10910,5,197,5,5612.4996,1.0,25.347899999999754
10962,5,198,5,5638.0291,0.0,25.529499999999643
11015,5,199,5,5662.5843,0.0,24.555200000000696
11068,5,200,5,5687.8927,0.0,25.308399999999892
11118,5,201,5,5712.5813,0.0,24.688599999999497
11167,5,202,5,5737.486999999999,0.0,24.905699999999342
11217,5,203,4,5763.4852,-1.0,25.998200000000907
11267,5,204,4,5790.2313,0.0,26.746100000000297
11319,5,205,4,5831.0415,0.0,40.810199999999895
11374,5,206,4,5887.6045,0.0,56.5630000000001
11444,5,207,4,5942.7211,0.0,55.11659999999938
11504,5,208,4,5996.891,0.0,54.16989999999987
11562,5,209,4,6068.8392,0.0,71.94820000000072
11629,5,210,4,6146.7561,0.0,77.91689999999926
11684,5,211,4,6217.1597,0.0,70.40360000000055
11738,5,212,4,6276.1334,0.0,58.97369999999955
11793,5,213,4,6342.9877,0.0,66.85429999999997
11850,5,214,4,6408.0288,0.0,65.04110000000037
11879,5,215,4,6460.2806,0.0,52.2518
11936,5,216,4,6485.9483,0.0,25.667699999999968
11981,5,217,4,6509.7751,0.0,23.82679999999982
12028,5,218,4,6533.6088,0.0,23.833700000000135
12071,5,219,4,6557.3463,0.0,23.737500000000182
12118,5,220,4,6580.9082,0.0,23.561899999999696
12166,5,221,4,6604.4723,0.0,23.564100000000508
12209,5,222,4,6628.2896,0.0,23.817299999999705
12255,5,223,4,6652.2119,0.0,23.922300000000178
12304,5,224,4,6675.9462,0.0,23.734300000000076
12352,5,225,4,6700.0244,0.0,24.078199999999924
12399,5,226,4,6723.9264,0.0,23.902000000000044
12449,5,227,4,6748.1162,0.0,24.189800000000105
12495,5,228,4,6772.6778,0.0,24.5616
12549,5,229,4,6796.8757,0.0,24.19789999999921
12598,5,230,4,6821.1072,0.0,24.23150000000078
12646,5,231,4,6845.1368,0.0,24.029599999999846
12694,5,232,4,6869.2279,0.0,24.091099999999642
12740,5,233,4,6893.6356,0.0,24.40769999999975
12789,5,234,4,6917.88,0.0,24.244400000000496
12836,5,235,4,6942.1252,0.0,24.245200000000295
12884,5,236,4,6966.3715,0.0,24.246299999999792
12932,5,237,4,6990.436,0.0,24.064499999999498
12981,5,238,4,7014.7163,0.0,24.280300000000352
13028,5,239,4,7039.1414,0.0,24.425100000000384
13075,5,240,4,7063.2045,0.0,24.063099999999395
13125,5,241,4,7087.7312,0.0,24.526700000000346
13174,5,242,4,7111.7846,0.0,24.053399999999783
13221,5,243,4,7136.3528,0.0,24.568199999999706
13267,5,244,4,7160.6516,0.0,24.298800000000483
13311,5,245,4,7185.1203,0.0,24.468699999999444
13357,5,246,4,7209.5075,0.0,24.38720000000012
13403,5,247,4,7233.7971,0.0,24.289600000000064
13447,5,248,4,7258.3024,0.0,24.505299999999806
3,6,0,4,0.3834,0.0,0.0
51,6,1,5,27.2803,1.0,26.8969
100,6,2,4,52.3106,-1.0,25.0303
152,6,3,4,76.8346,0.0,24.523999999999994
204,6,4,4,101.0541,0.0,24.21950000000001
257,6,5,4,125.3433,0.0,24.289199999999994
308,6,6,4,150.3243,0.0,24.980999999999995
364,6,7,4,177.3894,0.0,27.0651
423,6,8,4,234.1971,0.0,56.80770000000001
479,6,9,4,293.1089,0.0,58.9118
536,6,10,4,351.283,0.0,58.17410000000001
593,6,11,4,409.027,0.0,57.74399999999997
648,6,12,4,468.7024,0.0,59.675400000000025
703,6,13,4,524.1942,0.0,55.49180000000001
754,6,14,4,576.7697,0.0,52.57549999999992
797,6,15,4,602.9882,0.0,26.218500000000063
