,car_number,completed_laps,rank,elapsed_time,rank_diff,time_diff
15,5,0,15,1.5034,0.0,0.0
69,5,1,16,29.8462,1.0,28.3428
117,5,2,16,55.5319,0.0,25.6857
168,5,3,15,81.2859,-1.0,25.753999999999998
220,5,4,15,106.7377,0.0,25.451800000000006
274,5,5,15,131.2245,0.0,24.486800000000002
324,5,6,15,155.5693,0.0,24.344799999999992
385,5,7,15,187.7705,0.0,32.2012
441,5,8,15,241.3073,0.0,53.5368
497,5,9,15,301.1106,0.0,59.80329999999998
555,5,10,15,361.4254,0.0,60.31480000000005
612,5,11,15,416.551,0.0,55.12559999999996
667,5,12,15,476.8008,0.0,60.24979999999999
722,5,13,15,532.6622,0.0,55.8614
766,5,14,15,578.2475,0.0,45.58529999999996
808,5,15,13,605.3689,-2.0,27.121400000000108
858,5,16,13,630.6042,0.0,25.23529999999994
907,5,17,13,655.3452,0.0,24.740999999999985
955,5,18,13,679.4106,0.0,24.065400000000068
1003,5,19,13,703.6209,0.0,24.21029999999996
1054,5,20,13,728.3929,0.0,24.772000000000048
1103,5,21,13,753.0287,0.0,24.635799999999904
1153,5,22,11,777.5188,-2.0,24.490100000000098
1201,5,23,11,801.6702,0.0,24.151399999999967
1255,5,24,11,825.8376,0.0,24.16739999999993
1304,5,25,11,850.096,0.0,24.25840000000005
1357,5,26,11,874.7318,0.0,24.635800000000017
1410,5,27,11,900.1696,0.0,25.437799999999925
1465,5,28,11,925.0224,0.0,24.852800000000002
1515,5,29,11,949.687,0.0,24.664600000000064
1567,5,30,11,974.0816,0.0,24.39459999999997
1618,5,31,11,998.6396,0.0,24.557999999999993
1667,5,32,11,1022.9625,0.0,24.322900000000004
1714,5,33,11,1047.4791,0.0,24.51660000000004
1765,5,34,11,1071.8586,0.0,24.379500000000007
1815,5,35,11,1096.3589,0.0,24.500299999999925
1867,5,36,11,1121.2247,0.0,24.865800000000036
1918,5,37,11,1146.0528,0.0,24.82809999999995
1969,5,38,11,1170.7022,0.0,24.649400000000014
2019,5,39,11,1195.3696,0.0,24.667400000000043
2074,5,40,11,1220.0115,0.0,24.641900000000078
2125,5,41,11,1244.5193,0.0,24.50779999999986
2179,5,42,11,1268.9713,0.0,24.451999999999998
2229,5,43,11,1293.5561,0.0,24.584800000000087
2282,5,44,11,1318.2469,0.0,24.69080000000008
2332,5,45,11,1343.1559,0.0,24.908999999999878
2383,5,46,11,1368.4126,0.0,25.256700000000137
2429,5,47,9,1395.5575,-2.0,27.14489999999978
2481,5,48,9,1420.5479999999998,0.0,24.990499999999884
2532,5,49,9,1445.0989,0.0,24.550900000000183
2581,5,50,9,1469.4634,0.0,24.364500000000135
2632,5,51,9,1494.1603,0.0,24.696899999999914
2682,5,52,9,1518.6182,0.0,24.45789999999988
2741,5,53,9,1543.4733,0.0,24.85510000000022
2791,5,54,9,1568.0955,0.0,24.622199999999793
2839,5,55,9,1592.3204,0.0,24.22490000000016
2893,5,56,9,1616.9379,0.0,24.617499999999836
2945,5,57,9,1641.5186,0.0,24.580700000000206
2997,5,58,9,1666.2563,0.0,24.737699999999904
3050,5,59,9,1690.8395,0.0,24.583200000000033
3103,5,60,8,1715.5676,-1.0,24.72810000000004
3162,5,61,8,1740.0201,0.0,24.452499999999873
3212,5,62,8,1764.4304,0.0,24.410300000000007
3263,5,63,6,1788.7719,-2.0,24.341499999999996
3324,5,64,5,1813.3683,-1.0,24.59640000000013
3387,5,65,5,1837.6215,0.0,24.25319999999988
3437,5,66,3,1861.9814,-2.0,24.359899999999925
3499,5,67,2,1886.7928,-1.0,24.81140000000005
3572,5,68,3,1923.3053,1.0,36.512500000000045
