,model,prediction_length,halfmode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,oracle,2,True,indy500-r0.2,0.8135593220338984,0.7796610169491526,0.8610169491525423,0.8322033898305085,0.8737062841567449,7.086501810093281
1,deepAR,2,True,indy500-r0.2,0.5466101694915254,0.5169491525423728,0.7669491525423728,0.7152542372881356,0.790049953525473,15.357726398488222
2,naive,2,True,indy500-r0.2,0.6440677966101694,0.576271186440678,0.823728813559322,0.7711864406779662,0.8149622953307029,14.35432081795447
3,curtrack,2,True,indy500-r0.2,0.597457627118644,0.5169491525423728,0.8084745762711865,0.7491525423728813,0.8321144787748085,11.919994475894848
4,zerotrack,2,True,indy500-r0.2,0.5889830508474576,0.5338983050847458,0.8101694915254237,0.7694915254237288,0.8258020771781928,11.837069269115363
5,oracle,2,True,indy500-r0.4,0.7711864406779662,0.7203389830508474,0.8677966101694915,0.8305084745762712,0.8825255307836423,6.366380933464893
6,deepAR,2,True,indy500-r0.4,0.5635593220338984,0.4915254237288136,0.7779661016949152,0.7186440677966102,0.8012113689949577,14.04727835984742
7,naive,2,True,indy500-r0.4,0.6440677966101694,0.576271186440678,0.823728813559322,0.7711864406779662,0.8149622953307029,14.35432081795447
8,curtrack,2,True,indy500-r0.4,0.6016949152542372,0.5084745762711864,0.8101694915254237,0.747457627118644,0.8342974829469055,11.734079214428293
9,zerotrack,2,True,indy500-r0.4,0.5042372881355932,0.3983050847457627,0.8016949152542373,0.7610169491525424,0.8338612007725056,10.940163146681458
10,oracle,2,True,indy500,0.75,0.7033898305084746,0.8601694915254238,0.8305084745762712,0.8719127280178964,7.086363407899953
11,deepAR,2,True,indy500,0.576271186440678,0.5,0.7762711864406779,0.7254237288135593,0.7900717902969657,15.012809829305466
12,naive,2,True,indy500,0.6440677966101694,0.576271186440678,0.823728813559322,0.7711864406779662,0.8149622953307029,14.35432081795447
13,curtrack,2,True,indy500,0.597457627118644,0.4915254237288136,0.8025423728813559,0.7389830508474576,0.8178039702050895,12.703796533471015
14,zerotrack,2,True,indy500,0.5677966101694916,0.4915254237288136,0.8127118644067797,0.7677966101694915,0.8324941083362597,11.316256946442447
15,oracle,5,True,indy500-r0.2,0.6620689655172414,0.5172413793103449,0.8137931034482758,0.7310344827586207,0.8260618816259305,9.996180720700236
16,deepAR,5,True,indy500-r0.2,0.43448275862068964,0.3620689655172414,0.6027586206896551,0.4586206896551724,0.6416267940674426,29.537765156598997
17,naive,5,True,indy500-r0.2,0.4689655172413793,0.3620689655172414,0.6841379310344827,0.5241379310344828,0.6526228663260848,29.768161190509126
