,model,prediction_length,halfmode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,oracle,2,True,indy500-r0.2,0.7631578947368421,0.7368421052631579,0.8447368421052631,0.8263157894736842,0.8648542221825973,6.93812983545821
1,deepAR,2,True,indy500-r0.2,0.6052631578947368,0.5526315789473685,0.7921052631578948,0.7526315789473684,0.7975021672215101,12.5064044168392
2,naive,2,True,indy500-r0.2,0.618421052631579,0.5789473684210527,0.8131578947368421,0.7684210526315789,0.7955725704053203,14.307785768769751
3,curtrack,2,True,indy500-r0.2,0.631578947368421,0.6052631578947368,0.8078947368421052,0.7842105263157895,0.8414569628558723,9.34877320111874
4,zerotrack,2,True,indy500-r0.2,0.618421052631579,0.5789473684210527,0.8131578947368421,0.7789473684210526,0.8358188392200369,8.832056409138792
5,oracle,2,True,indy500-r0.4,0.7763157894736842,0.7631578947368421,0.881578947368421,0.8473684210526315,0.8848002822583855,5.4766462351531
6,deepAR,2,True,indy500-r0.4,0.5263157894736842,0.4473684210526316,0.7763157894736842,0.7263157894736842,0.7940131671210886,11.99600114416476
7,naive,2,True,indy500-r0.4,0.618421052631579,0.5789473684210527,0.8131578947368421,0.7684210526315789,0.7955725704053203,14.307785768769751
8,curtrack,2,True,indy500-r0.4,0.5789473684210527,0.5526315789473685,0.8236842105263158,0.7684210526315789,0.8367770269469689,9.810035142203333
9,zerotrack,2,True,indy500-r0.4,0.5921052631578947,0.5526315789473685,0.8184210526315789,0.7631578947368421,0.851882151272547,7.904423558897243
10,oracle,2,True,indy500,0.8026315789473685,0.8157894736842105,0.8578947368421053,0.8421052631578947,0.8717573481094817,6.457534234136064
11,deepAR,2,True,indy500,0.5789473684210527,0.5263157894736842,0.7789473684210526,0.7421052631578947,0.796834215518258,12.561853183683851
12,naive,2,True,indy500,0.618421052631579,0.5789473684210527,0.8131578947368421,0.7684210526315789,0.7955725704053203,14.307785768769751
13,curtrack,2,True,indy500,0.5921052631578947,0.5789473684210527,0.8131578947368421,0.7631578947368421,0.8369143711503044,9.623705459300423
14,zerotrack,2,True,indy500,0.618421052631579,0.5526315789473685,0.8078947368421052,0.7684210526315789,0.8351278388756513,8.491142167011734
