,model,prediction_length,halfmode,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,deepAR-Oracle,2,True,0.75,0.7074468085106383,0.851063829787234,0.8191489361702128,0.8549564848177178,11.040664441123948
1,deepAR-Oracle-curtrack,2,True,0.7473404255319149,0.6861702127659575,0.8457446808510638,0.8053191489361702,0.8426107656891395,11.944723625106569
2,deepAR,2,True,0.6382978723404256,0.5851063829787234,0.7728723404255319,0.7180851063829787,0.7700098762129522,21.018825724455038
3,naive,2,True,0.6835106382978723,0.6117021276595744,0.825,0.7797872340425532,0.7991756889394199,20.12814306413567
4,deepAR-Oracle-curtrack,2,True,0.6409574468085106,0.5585106382978723,0.800531914893617,0.7340425531914894,0.8056074407334074,17.097550221771467
5,deepAR-Oracle-zerotrack,2,True,0.6276595744680851,0.574468085106383,0.7973404255319149,0.7510638297872341,0.8208972229941873,14.399776448434627
6,deepAR-Oracle,5,True,0.6344086021505376,0.4946236559139785,0.775483870967742,0.6817204301075269,0.7916904132987945,17.768332024011176
7,deepAR-Oracle-curtrack,5,True,0.6021505376344086,0.46236559139784944,0.7643010752688172,0.6688172043010753,0.7811886237677155,18.005799240569434
8,deepAR,5,True,0.4666666666666667,0.3655913978494624,0.64,0.5225806451612903,0.6299192339993009,37.94679552570711
9,naive,5,True,0.5096774193548387,0.3978494623655914,0.6950537634408602,0.5698924731182796,0.6277174765379666,39.830136669813555
10,deepAR-Oracle-curtrack,5,True,0.4774193548387097,0.3333333333333333,0.6597849462365591,0.5268817204301075,0.685676794560982,30.226207296678616
11,deepAR-Oracle-zerotrack,5,True,0.4881720430107527,0.3548387096774194,0.6576344086021505,0.5118279569892473,0.6769556447705676,31.350377026051095
12,deepAR-Oracle,10,True,0.5147058823529411,0.29411764705882354,0.6994117647058824,0.5882352941176471,0.7150027121324056,20.34244570859355
13,deepAR-Oracle-curtrack,10,True,0.5823529411764706,0.35294117647058826,0.7123529411764706,0.6176470588235294,0.7122236265030555,21.073199198137566
