,model,prediction_length,halfmode,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,deepAR-Oracle,2,True,0.6382978723404256,0.5531914893617021,0.8021276595744681,0.7446808510638298,0.8129691234818227,16.771118856657576
1,deepAR-Oracle-curtrack,2,True,0.6595744680851063,0.5638297872340425,0.801063829787234,0.7404255319148936,0.806336933556045,17.12944514888583
2,deepAR,2,True,0.6170212765957447,0.5531914893617021,0.7622340425531915,0.7117021276595744,0.7686658690697263,21.00140742014736
3,naive,2,True,0.6835106382978723,0.6117021276595744,0.825,0.7797872340425532,0.7991756889394199,20.12814306413567
4,arima,2,True,0.6835106382978723,0.6117021276595744,0.825,0.7797872340425532,0.7991756889394199,20.12814306413567
5,deepAR-Oracle,5,True,0.4924731182795699,0.3763440860215054,0.6782795698924731,0.5397849462365591,0.6935847000965254,30.045807079426105
6,deepAR-Oracle-curtrack,5,True,0.46881720430107526,0.3333333333333333,0.6567741935483871,0.5204301075268817,0.6846053697598132,30.223525717023882
7,deepAR,5,True,0.4645161290322581,0.3548387096774194,0.64,0.5096774193548387,0.6270272432203319,38.50699561597113
8,naive,5,True,0.5096774193548387,0.3978494623655914,0.6950537634408602,0.5698924731182796,0.6277174765379666,39.830136669813555
9,arima,5,True,0.5096774193548387,0.3978494623655914,0.6950537634408602,0.5698924731182796,0.6277174765379666,39.830136669813555
10,deepAR-Oracle,10,True,0.32941176470588235,0.08823529411764706,0.5494117647058824,0.40588235294117647,0.5592921861004921,40.810535367233534
11,deepAR-Oracle-curtrack,10,True,0.35,0.11764705882352941,0.5529411764705883,0.3941176470588235,0.5591861862659534,40.73689270455258
12,deepAR,10,True,0.29705882352941176,0.11764705882352941,0.5,0.3411764705882353,0.49347863678558956,47.5245485060519
13,naive,10,True,0.34705882352941175,0.14705882352941177,0.5276470588235294,0.36470588235294116,0.48660083895164746,50.42363192579013
14,arima,10,True,0.34705882352941175,0.14705882352941177,0.5276470588235294,0.36470588235294116,0.48660083895164746,50.42363192579013
15,deepAR-Oracle,20,True,0.2357142857142857,0.0,0.365,0.2,0.3861726460098642,57.73680683620339
16,deepAR-Oracle-curtrack,20,True,0.18214285714285713,0.0,0.37714285714285717,0.2,0.36865495027429596,59.48899038286107
17,deepAR,20,True,0.2392857142857143,0.07142857142857142,0.375,0.2571428571428571,0.40492563761008443,54.469294887834295
18,naive,20,True,0.2,0.07142857142857142,0.36357142857142855,0.22857142857142856,0.35931992864765944,61.074956881514765
19,arima,20,True,0.2,0.07142857142857142,0.36357142857142855,0.22857142857142856,0.35931992864765944,61.074956881514765
20,deepAR-Oracle,30,True,0.1625,0.0,0.405,0.275,0.342048828893479,59.385897387946244
21,deepAR-Oracle-curtrack,30,True,0.2125,0.125,0.43333333333333335,0.375,0.36694174057709666,54.5816672748282
22,deepAR,30,True,0.23333333333333334,0.125,0.38333333333333336,0.25,0.3671123399092748,54.550087484035764
23,naive,30,True,0.24166666666666667,0.25,0.44083333333333335,0.45,0.37596522497757,54.689220717022444
24,arima,30,True,0.24166666666666667,0.25,0.44083333333333335,0.45,0.37596522497757,54.689220717022444
25,deepAR-Oracle,2,False,0.6808510638297872,0.5851063829787234,0.8223404255319149,0.7574468085106383,0.8232553972304946,15.020744142188565
26,deepAR-Oracle-curtrack,2,False,0.6329787234042553,0.5531914893617021,0.8117021276595745,0.7446808510638298,0.8142308689164688,15.295785680934381
27,deepAR,2,False,0.6542553191489362,0.5851063829787234,0.801063829787234,0.7531914893617021,0.8023485605723225,15.97176290173565
28,naive,2,False,0.7446808510638298,0.6808510638297872,0.8542553191489362,0.8021276595744681,0.8461697125880255,13.409516667776511
29,arima,2,False,0.7446808510638298,0.6808510638297872,0.8542553191489362,0.8021276595744681,0.8461697125880255,13.409516667776511
30,deepAR-Oracle,5,False,0.5081081081081081,0.32432432432432434,0.6648648648648648,0.5351351351351351,0.6899006596140778,28.70725769950483
31,deepAR-Oracle-curtrack,5,False,0.518918918918919,0.40540540540540543,0.6562162162162162,0.5459459459459459,0.6874650343350386,27.86481319204761
32,deepAR,5,False,0.5135135135135135,0.40540540540540543,0.654054054054054,0.5513513513513514,0.664131692570033,30.994934495781326
