,model,prediction_length,halfmode,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,deepAR-Oracle,2,True,0.648936170212766,0.5638297872340425,0.8026595744680851,0.747872340425532,0.809419651666346,13.401023321292742
1,deepAR-Oracle-curtrack,2,True,0.6462765957446809,0.5638297872340425,0.801595744680851,0.7382978723404255,0.8059052306132558,13.475973378558951
2,deepAR,2,True,0.648936170212766,0.5851063829787234,0.8026595744680851,0.7404255319148936,0.783214176175894,15.121609253630533
3,naive,2,True,0.6888297872340425,0.6170212765957447,0.823404255319149,0.7776595744680851,0.7967779663585223,15.814126910708769
4,arima,2,True,0.6888297872340425,0.6170212765957447,0.823404255319149,0.7776595744680851,0.7967779663585223,15.814126910708769
5,deepAR-Oracle,2,False,0.6648936170212766,0.5957446808510638,0.8351063829787234,0.776595744680851,0.8276270369527564,11.365071178949533
6,deepAR-Oracle-curtrack,2,False,0.6808510638297872,0.6063829787234043,0.8319148936170213,0.7659574468085106,0.8184343571757186,11.746587264878196
7,deepAR,2,False,0.6595744680851063,0.6170212765957447,0.8351063829787234,0.776595744680851,0.820730096442468,11.074287953540962
8,naive,2,False,0.75,0.6808510638297872,0.8542553191489362,0.8,0.8475092527550083,10.346604224483498
9,arima,2,False,0.75,0.6808510638297872,0.8542553191489362,0.8,0.8475092527550083,10.346604224483498
