,model,prediction_length,halfmode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,oracle,2,False,r0.8,0.7631578947368421,0.7368421052631579,0.9105263157894737,0.8631578947368421,0.9051721583855785,4.708682939232139
1,deepAR,2,False,r0.8,0.6578947368421053,0.5789473684210527,0.9052631578947369,0.8526315789473684,0.8998318390527972,5.089914823290108
2,naive,2,False,r0.8,0.7105263157894737,0.631578947368421,0.9105263157894737,0.8631578947368421,0.9194350253103112,4.384855072463768
3,curtrack,2,False,r0.8,0.6842105263157895,0.631578947368421,0.9105263157894737,0.8631578947368421,0.902620069316125,4.997405288583778
4,zerotrack,2,False,r0.8,0.6842105263157895,0.631578947368421,0.9052631578947369,0.8526315789473684,0.8968351369394577,5.147213323162981
5,oracle,5,False,r0.8,0.5142857142857142,0.5714285714285714,0.76,0.6857142857142857,0.785455333754055,12.903929606625258
6,deepAR,5,False,r0.8,0.4857142857142857,0.42857142857142855,0.7314285714285714,0.6,0.758528644870333,15.206451345755692
7,naive,5,False,r0.8,0.4857142857142857,0.42857142857142855,0.7485714285714286,0.6571428571428571,0.7882465192664682,13.506451345755693
8,curtrack,5,False,r0.8,0.4857142857142857,0.42857142857142855,0.7371428571428571,0.6285714285714286,0.7526169167008042,15.49391166321601
9,zerotrack,5,False,r0.8,0.45714285714285713,0.42857142857142855,0.7371428571428571,0.6285714285714286,0.7571987422637039,14.974023464458245
10,oracle,10,False,r0.8,0.23333333333333334,0.0,0.58,0.4,0.6340442549966846,21.64151851851852
11,deepAR,10,False,r0.8,0.26666666666666666,0.0,0.5533333333333333,0.3333333333333333,0.5966082504499385,24.81214814814815
12,naive,10,False,r0.8,0.4,0.3333333333333333,0.58,0.4,0.6213473808847211,23.556962962962967
13,curtrack,10,False,r0.8,0.4,0.3333333333333333,0.58,0.4,0.6207902244955954,23.6842962962963
14,zerotrack,10,False,r0.8,0.23333333333333334,0.0,0.5333333333333333,0.26666666666666666,0.5878853272710051,25.592
