,model,prediction_length,halfmode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,oracle,2,True,r0.5,0.6973684210526315,0.631578947368421,0.8105263157894737,0.7842105263157895,0.8565376589579037,6.495403363481166
1,deepAR,2,True,r0.5,0.3815789473684211,0.3157894736842105,0.6815789473684211,0.6157894736842106,0.7137115414087415,16.446899767534784
2,naive,2,True,r0.5,0.618421052631579,0.5789473684210527,0.8131578947368421,0.7684210526315789,0.7955725704053203,14.307785768769751
3,curtrack,2,True,r0.5,0.47368421052631576,0.3684210526315789,0.7894736842105263,0.7421052631578947,0.8120700998310704,10.850775580254986
4,zerotrack,2,True,r0.5,0.47368421052631576,0.4473684210526316,0.8026315789473685,0.7526315789473684,0.8080038637048327,10.236401511023939
5,oracle,2,True,r0.6,0.7894736842105263,0.7894736842105263,0.868421052631579,0.8315789473684211,0.8875964122213618,5.271319149322584
6,deepAR,2,True,r0.6,0.47368421052631576,0.3684210526315789,0.7394736842105263,0.6789473684210526,0.7821079851745146,13.32931785986706
7,naive,2,True,r0.6,0.618421052631579,0.5789473684210527,0.8131578947368421,0.7684210526315789,0.7955725704053203,14.307785768769751
8,curtrack,2,True,r0.6,0.6052631578947368,0.5526315789473685,0.8078947368421052,0.7578947368421053,0.8376634448245701,9.677534869783152
9,zerotrack,2,True,r0.6,0.6052631578947368,0.5263157894736842,0.7973684210526316,0.7421052631578947,0.8266754302442147,9.015999509643676
10,oracle,2,True,r0.7,0.8157894736842105,0.8157894736842105,0.8710526315789474,0.8315789473684211,0.8906799114833506,4.975437325197051
11,deepAR,2,True,r0.7,0.5263157894736842,0.5,0.7657894736842106,0.7052631578947368,0.7813140413227907,13.357266808325162
12,naive,2,True,r0.7,0.618421052631579,0.5789473684210527,0.8131578947368421,0.7684210526315789,0.7955725704053203,14.307785768769751
13,curtrack,2,True,r0.7,0.6052631578947368,0.5526315789473685,0.8184210526315789,0.7789473684210526,0.8405646677920873,9.501686734953322
14,zerotrack,2,True,r0.7,0.6447368421052632,0.6052631578947368,0.8236842105263158,0.7842105263157895,0.8391824128930401,8.700128400711925
15,oracle,5,True,r0.5,0.6444444444444445,0.5555555555555556,0.7955555555555556,0.7333333333333333,0.8014454387581412,8.210093397745574
16,deepAR,5,True,r0.5,0.32222222222222224,0.05555555555555555,0.5266666666666666,0.37777777777777777,0.5989322121470458,25.725100912506708
17,naive,5,True,r0.5,0.43333333333333335,0.3333333333333333,0.6844444444444444,0.5444444444444444,0.6348422864622353,27.227244229736982
18,curtrack,5,True,r0.5,0.45555555555555555,0.3333333333333333,0.6666666666666666,0.5,0.6978014030615907,18.151261943102526
19,zerotrack,5,True,r0.5,0.4888888888888889,0.4444444444444444,0.6711111111111111,0.5444444444444444,0.6801608945378765,18.63127750939345
20,oracle,5,True,r0.6,0.7,0.5,0.7911111111111111,0.7444444444444445,0.8062967061923584,8.992633387010198
21,deepAR,5,True,r0.6,0.4222222222222222,0.3888888888888889,0.6044444444444445,0.4222222222222222,0.641538860615246,23.592303811057434
22,naive,5,True,r0.6,0.43333333333333335,0.3333333333333333,0.6844444444444444,0.5444444444444444,0.6348422864622353,27.227244229736982
23,curtrack,5,True,r0.6,0.5111111111111111,0.3888888888888889,0.7088888888888889,0.6111111111111112,0.730337207827063,15.82667901234568
24,zerotrack,5,True,r0.6,0.43333333333333335,0.3888888888888889,0.7,0.5666666666666667,0.7182959644756746,16.39424154589372
25,oracle,5,True,r0.7,0.6555555555555556,0.5555555555555556,0.7911111111111111,0.7222222222222222,0.8313191718262477,7.3648582930756845
26,deepAR,5,True,r0.7,0.3888888888888889,0.3888888888888889,0.6133333333333333,0.5111111111111111,0.6566395658775881,22.915845410628023
27,naive,5,True,r0.7,0.43333333333333335,0.3333333333333333,0.6844444444444444,0.5444444444444444,0.6348422864622353,27.227244229736982
28,curtrack,5,True,r0.7,0.4666666666666667,0.3888888888888889,0.6911111111111111,0.5555555555555556,0.7290561775757003,15.656231347289317
