,model,prediction_length,halfmode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,deepAR-Oracle,2,True,r0.5,0.6973684210526315,0.631578947368421,0.8105263157894737,0.7842105263157895,0.8565376589579037,6.495403363481166
1,deepAR-Oracle-curtrack,2,True,r0.5,0.6578947368421053,0.5263157894736842,0.8342105263157895,0.8105263157894737,0.8552306073251018,7.2074463332243655
2,deepAR,2,True,r0.5,0.42105263157894735,0.3157894736842105,0.6631578947368421,0.6105263157894737,0.7173940673974326,16.28380589154045
3,naive,2,True,r0.5,0.618421052631579,0.5789473684210527,0.8131578947368421,0.7684210526315789,0.7955725704053203,14.307785768769751
4,deepAR-Oracle-curtrack,2,True,r0.5,0.4605263157894737,0.39473684210526316,0.7921052631578948,0.7473684210526316,0.817248807469732,10.43637245287131
5,deepAR-Oracle-zerotrack,2,True,r0.5,0.4605263157894737,0.3684210526315789,0.7763157894736842,0.7368421052631579,0.8114541422629656,9.8358965348153
6,deepAR-Oracle,2,True,r0.6,0.8157894736842105,0.8157894736842105,0.8605263157894737,0.8315789473684211,0.8792830801622362,5.988746776361193
7,deepAR-Oracle-curtrack,2,True,r0.6,0.8421052631578947,0.8157894736842105,0.8631578947368421,0.8315789473684211,0.8972951698882173,4.525614307507899
8,deepAR,2,True,r0.6,0.47368421052631576,0.42105263157894735,0.7447368421052631,0.6947368421052632,0.7893643473268926,12.538215557008463
9,naive,2,True,r0.6,0.618421052631579,0.5789473684210527,0.8131578947368421,0.7684210526315789,0.7955725704053203,14.307785768769751
10,deepAR-Oracle-curtrack,2,True,r0.6,0.618421052631579,0.6052631578947368,0.8105263157894737,0.7684210526315789,0.8364084769196493,9.915495169082128
11,deepAR-Oracle-zerotrack,2,True,r0.6,0.6842105263157895,0.631578947368421,0.8052631578947368,0.7578947368421053,0.8259180290589297,9.044252388216918
12,deepAR-Oracle,5,True,r0.5,0.6222222222222222,0.5555555555555556,0.8022222222222222,0.7444444444444445,0.8094479894138887,7.748121309715511
13,deepAR-Oracle-curtrack,5,True,r0.5,0.6555555555555556,0.6666666666666666,0.7822222222222223,0.7,0.7909001971978955,9.885573268921096
14,deepAR,5,True,r0.5,0.26666666666666666,0.05555555555555555,0.5222222222222223,0.35555555555555557,0.6027196563532455,24.993533011272145
15,naive,5,True,r0.5,0.43333333333333335,0.3333333333333333,0.6844444444444444,0.5444444444444444,0.6348422864622353,27.227244229736982
16,deepAR-Oracle-curtrack,5,True,r0.5,0.4444444444444444,0.3333333333333333,0.6733333333333333,0.5333333333333333,0.691524102634759,18.59838539989265
17,deepAR-Oracle-zerotrack,5,True,r0.5,0.5111111111111111,0.4444444444444444,0.6866666666666666,0.5444444444444444,0.6809482141678221,18.73004401502952
18,deepAR-Oracle,5,True,r0.6,0.7333333333333333,0.6111111111111112,0.8044444444444444,0.7444444444444445,0.8081709117316962,9.000534621578101
19,deepAR-Oracle-curtrack,5,True,r0.6,0.7333333333333333,0.5555555555555556,0.8088888888888889,0.7444444444444445,0.823957110175354,7.694057971014495
20,deepAR,5,True,r0.6,0.4222222222222222,0.3333333333333333,0.6,0.43333333333333335,0.6331124912093369,25.14149006977992
21,naive,5,True,r0.6,0.43333333333333335,0.3333333333333333,0.6844444444444444,0.5444444444444444,0.6348422864622353,27.227244229736982
22,deepAR-Oracle-curtrack,5,True,r0.6,0.43333333333333335,0.3333333333333333,0.7111111111111111,0.5888888888888889,0.7283060597449346,15.783772410091249
23,deepAR-Oracle-zerotrack,5,True,r0.6,0.4666666666666667,0.3888888888888889,0.6911111111111111,0.5888888888888889,0.7103195168508043,16.97003435319377
24,deepAR-Oracle,10,True,r0.5,0.5833333333333334,0.5,0.7266666666666667,0.6,0.5693761911527896,23.968837359098227
