,model,prediction_length,halfmode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,oracle,2,False,indy500-r0.2,0.6508474576271187,0.576271186440678,0.7854237288135593,0.7261016949152543,0.8017191423243059,15.018902639479297
1,curtrack,2,False,indy500-r0.2,0.6186440677966102,0.5322033898305085,0.7932203389830508,0.7376271186440677,0.8104769083202188,14.402731171582312
2,zerotrack,2,False,indy500-r0.2,0.6169491525423729,0.5491525423728814,0.824406779661017,0.7728813559322034,0.8287312921988251,11.461420721149533
3,oracle,2,False,indy500-r0.4,0.5898305084745763,0.5186440677966101,0.7898305084745763,0.7322033898305085,0.8040878746976056,15.090590838435627
4,curtrack,2,False,indy500-r0.4,0.6322033898305086,0.5593220338983051,0.8044067796610168,0.745084745762712,0.8105205247075782,14.744386641688783
5,zerotrack,2,False,indy500-r0.4,0.5355932203389829,0.4101694915254237,0.8003389830508475,0.7416949152542373,0.8341024916745468,11.009519704428328
6,oracle,2,False,indy500,0.6322033898305085,0.5762711864406779,0.8094915254237289,0.7579661016949152,0.808151542687521,14.309601544315896
7,curtrack,2,False,indy500,0.6033898305084746,0.5152542372881356,0.7969491525423729,0.735593220338983,0.8003687406601616,14.558468516647078
8,zerotrack,2,False,indy500,0.5847457627118644,0.5016949152542373,0.8254237288135593,0.7708474576271187,0.8356985503893369,10.854659354507678
9,oracle,5,False,indy500-r0.2,0.4660869565217391,0.3565217391304348,0.6194782608695653,0.5060869565217392,0.6578917925059755,29.788554215571516
10,curtrack,5,False,indy500-r0.2,0.5147826086956522,0.4,0.6267826086956522,0.5130434782608696,0.6585000948988575,29.487557905954382
11,zerotrack,5,False,indy500-r0.2,0.44869565217391305,0.34782608695652173,0.5989565217391304,0.4782608695652174,0.6484689123985826,29.035541582884832
12,oracle,5,False,indy500-r0.4,0.43130434782608695,0.34782608695652173,0.6111304347826086,0.4973913043478261,0.6591396123203237,29.257138615180384
13,curtrack,5,False,indy500-r0.4,0.4,0.3391304347826087,0.6121739130434782,0.49913043478260866,0.6521915633062212,30.251827064755037
14,zerotrack,5,False,indy500-r0.4,0.4156521739130435,0.2956521739130435,0.599304347826087,0.4626086956521739,0.6451078784411414,29.000854318320485
15,oracle,5,False,indy500,0.41391304347826086,0.33043478260869563,0.6156521739130435,0.49391304347826087,0.6449758722857665,30.850959912728246
16,curtrack,5,False,indy500,0.43130434782608695,0.3130434782608696,0.5850434782608696,0.4434782608695652,0.6307814864619735,32.35977612431773
17,zerotrack,5,False,indy500,0.43304347826086953,0.30434782608695654,0.6083478260869566,0.46434782608695657,0.6383315429182825,29.905278148630725
18,oracle,10,False,indy500-r0.2,0.3381818181818182,0.18181818181818182,0.5152727272727273,0.36363636363636365,0.47911511984978955,44.16052690298208
19,curtrack,10,False,indy500-r0.2,0.3327272727272727,0.18181818181818182,0.4836363636363636,0.3236363636363636,0.47197829793408064,44.87896346922553
20,zerotrack,10,False,indy500-r0.2,0.3163636363636363,0.2,0.4756363636363637,0.32727272727272727,0.5026243071817796,41.2656278485244
21,oracle,10,False,indy500-r0.4,0.32909090909090905,0.2,0.4985454545454545,0.2909090909090909,0.48974323132068437,43.77167374107374
22,curtrack,10,False,indy500-r0.4,0.31272727272727274,0.18181818181818182,0.47818181818181815,0.30181818181818176,0.47980492930886615,43.997635935201444
23,zerotrack,10,False,indy500-r0.4,0.29272727272727267,0.12727272727272726,0.4658181818181818,0.3018181818181818,0.4860651611017146,42.469686609176264
24,oracle,10,False,indy500,0.37636363636363634,0.2363636363636364,0.4967272727272727,0.3127272727272727,0.4679392025320908,45.90844228670436
25,curtrack,10,False,indy500,0.3527272727272727,0.21818181818181817,0.4894545454545455,0.3018181818181819,0.4920695110249162,43.640613747682714
26,zerotrack,10,False,indy500,0.3290909090909091,0.21818181818181817,0.517090909090909,0.36,0.5305369387782652,38.21818396622534
