,model,prediction_length,halfmode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,oracle,2,False,indy500-r0.2,0.6271186440677966,0.559322033898305,0.7932203389830509,0.735593220338983,0.7996563590254667,15.383365686881943
1,curtrack,2,False,indy500-r0.2,0.6101694915254238,0.5423728813559322,0.7830508474576271,0.735593220338983,0.8068482821028821,15.013335350184645
2,zerotrack,2,False,indy500-r0.2,0.5932203389830508,0.5423728813559322,0.8203389830508474,0.7694915254237288,0.834009726515201,10.850936448437274
3,oracle,2,False,indy500-r0.4,0.576271186440678,0.5423728813559322,0.8067796610169492,0.7593220338983051,0.8083416588734293,14.673093216589901
4,curtrack,2,False,indy500-r0.4,0.5847457627118644,0.5423728813559322,0.8135593220338984,0.7728813559322034,0.8173477739611721,14.137495082522271
5,zerotrack,2,False,indy500-r0.4,0.5677966101694916,0.4576271186440678,0.8084745762711865,0.7593220338983051,0.8350205122609836,10.643374326733284
6,oracle,2,False,indy500,0.5932203389830508,0.5423728813559322,0.7864406779661017,0.7220338983050848,0.8000121925960865,15.017083825691302
7,curtrack,2,False,indy500,0.635593220338983,0.559322033898305,0.7779661016949152,0.7152542372881356,0.7907485026721172,15.666010180377825
8,zerotrack,2,False,indy500,0.576271186440678,0.4745762711864407,0.8254237288135593,0.7694915254237288,0.8368372550449333,10.660032450042236
9,oracle,5,False,indy500-r0.2,0.5043478260869565,0.30434782608695654,0.6139130434782609,0.4782608695652174,0.6483196147466319,31.060037738894522
10,curtrack,5,False,indy500-r0.2,0.5739130434782609,0.43478260869565216,0.6139130434782609,0.48695652173913045,0.6449537831454634,31.302551168594707
11,zerotrack,5,False,indy500-r0.2,0.4608695652173913,0.34782608695652173,0.5878260869565217,0.46956521739130436,0.63635444461519,30.0795475534516
12,oracle,5,False,indy500-r0.4,0.4782608695652174,0.34782608695652173,0.6069565217391304,0.5043478260869565,0.6535229608747296,29.606299517544937
13,curtrack,5,False,indy500-r0.4,0.43478260869565216,0.30434782608695654,0.6156521739130435,0.4956521739130435,0.6521329555815365,29.829035951472687
14,zerotrack,5,False,indy500-r0.4,0.4434782608695652,0.30434782608695654,0.6173913043478261,0.46956521739130436,0.6521304723366879,28.434508726684598
15,oracle,5,False,indy500,0.43478260869565216,0.34782608695652173,0.6069565217391304,0.46956521739130436,0.6363693469457461,32.241244487540165
16,curtrack,5,False,indy500,0.48695652173913045,0.30434782608695654,0.5878260869565217,0.4434782608695652,0.6221651235360275,33.5129267251494
17,zerotrack,5,False,indy500,0.4608695652173913,0.30434782608695654,0.6330434782608696,0.5043478260869565,0.645321281035198,29.48401184219697
18,oracle,10,False,indy500-r0.2,0.32727272727272727,0.18181818181818182,0.52,0.38181818181818183,0.49487542544242424,42.38113413789276
19,curtrack,10,False,indy500-r0.2,0.33636363636363636,0.18181818181818182,0.5,0.34545454545454546,0.48500117145595584,43.565850006953454
20,zerotrack,10,False,indy500-r0.2,0.36363636363636365,0.2727272727272727,0.48363636363636364,0.32727272727272727,0.5057429078481464,41.25675286016666
21,oracle,10,False,indy500-r0.4,0.34545454545454546,0.18181818181818182,0.4672727272727273,0.2727272727272727,0.48152969139120483,44.44004673487432
22,curtrack,10,False,indy500-r0.4,0.3090909090909091,0.18181818181818182,0.48,0.32727272727272727,0.4813914478475375,43.80715004025348
23,zerotrack,10,False,indy500-r0.4,0.3181818181818182,0.18181818181818182,0.4490909090909091,0.3090909090909091,0.47745319582769985,43.0497477350236
24,oracle,10,False,indy500,0.3181818181818182,0.18181818181818182,0.49636363636363634,0.3090909090909091,0.46848543269255855,45.105644976989794
25,curtrack,10,False,indy500,0.34545454545454546,0.18181818181818182,0.4890909090909091,0.2727272727272727,0.4929709207598705,42.747689985621015
26,zerotrack,10,False,indy500,0.32727272727272727,0.18181818181818182,0.509090909090909,0.32727272727272727,0.5156514436166962,39.25009955561679
