,model,prediction_length,halfmode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,oracle,2,False,indy500-r0.2,0.6423728813559323,0.5661016949152542,0.7969491525423729,0.7444067796610169,0.8241170735838015,12.558670772299951
1,curtrack,2,False,indy500-r0.2,0.6271186440677966,0.5593220338983051,0.8067796610169491,0.7566101694915254,0.831624840599523,11.90338251674643
2,zerotrack,2,False,indy500-r0.2,0.6050847457627118,0.5559322033898305,0.82,0.768135593220339,0.8289650915235441,11.485715166040249
3,oracle,2,False,indy500-r0.4,0.6016949152542372,0.5084745762711864,0.8098305084745763,0.7545762711864407,0.8297433887724927,12.100923250466813
4,curtrack,2,False,indy500-r0.4,0.6305084745762712,0.5627118644067796,0.8186440677966103,0.7633898305084744,0.8360886007270082,11.666007027176999
5,zerotrack,2,False,indy500-r0.4,0.5593220338983051,0.4305084745762711,0.8105084745762712,0.7525423728813558,0.8360561079371035,10.77062268211934
6,oracle,2,False,indy500,0.6389830508474577,0.5898305084745763,0.8145762711864407,0.7647457627118645,0.8266433202553678,12.000725565829903
7,curtrack,2,False,indy500,0.6033898305084746,0.5220338983050847,0.8105084745762712,0.7511864406779661,0.8213082401255221,12.130880591036611
8,zerotrack,2,False,indy500,0.6016949152542374,0.5186440677966101,0.8277966101694915,0.7708474576271186,0.836903826060243,10.846937921221713
9,oracle,5,False,indy500-r0.2,0.48,0.34782608695652173,0.6584347826086956,0.5495652173913043,0.6943798576238969,25.24424467236573
10,curtrack,5,False,indy500-r0.2,0.5565217391304348,0.4521739130434782,0.6393043478260869,0.5165217391304349,0.6903160743952179,25.38429562096374
11,zerotrack,5,False,indy500-r0.2,0.44521739130434784,0.33043478260869563,0.5968695652173913,0.48695652173913045,0.6473831836590349,29.174184898812474
12,oracle,5,False,indy500-r0.4,0.43130434782608695,0.32173913043478264,0.6299130434782608,0.5165217391304348,0.68758592466196,25.283311205128975
13,curtrack,5,False,indy500-r0.4,0.4191304347826087,0.30434782608695654,0.645913043478261,0.5286956521739131,0.6850338256864502,25.672162428134556
14,zerotrack,5,False,indy500-r0.4,0.43130434782608695,0.30434782608695654,0.6059130434782609,0.4608695652173913,0.6484926258881825,28.84105990121147
15,oracle,5,False,indy500,0.4295652173913044,0.3130434782608696,0.6316521739130436,0.4886956521739131,0.675376260946446,26.96573392774866
16,curtrack,5,False,indy500,0.4469565217391304,0.30434782608695654,0.6073043478260869,0.4556521739130435,0.6644927057599234,27.81745658270297
17,zerotrack,5,False,indy500,0.44173913043478263,0.30434782608695654,0.6055652173913044,0.45913043478260873,0.636349752583143,30.164762236771935
18,oracle,10,False,indy500-r0.2,0.33636363636363636,0.2,0.5563636363636364,0.4036363636363636,0.5213446709986829,39.14528149500564
19,curtrack,10,False,indy500-r0.2,0.3181818181818182,0.18181818181818182,0.5178181818181817,0.36000000000000004,0.5035685182020979,41.0563705839499
20,zerotrack,10,False,indy500-r0.2,0.3181818181818182,0.18181818181818182,0.49818181818181817,0.36000000000000004,0.5115765264913461,40.68014245779763
21,oracle,10,False,indy500-r0.4,0.3254545454545455,0.18181818181818182,0.5152727272727272,0.31272727272727274,0.5169006507506075,40.256197218362736
22,curtrack,10,False,indy500-r0.4,0.3236363636363636,0.18181818181818182,0.513090909090909,0.32727272727272727,0.5107539497162287,40.12597153344739
23,zerotrack,10,False,indy500-r0.4,0.25636363636363635,0.10909090909090909,0.4727272727272728,0.3054545454545455,0.4885170242956326,41.99289120509121
24,oracle,10,False,indy500,0.3672727272727273,0.21818181818181817,0.5287272727272728,0.35636363636363644,0.5038663359567532,41.20695068558517
25,curtrack,10,False,indy500,0.3581818181818182,0.2,0.5141818181818182,0.3163636363636364,0.5261000580278965,38.95338052726329
26,zerotrack,10,False,indy500,0.36363636363636365,0.2,0.5298181818181817,0.3672727272727273,0.53030626949478,37.98978497364704
