,model,prediction_length,halfmode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,oracle,2,False,indy500-r0.2,0.6440677966101694,0.5932203389830508,0.7932203389830509,0.7389830508474576,0.8235096496581644,12.496194860031538
1,curtrack,2,False,indy500-r0.2,0.635593220338983,0.576271186440678,0.8135593220338984,0.7627118644067796,0.8352795482808256,11.703664070988037
2,zerotrack,2,False,indy500-r0.2,0.6610169491525424,0.576271186440678,0.8220338983050848,0.7694915254237288,0.8277503291990825,11.333107768873784
3,oracle,2,False,indy500-r0.4,0.6101694915254238,0.5254237288135594,0.7983050847457627,0.7322033898305085,0.827641609796128,12.222393380770756
4,curtrack,2,False,indy500-r0.4,0.635593220338983,0.559322033898305,0.8254237288135593,0.7627118644067796,0.8373302073716012,11.499896095597821
5,zerotrack,2,False,indy500-r0.4,0.5508474576271186,0.4406779661016949,0.8016949152542373,0.735593220338983,0.8325035521514413,11.04832662904284
6,oracle,2,False,indy500,0.6440677966101694,0.5932203389830508,0.8169491525423729,0.7762711864406779,0.8286163367059097,11.799994406834164
7,curtrack,2,False,indy500,0.5677966101694916,0.4915254237288136,0.8152542372881356,0.7593220338983051,0.8197925093534516,12.129067986184465
8,zerotrack,2,False,indy500,0.576271186440678,0.5084745762711864,0.8288135593220339,0.7627118644067796,0.8370114320143691,10.633894081135587
9,oracle,5,False,indy500-r0.2,0.5043478260869565,0.34782608695652173,0.648695652173913,0.5391304347826087,0.6919044251839813,25.45737211284998
10,curtrack,5,False,indy500-r0.2,0.5304347826086957,0.43478260869565216,0.648695652173913,0.5304347826086957,0.6896013683653525,25.36454974413308
11,zerotrack,5,False,indy500-r0.2,0.4434782608695652,0.34782608695652173,0.5947826086956521,0.48695652173913045,0.6428428996398322,29.614726226577215
12,oracle,5,False,indy500-r0.4,0.4608695652173913,0.34782608695652173,0.6417391304347826,0.5304347826086957,0.6916929079033138,24.901920250417874
13,curtrack,5,False,indy500-r0.4,0.4,0.30434782608695654,0.64,0.5304347826086957,0.6789276279362255,26.13912340808945
14,zerotrack,5,False,indy500-r0.4,0.4434782608695652,0.34782608695652173,0.6104347826086957,0.46956521739130436,0.6462941509910302,29.051680606211736
15,oracle,5,False,indy500,0.4434782608695652,0.30434782608695654,0.6382608695652174,0.5043478260869565,0.6783989895726397,26.596998027980753
16,curtrack,5,False,indy500,0.4260869565217391,0.30434782608695654,0.6034782608695652,0.45217391304347826,0.6624399753243858,28.023693773116634
17,zerotrack,5,False,indy500,0.46956521739130436,0.30434782608695654,0.6052173913043478,0.45217391304347826,0.6405089619167388,29.95879925122113
18,oracle,10,False,indy500-r0.2,0.4,0.18181818181818182,0.52,0.36363636363636365,0.5162021258379578,39.53412120574189
19,curtrack,10,False,indy500-r0.2,0.4090909090909091,0.2727272727272727,0.5109090909090909,0.36363636363636365,0.5044694864062357,40.796390263631636
20,zerotrack,10,False,indy500-r0.2,0.3090909090909091,0.18181818181818182,0.5254545454545455,0.38181818181818183,0.5096126185410426,40.47960893640204
21,oracle,10,False,indy500-r0.4,0.3090909090909091,0.18181818181818182,0.54,0.34545454545454546,0.5142074321744927,40.19380899049864
22,curtrack,10,False,indy500-r0.4,0.32727272727272727,0.18181818181818182,0.5054545454545455,0.2909090909090909,0.5013490920608921,41.15535397935398
23,zerotrack,10,False,indy500-r0.4,0.2909090909090909,0.09090909090909091,0.4490909090909091,0.3090909090909091,0.48638465962868477,42.11722900088417
24,oracle,10,False,indy500,0.4,0.2727272727272727,0.5436363636363636,0.36363636363636365,0.5124403574824865,40.520312692416134
25,curtrack,10,False,indy500,0.37272727272727274,0.2727272727272727,0.5436363636363636,0.36363636363636365,0.5490978206772633,37.0515596025941
26,zerotrack,10,False,indy500,0.32727272727272727,0.18181818181818182,0.5345454545454545,0.32727272727272727,0.5281452096028603,38.67680725149691
