,model,prediction_length,halfmode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,oracle,2,False,r0.7,0.8315789473684211,0.8210526315789473,0.8800000000000001,0.8442105263157895,0.8877343511844789,5.407640478006611
1,deepAR,2,False,r0.7,0.605263157894737,0.5578947368421053,0.7957894736842106,0.7326315789473684,0.808979919670524,10.830447241291635
2,naive,2,False,r0.7,0.6842105263157895,0.631578947368421,0.8421052631578947,0.7894736842105263,0.824563320647585,11.420041952707857
3,curtrack,2,False,r0.7,0.6368421052631579,0.5894736842105263,0.8168421052631579,0.7663157894736842,0.8355769486492328,10.19098932112891
4,zerotrack,2,False,r0.7,0.6368421052631579,0.6,0.8368421052631578,0.783157894736842,0.8475369429929934,7.990711924739384
5,oracle,5,False,r0.7,0.7142857142857143,0.7142857142857143,0.7657142857142858,0.7314285714285715,0.7814104414255822,11.309744651483783
6,deepAR,5,False,r0.7,0.4114285714285715,0.3714285714285714,0.6262857142857143,0.5599999999999999,0.6532323982241118,21.496259213250518
7,naive,5,False,r0.7,0.5142857142857142,0.5714285714285714,0.6285714285714286,0.5714285714285714,0.6230433498300506,25.922313319530712
8,curtrack,5,False,r0.7,0.37142857142857144,0.2857142857142857,0.6217142857142857,0.4914285714285714,0.6535761523159989,22.0923861973775
9,zerotrack,5,False,r0.7,0.4514285714285714,0.48571428571428565,0.6628571428571429,0.6057142857142856,0.6568448058221972,21.357609937888196
10,oracle,10,False,r0.7,0.44666666666666666,0.0,0.6613333333333334,0.6399999999999999,0.5164988348962775,26.287407407407407
11,deepAR,10,False,r0.7,0.25999999999999995,0.06666666666666667,0.49466666666666664,0.29333333333333333,0.3051686274509804,47.40511111111111
12,naive,10,False,r0.7,0.3333333333333333,0.3333333333333333,0.37333333333333335,0.26666666666666666,0.3339193236714976,40.79225925925926
13,curtrack,10,False,r0.7,0.1,0.0,0.36533333333333334,0.2,0.3012172643743488,43.13944444444444
14,zerotrack,10,False,r0.7,0.3333333333333333,0.13333333333333333,0.5733333333333333,0.49333333333333335,0.5202709406081273,28.636444444444443
