,lap_distance,start_lap,caution_distance,eventid,car_number,stageid,pit_in_caution,yellowflag_raised,start_position,start_rank,end_rank
0,44,0,3,0,1,0,1,1,7,7,7
1,77,43,1,0,1,1,0,1,7,7,5
2,58,119,1,0,1,2,0,0,7,5,11
3,57,176,4,0,1,3,1,1,7,11,4
4,44,0,4,0,4,0,1,1,16,16,12
5,5,43,8,0,4,1,1,1,16,12,20
6,72,47,1,0,4,2,0,1,16,20,7
7,6,118,1,0,4,3,0,0,16,7,22
8,54,123,1,0,4,4,0,0,16,22,20
9,49,176,6,0,4,5,1,1,16,20,20
10,44,0,3,0,5,0,1,1,5,5,8
11,72,43,1,0,5,1,0,1,5,8,10
12,64,114,1,0,5,2,0,0,5,10,8
13,44,0,3,0,6,0,1,1,6,6,5
14,73,43,1,0,6,1,0,1,6,5,9
15,64,115,1,0,6,2,0,0,6,9,7
16,44,0,4,0,9,0,1,1,17,17,14
17,74,43,1,0,9,1,0,1,17,14,10
18,62,116,1,0,9,2,0,0,17,10,9
19,56,177,4,0,9,3,1,1,17,9,5
20,44,0,3,0,10,0,1,1,11,11,10
21,75,43,1,0,10,1,0,1,11,10,7
22,59,117,1,0,10,2,0,0,11,7,12
23,44,0,3,0,12,0,1,1,3,3,4
24,82,43,1,0,12,1,0,1,3,4,3
25,30,124,1,0,12,2,0,0,3,3,16
26,44,0,3,0,14,0,1,1,9,9,9
27,77,43,1,0,14,1,0,1,9,9,6
28,59,119,1,0,14,2,0,0,9,6,10
29,56,177,4,0,14,3,1,1,9,10,7
30,44,0,4,0,15,0,1,1,12,12,19
31,86,43,1,0,15,1,0,1,12,19,1
32,61,128,1,0,15,2,0,0,12,1,2
33,45,188,4,0,15,3,1,1,12,2,11
34,44,0,3,0,18,0,1,1,1,1,1
35,10,43,1,0,18,1,0,1,1,1,22
36,78,52,1,0,18,2,0,0,1,22,13
37,78,129,1,0,18,3,0,0,1,13,11
38,34,206,12,0,18,4,1,1,1,11,13
39,44,0,4,0,20,0,1,1,18,18,13
40,72,43,1,0,20,1,0,1,18,13,14
41,67,114,1,0,20,2,0,0,18,14,5
42,53,180,4,0,20,3,1,1,18,5,8
43,44,0,4,0,21,0,1,1,15,15,18
44,75,43,1,0,21,1,0,1,15,18,12
45,63,117,1,0,21,2,0,0,15,12,16
46,58,179,10,0,21,3,1,1,15,16,16
47,4,236,13,0,21,4,1,1,15,16,16
48,44,0,3,0,22,0,1,1,2,2,2
49,81,43,1,0,22,1,0,1,2,2,4
50,64,123,1,0,22,2,0,0,2,4,3
51,47,186,4,0,22,3,1,1,2,3,10
52,48,0,8,0,23,0,1,1,22,22,22
53,70,47,1,0,23,1,0,1,22,22,20
54,62,116,1,0,23,2,0,0,22,20,19
55,54,177,5,0,23,3,1,1,22,19,17
56,9,230,13,0,23,4,1,1,22,17,17
57,44,0,4,0,26,0,1,1,23,23,17
58,75,43,1,0,26,1,0,1,23,17,10
59,62,117,1,0,26,2,0,0,23,10,14
60,63,178,13,0,26,3,1,1,23,14,12
61,44,0,3,0,27,0,1,1,4,4,3
62,11,43,1,0,27,1,0,1,4,3,21
63,68,53,1,0,27,2,0,0,4,21,9
64,69,120,1,0,27,3,0,0,4,9,1
65,44,0,3,0,28,0,1,1,8,8,6
66,70,43,1,0,28,1,0,1,8,6,12
67,72,112,1,0,28,2,0,0,8,12,4
68,50,183,4,0,28,3,1,1,8,4,6
69,44,0,4,0,30,0,1,1,13,13,11
70,84,43,1,0,30,1,0,1,13,11,2
71,54,126,1,0,30,2,0,0,13,2,6
72,54,179,4,0,30,3,1,1,13,6,9
73,44,0,3,0,32,0,1,1,14,14,20
74,73,43,1,0,32,1,0,1,14,20,22
75,48,0,9,0,59,0,1,1,21,21,21
76,71,47,1,0,59,1,0,1,21,21,21
77,71,117,1,0,59,2,0,0,21,21,18
78,43,187,4,0,59,3,1,1,21,18,18
79,9,229,12,0,59,4,1,1,21,18,18
80,44,0,4,0,88,0,1,1,19,19,16
81,72,43,1,0,88,1,0,1,19,16,20
82,66,114,1,0,88,2,0,0,19,20,15
83,61,179,13,0,88,3,1,1,19,15,14
84,44,0,4,0,98,0,1,1,20,20,15
85,75,43,1,0,98,1,0,1,20,15,9
86,65,117,1,0,98,2,0,0,20,9,8
87,51,181,4,0,98,3,1,1,20,8,15
88,9,231,12,0,98,4,1,1,20,15,15
89,33,0,1,1,1,0,0,0,4,4,3
90,19,32,3,1,1,1,1,1,4,3,3
91,21,50,3,1,1,2,1,1,4,3,9
92,32,70,1,1,1,3,0,1,4,9,9
93,35,101,1,1,1,4,0,0,4,9,8
94,36,135,1,1,1,5,0,1,4,8,17
95,32,0,1,1,3,0,0,0,8,8,11
96,20,31,3,1,3,1,1,1,8,11,5
97,45,50,1,1,3,2,0,1,8,5,2
98,35,94,1,1,3,3,0,0,8,2,5
99,34,0,1,1,4,0,0,0,11,11,3
100,18,33,4,1,4,1,1,1,11,3,14
101,44,50,1,1,4,2,0,1,11,14,21
102,35,93,1,1,4,3,0,0,11,21,15
103,46,127,1,1,4,4,0,1,11,15,14
104,34,0,1,1,6,0,0,0,18,18,25
105,18,33,4,1,6,1,1,1,18,25,16
106,21,50,3,1,6,2,1,1,18,16,22
107,37,70,1,1,6,3,0,1,18,22,11
108,32,106,1,1,6,4,0,0,18,11,16
109,44,137,1,1,6,5,0,1,18,16,11
110,12,180,4,1,6,6,1,1,18,11,19
111,37,0,1,1,7,0,0,0,28,28,24
112,18,36,8,1,7,1,1,1,28,24,29
113,8,53,3,1,7,2,1,1,28,29,29
114,30,60,1,1,7,3,0,1,28,29,29
115,8,89,1,1,7,4,0,0,28,29,29
116,12,96,1,1,7,5,0,0,28,29,29
117,14,107,1,1,7,6,0,0,28,29,28
118,19,120,6,1,7,7,1,1,28,28,27
119,43,138,1,1,7,8,0,1,28,27,25
120,6,180,5,1,7,9,1,1,28,25,25
121,33,0,1,1,9,0,0,0,9,9,6
122,19,32,4,1,9,1,1,1,9,6,9
123,46,50,1,1,9,2,0,1,9,9,11
124,36,95,1,1,9,3,0,0,9,11,9
125,31,130,7,1,9,4,1,1,9,9,11
126,35,0,1,1,10,0,0,0,29,29,26
