,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,27,0.815,0.815,0.933,0.919,0.912,4.456
1,fulloracle,2,10,11,0.364,0.364,0.664,0.618,0.727,19.627
2,fulloracle,2,01,49,0.918,0.918,0.924,0.914,0.920,2.616
3,fulloracle,2,11,31,0.597,0.516,0.797,0.716,0.819,11.411
4,fulloracle,2,aa,118,0.758,0.737,0.869,0.836,0.874,6.934
0,fulloracle,5,00,13,0.800,0.769,0.871,0.815,0.882,6.608
1,fulloracle,5,10,2,0.100,0.000,0.300,0.000,0.546,32.469
2,fulloracle,5,01,54,0.781,0.593,0.909,0.863,0.895,4.033
3,fulloracle,5,11,46,0.474,0.326,0.740,0.604,0.773,14.172
4,fulloracle,5,aa,115,0.649,0.496,0.826,0.739,0.839,8.875
0,fulloracle,10,00,2,1.000,1.000,0.940,0.900,0.922,2.471
1,fulloracle,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,fulloracle,10,01,51,0.755,0.608,0.878,0.804,0.839,7.870
3,fulloracle,10,11,57,0.449,0.263,0.701,0.607,0.699,18.649
4,fulloracle,10,aa,110,0.601,0.436,0.787,0.704,0.768,13.358
0,notracklap,2,00,27,0.870,0.852,0.926,0.919,0.911,4.589
1,notracklap,2,10,11,0.773,0.727,0.791,0.800,0.778,17.385
2,notracklap,2,01,49,0.582,0.510,0.790,0.735,0.807,14.336
3,notracklap,2,11,31,0.710,0.645,0.865,0.819,0.869,7.584
4,notracklap,2,aa,118,0.699,0.644,0.841,0.805,0.844,10.616
0,notracklap,5,00,13,0.862,0.769,0.837,0.769,0.817,13.478
1,notracklap,5,10,2,0.000,0.000,0.620,0.400,0.725,13.669
2,notracklap,5,01,54,0.437,0.278,0.699,0.519,0.693,26.588
3,notracklap,5,11,46,0.583,0.413,0.730,0.609,0.747,19.032
4,notracklap,5,aa,115,0.536,0.383,0.726,0.581,0.729,21.859
0,notracklap,10,00,2,1.000,1.000,0.930,0.900,0.891,3.775
