,model,prediction_length,halfmode,datamode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse,top1acc_std,top1acc_farmost_std,top5acc_std,top5acc_farmost_std,tau_std,rmse_std
0,oracle,2,0,"MODE_ORACLE,",indy500,0.758,0.737,0.869,0.836,0.874,6.934,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE,",indy500,0.649,0.496,0.826,0.739,0.839,8.875,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE,",indy500,0.601,0.436,0.787,0.704,0.768,13.358,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE,MODE_ORACLE_TRACKONLY,MODE_ORACLE_LAPONLY,",indy500,0.699,0.644,0.841,0.805,0.844,10.616,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE,MODE_ORACLE_TRACKONLY,MODE_ORACLE_LAPONLY,",indy500,0.536,0.383,0.726,0.581,0.729,21.859,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE,MODE_ORACLE_TRACKONLY,MODE_ORACLE_LAPONLY,",indy500,0.360,0.136,0.584,0.351,0.586,36.540,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE,MODE_ORACLE_LAPONLY,",indy500,0.835,0.797,0.907,0.888,0.893,5.394,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE,MODE_ORACLE_LAPONLY,",indy500,0.736,0.557,0.855,0.779,0.834,9.844,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE,MODE_ORACLE_LAPONLY,",indy500,0.644,0.482,0.803,0.704,0.774,13.820,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE,MODE_ORACLE_TRACKONLY,",indy500,0.568,0.492,0.805,0.754,0.827,11.724,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE,MODE_ORACLE_TRACKONLY,",indy500,0.466,0.330,0.685,0.522,0.711,22.771,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE,MODE_ORACLE_TRACKONLY,",indy500,0.364,0.155,0.590,0.387,0.582,35.584,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE,MODE_PREDTRACK,MODE_PREDPIT,",indy500,0.597,0.534,0.787,0.734,0.804,14.887,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE,MODE_PREDTRACK,MODE_PREDPIT,",indy500,0.450,0.313,0.650,0.480,0.672,28.041,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE,MODE_PREDTRACK,MODE_PREDPIT,",indy500,0.361,0.173,0.553,0.336,0.542,41.895,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE,MODE_ORACLE_TRACKONLY,MODE_PREDTRACK,",indy500,0.631,0.559,0.812,0.766,0.834,10.949,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE,MODE_ORACLE_TRACKONLY,MODE_PREDTRACK,",indy500,0.454,0.322,0.680,0.499,0.710,22.715,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE,MODE_ORACLE_TRACKONLY,MODE_PREDTRACK,",indy500,0.370,0.164,0.598,0.375,0.597,34.484,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE,MODE_ORACLE_LAPONLY,MODE_PREDPIT,",indy500,0.674,0.602,0.842,0.790,0.829,12.613,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE,MODE_ORACLE_LAPONLY,MODE_PREDPIT,",indy500,0.506,0.322,0.681,0.515,0.669,29.335,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE,MODE_ORACLE_LAPONLY,MODE_PREDPIT,",indy500,0.351,0.173,0.548,0.322,0.528,44.675,0.000,0.000,0.000,0.000,0.000,0.000
