,model,prediction_length,halfmode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse,top1acc_std,top1acc_farmost_std,top5acc_std,top5acc_farmost_std,tau_std,rmse_std
0,oracle,2,0,indy500-r0.2,0.6059322033898304,0.5305084745762711,0.7801694915254238,0.7298305084745762,0.806137425923619,14.587082092037942,0.013,0.011,0.007,0.009,0.006,0.660
1,curtrack,2,0,indy500-r0.2,0.5847457627118644,0.5118644067796609,0.7883050847457627,0.7389830508474577,0.8097257495267103,14.442227467452508,0.009,0.014,0.006,0.007,0.005,0.556
2,zerotrack,2,0,indy500-r0.2,0.5754237288135593,0.5101694915254237,0.7957627118644067,0.7498305084745762,0.819895486663944,12.382482748976498,0.019,0.019,0.003,0.003,0.001,0.151
3,oracle,2,0,indy500-r0.4,0.5644067796610169,0.47118644067796617,0.7850847457627118,0.727457627118644,0.8073901747419796,14.602306023826316,0.030,0.027,0.005,0.008,0.003,0.331
4,curtrack,2,0,indy500-r0.4,0.5601694915254237,0.4779661016949152,0.786949152542373,0.7325423728813559,0.8085030816151384,14.81749392063762,0.008,0.010,0.003,0.003,0.002,0.231
5,zerotrack,2,0,indy500-r0.4,0.5220338983050847,0.41525423728813565,0.7908474576271187,0.7386440677966102,0.8311792266175135,11.175777318610827,0.012,0.005,0.004,0.004,0.002,0.183
6,oracle,2,0,indy500,0.5855932203389831,0.5203389830508474,0.7928813559322033,0.7444067796610169,0.8078137965094625,14.271279393632378,0.003,0.007,0.005,0.006,0.004,0.594
7,curtrack,2,0,indy500,0.5855932203389831,0.5050847457627119,0.7883050847457627,0.736271186440678,0.7996211041903438,14.720139631938967,0.015,0.016,0.004,0.007,0.005,0.633
8,zerotrack,2,0,indy500,0.576271186440678,0.4898305084745763,0.805593220338983,0.7528813559322034,0.8294015277363342,11.53192495399824,0.008,0.011,0.004,0.009,0.001,0.121
9,oracle,5,0,indy500-r0.2,0.45773913043478265,0.34608695652173915,0.6768,0.5234782608695652,0.6807973637706823,27.474142261399958,0.012,0.013,0.004,0.006,0.004,0.525
10,curtrack,5,0,indy500-r0.2,0.47965217391304354,0.3460869565217391,0.6762434782608696,0.5238260869565217,0.6853059857009048,26.845168125406957,0.017,0.015,0.005,0.005,0.005,0.609
11,zerotrack,5,0,indy500-r0.2,0.44104347826086954,0.3252173913043478,0.6614956521739129,0.5154782608695653,0.6957483623012668,23.81597386836762,0.008,0.019,0.005,0.006,0.003,0.260
12,oracle,5,0,indy500-r0.4,0.46573913043478254,0.36,0.6565565217391305,0.5060869565217392,0.6776747984116963,27.678881497417667,0.021,0.029,0.005,0.011,0.004,0.489
13,curtrack,5,0,indy500-r0.4,0.4205217391304347,0.3026086956521739,0.6605913043478261,0.5095652173913043,0.6710930353184414,28.18239982044546,0.005,0.012,0.004,0.005,0.003,0.375
14,zerotrack,5,0,indy500-r0.4,0.4504347826086956,0.3147826086956521,0.6768695652173913,0.5304347826086956,0.6990449712118467,22.958684880832926,0.010,0.013,0.005,0.010,0.002,0.195
15,oracle,5,0,indy500,0.4368695652173913,0.30260869565217396,0.6448695652173912,0.47582608695652173,0.6712463100609256,28.392697795029864,0.007,0.012,0.006,0.011,0.002,0.438
16,curtrack,5,0,indy500,0.4351304347826087,0.28,0.6345739130434783,0.46399999999999997,0.6583204263640237,29.58465228011359,0.014,0.014,0.003,0.004,0.003,0.583
17,zerotrack,5,0,indy500,0.4723478260869565,0.34782608695652173,0.6617739130434783,0.5026086956521738,0.6888855393838884,24.368004441983498,0.005,0.008,0.005,0.008,0.003,0.366
18,oracle,10,0,indy500-r0.2,0.33890909090909094,0.16545454545454544,0.5471636363636364,0.3421818181818182,0.539217292192566,42.09299733472812,0.007,0.011,0.005,0.011,0.003,0.552
19,curtrack,10,0,indy500-r0.2,0.34109090909090906,0.1745454545454545,0.5407272727272726,0.348,0.5451100374778013,41.4942673996779,0.005,0.015,0.004,0.010,0.003,0.520
20,zerotrack,10,0,indy500-r0.2,0.33072727272727276,0.14727272727272728,0.5488,0.34290909090909094,0.5734753986350135,36.25128024672979,0.004,0.007,0.005,0.008,0.003,0.308
21,oracle,10,0,indy500-r0.4,0.3076363636363636,0.14727272727272728,0.5230545454545454,0.3043636363636364,0.5340052023173538,42.3824249007764,0.010,0.021,0.006,0.005,0.004,0.481
22,curtrack,10,0,indy500-r0.4,0.3290909090909091,0.1709090909090909,0.5357090909090909,0.3374545454545455,0.5474159684095316,41.06811665114273,0.009,0.007,0.004,0.009,0.003,0.305
23,zerotrack,10,0,indy500-r0.4,0.3452727272727273,0.15636363636363637,0.5513818181818182,0.3283636363636364,0.5721331537501821,35.95758897460028,0.013,0.015,0.003,0.006,0.003,0.349
24,oracle,10,0,indy500,0.35618181818181816,0.18545454545454546,0.5500363636363637,0.3450909090909091,0.5393754230979642,42.333180398487634,0.015,0.012,0.005,0.007,0.003,0.401
25,curtrack,10,0,indy500,0.3450909090909091,0.1690909090909091,0.5431636363636363,0.3549090909090909,0.540392340196042,42.04132520956527,0.008,0.004,0.006,0.003,0.003,0.419
26,zerotrack,10,0,indy500,0.33381818181818185,0.14363636363636362,0.5649090909090909,0.3545454545454545,0.5836628571724811,35.166211385127724,0.011,0.015,0.004,0.008,0.002,0.173
