,model,prediction_length,halfmode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse,top1acc_std,top1acc_farmost_std,top5acc_std,top5acc_farmost_std,tau_std,rmse_std
0,oracle,2,0,indy500-r0.2,0.6211864406779661,0.5372881355932203,0.7981355932203389,0.7532203389830509,0.8310805236283916,11.678841107699913,0.007,0.009,0.005,0.004,0.000,0.046
1,curtrack,2,0,indy500-r0.2,0.6025423728813559,0.5254237288135593,0.8071186440677967,0.7623728813559321,0.8336459736297316,11.668935621250037,0.012,0.015,0.003,0.003,0.001,0.137
2,zerotrack,2,0,indy500-r0.2,0.5694915254237289,0.5016949152542373,0.7988135593220339,0.7538983050847456,0.8191340157253313,12.373575844628752,0.008,0.010,0.005,0.005,0.002,0.199
3,oracle,2,0,indy500-r0.4,0.5771186440677967,0.48813559322033895,0.800677966101695,0.7437288135593221,0.8316407004126521,11.845968411652082,0.014,0.017,0.003,0.002,0.001,0.098
4,curtrack,2,0,indy500-r0.4,0.5872881355932204,0.5101694915254237,0.8052542372881355,0.7528813559322034,0.8323256041341371,12.065164210826238,0.007,0.008,0.004,0.004,0.001,0.132
5,zerotrack,2,0,indy500-r0.4,0.5110169491525423,0.3966101694915254,0.7886440677966102,0.7366101694915254,0.8309643416964885,11.115319675192723,0.018,0.016,0.004,0.004,0.002,0.178
6,oracle,2,0,indy500,0.6025423728813559,0.5389830508474576,0.8101694915254237,0.7633898305084745,0.8303169931082797,11.643477442411225,0.007,0.016,0.005,0.005,0.001,0.093
7,curtrack,2,0,indy500,0.5898305084745763,0.5118644067796609,0.8018644067796611,0.7525423728813558,0.8215952093648493,12.182211053984402,0.012,0.023,0.005,0.004,0.001,0.135
8,zerotrack,2,0,indy500,0.5694915254237288,0.4898305084745763,0.8067796610169491,0.7542372881355932,0.8293979662170534,11.529037667193183,0.021,0.020,0.007,0.005,0.002,0.182
9,oracle,5,0,indy500-r0.2,0.47895652173913045,0.3652173913043478,0.7072695652173913,0.568695652173913,0.7238419500474598,21.690409034130273,0.010,0.012,0.003,0.004,0.002,0.254
10,curtrack,5,0,indy500-r0.2,0.49913043478260877,0.3756521739130435,0.7065739130434783,0.5700869565217391,0.7295792506226475,21.07140108650352,0.011,0.010,0.004,0.004,0.003,0.280
11,zerotrack,5,0,indy500-r0.2,0.44104347826086954,0.32869565217391306,0.6592,0.5168695652173912,0.6940348387239104,23.95724141345583,0.012,0.016,0.006,0.014,0.002,0.156
12,oracle,5,0,indy500-r0.4,0.472,0.3617391304347826,0.6871652173913043,0.5495652173913044,0.7219092403133031,21.655549947568023,0.010,0.009,0.003,0.004,0.002,0.204
13,curtrack,5,0,indy500-r0.4,0.4514782608695652,0.3373913043478261,0.6948173913043478,0.5561739130434782,0.7180307316642177,21.75833202447669,0.004,0.012,0.004,0.010,0.001,0.144
14,zerotrack,5,0,indy500-r0.4,0.455304347826087,0.3234782608695652,0.6730434782608696,0.5252173913043479,0.6992779488990467,23.02000524327314,0.012,0.007,0.002,0.004,0.001,0.038
15,oracle,5,0,indy500,0.45669565217391306,0.33043478260869563,0.6763826086956521,0.5057391304347826,0.7128148718453076,22.719337501762475,0.008,0.010,0.002,0.003,0.001,0.081
16,curtrack,5,0,indy500,0.4608695652173913,0.30434782608695654,0.658504347826087,0.48765217391304344,0.700051846079497,23.77914140849626,0.004,0.005,0.004,0.006,0.001,0.138
17,zerotrack,5,0,indy500,0.4733913043478261,0.3478260869565218,0.6620521739130435,0.4987826086956522,0.6890870410944672,24.405341172204153,0.009,0.012,0.004,0.006,0.001,0.119
18,oracle,10,0,indy500-r0.2,0.35909090909090907,0.15272727272727274,0.5871636363636364,0.3967272727272727,0.5937558823452938,34.1828496598787,0.005,0.007,0.003,0.006,0.002,0.188
19,curtrack,10,0,indy500-r0.2,0.3563636363636363,0.18727272727272726,0.5754181818181818,0.38690909090909087,0.597455533105915,33.73677750673558,0.006,0.007,0.003,0.003,0.002,0.248
20,zerotrack,10,0,indy500-r0.2,0.3276363636363636,0.14363636363636362,0.5512727272727274,0.3501818181818182,0.5738631486246806,36.19777465186376,0.006,0.019,0.006,0.008,0.002,0.198
21,oracle,10,0,indy500-r0.4,0.31618181818181823,0.12727272727272726,0.561490909090909,0.34,0.5861580290603474,34.56255905095293,0.005,0.014,0.003,0.005,0.001,0.126
22,curtrack,10,0,indy500-r0.4,0.33818181818181814,0.15090909090909094,0.5609454545454545,0.34909090909090906,0.5987811358323247,33.2869653522778,0.003,0.004,0.003,0.004,0.002,0.189
23,zerotrack,10,0,indy500-r0.4,0.3481818181818182,0.16,0.5522545454545454,0.3254545454545454,0.5727359558956693,35.85775048331202,0.013,0.011,0.006,0.010,0.003,0.291
24,oracle,10,0,indy500,0.3752727272727273,0.1690909090909091,0.589890909090909,0.38836363636363636,0.5966784291192724,34.222415557557,0.006,0.012,0.005,0.006,0.002,0.213
25,curtrack,10,0,indy500,0.35309090909090907,0.17090909090909093,0.5845818181818182,0.39454545454545453,0.5948793387252498,34.041251128232076,0.008,0.011,0.002,0.002,0.001,0.152
26,zerotrack,10,0,indy500,0.3221818181818182,0.14363636363636365,0.5676,0.35709090909090907,0.5852544639773576,34.95036692669871,0.013,0.004,0.003,0.007,0.002,0.220
