,model,prediction_length,halfmode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse,top1acc_std,top1acc_farmost_std,top5acc_std,top5acc_farmost_std,tau_std,rmse_std
0,oracle,2,0,r0.5,0.5810344827586207,0.496551724137931,0.7789655172413793,0.733103448275862,0.8055596009454152,10.983860916001095,0.016,0.020,0.010,0.008,0.003,0.246
1,deepAR,2,0,r0.5,0.40344827586206894,0.32413793103448274,0.6313793103448276,0.5537931034482758,0.6772253232513175,20.747462835127003,0.035,0.030,0.009,0.019,0.005,0.519
2,naive,2,0,r0.5,0.603448275862069,0.5517241379310345,0.7982758620689655,0.7448275862068966,0.7671039367357385,17.426714145979513,0.000,0.000,0.000,0.000,0.000,0.000
3,curtrack,2,0,r0.5,0.40344827586206894,0.29655172413793107,0.7503448275862069,0.6793103448275863,0.7715424957375966,14.498206901738385,0.020,0.025,0.004,0.006,0.001,0.079
4,zerotrack,2,0,r0.5,0.33620689655172414,0.27586206896551724,0.7196551724137932,0.6917241379310346,0.7615930878160129,14.035213942174213,0.026,0.015,0.013,0.015,0.005,0.470
5,oracle,2,0,r0.6,0.6948275862068964,0.6586206896551724,0.8127586206896551,0.7689655172413794,0.8298692083541717,9.95501346945575,0.012,0.017,0.009,0.010,0.001,0.083
6,deepAR,2,0,r0.6,0.45344827586206893,0.38620689655172413,0.6931034482758621,0.623448275862069,0.7238919509087073,18.65631403529005,0.024,0.023,0.014,0.014,0.005,0.613
7,naive,2,0,r0.6,0.603448275862069,0.5517241379310345,0.7982758620689655,0.7448275862068966,0.7671039367357385,17.426714145979513,0.000,0.000,0.000,0.000,0.000,0.000
8,curtrack,2,0,r0.6,0.596551724137931,0.5413793103448277,0.7851724137931034,0.7206896551724137,0.8022428690790318,12.69096541625402,0.021,0.039,0.002,0.006,0.001,0.070
9,zerotrack,2,0,r0.6,0.5103448275862068,0.4862068965517242,0.7644827586206897,0.7275862068965517,0.7824581705657194,12.808038256817866,0.013,0.013,0.008,0.002,0.003,0.401
10,oracle,2,0,r0.7,0.6396551724137931,0.603448275862069,0.7944827586206896,0.7193103448275862,0.8205688743134065,10.841569675174624,0.014,0.015,0.005,0.004,0.001,0.148
11,deepAR,2,0,r0.7,0.4931034482758621,0.4241379310344827,0.7075862068965517,0.6358620689655173,0.7320270164838246,17.993149725808646,0.010,0.008,0.012,0.013,0.004,0.357
12,naive,2,0,r0.7,0.603448275862069,0.5517241379310345,0.7982758620689655,0.7448275862068966,0.7671039367357385,17.426714145979513,0.000,0.000,0.000,0.000,0.000,0.000
13,curtrack,2,0,r0.7,0.5758620689655173,0.5137931034482759,0.7944827586206896,0.7448275862068966,0.8043623037529246,11.908134758628012,0.022,0.030,0.004,0.006,0.002,0.150
14,zerotrack,2,0,r0.7,0.4413793103448276,0.4137931034482759,0.7475862068965516,0.7034482758620689,0.7942378476145562,11.975109538332175,0.021,0.033,0.008,0.008,0.005,0.525
15,oracle,5,0,r0.5,0.42254545454545456,0.33818181818181814,0.7249454545454546,0.6450909090909092,0.7513103169907673,13.105668094482008,0.013,0.037,0.007,0.009,0.003,0.233
16,deepAR,5,0,r0.5,0.24,0.08727272727272727,0.502690909090909,0.3570909090909091,0.5776332794199524,28.854807583012803,0.024,0.044,0.005,0.008,0.004,0.392
17,naive,5,0,r0.5,0.44000000000000006,0.2909090909090909,0.6647272727272727,0.52,0.6144026376537515,30.43758508351551,0.000,0.000,0.000,0.000,0.000,0.000
