,model,prediction_length,halfmode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse,top1acc_std,top1acc_farmost_std,top5acc_std,top5acc_farmost_std,tau_std,rmse_std
0,oracle,2,0,r0.5,0.4896551724137931,0.41034482758620694,0.7358620689655171,0.6799999999999999,0.7620036074326355,14.86488222555389,0.032,0.033,0.011,0.012,0.004,0.424
1,curtrack,2,0,r0.5,0.4431034482758621,0.3310344827586207,0.7472413793103448,0.686896551724138,0.757772539181592,16.235210229439613,0.014,0.030,0.008,0.009,0.004,0.502
2,zerotrack,2,0,r0.5,0.41551724137931034,0.3517241379310344,0.723793103448276,0.6689655172413793,0.7653233209557622,13.95571551708883,0.017,0.026,0.005,0.004,0.003,0.361
3,oracle,2,0,r0.6,0.5224137931034483,0.4724137931034482,0.7620689655172413,0.7158620689655172,0.783440626136234,14.000993130113818,0.021,0.039,0.005,0.007,0.004,0.268
4,curtrack,2,0,r0.6,0.6017241379310345,0.5448275862068965,0.7924137931034483,0.7420689655172414,0.802777161291867,12.325814152447586,0.018,0.014,0.003,0.003,0.002,0.298
5,zerotrack,2,0,r0.6,0.5258620689655171,0.46206896551724136,0.7455172413793103,0.6889655172413793,0.7792474128925756,13.075299694475106,0.012,0.028,0.006,0.011,0.003,0.290
6,oracle,2,0,r0.7,0.47586206896551725,0.40344827586206894,0.77,0.713103448275862,0.7919172145170028,13.015663261165509,0.033,0.026,0.012,0.018,0.007,0.783
7,curtrack,2,0,r0.7,0.4862068965517241,0.4379310344827586,0.7248275862068965,0.6765517241379311,0.770483495167462,14.95172619184913,0.019,0.036,0.007,0.008,0.003,0.399
8,zerotrack,2,0,r0.7,0.4931034482758621,0.4206896551724138,0.7586206896551724,0.7062068965517241,0.7921778675998624,12.19308639727755,0.028,0.030,0.009,0.013,0.005,0.385
9,oracle,5,0,r0.5,0.27781818181818185,0.23272727272727273,0.624,0.5076363636363637,0.6462528404094292,23.74306286036025,0.008,0.021,0.010,0.014,0.011,1.319
10,curtrack,5,0,r0.5,0.32727272727272727,0.26909090909090905,0.6208,0.5134545454545455,0.6441113129942557,24.320366254550606,0.010,0.021,0.015,0.023,0.011,1.471
11,zerotrack,5,0,r0.5,0.4123636363636364,0.32727272727272727,0.6510545454545454,0.56,0.666766407182147,21.084762909103777,0.029,0.038,0.006,0.012,0.007,0.788
12,oracle,5,0,r0.6,0.504,0.47272727272727266,0.6641454545454545,0.5694545454545454,0.6792605301998801,21.182852435937654,0.023,0.034,0.009,0.005,0.007,0.790
13,curtrack,5,0,r0.6,0.37527272727272726,0.3127272727272727,0.6418909090909091,0.5367272727272727,0.6634485336787611,23.2104528464772,0.014,0.031,0.011,0.011,0.008,0.985
14,zerotrack,5,0,r0.6,0.3643636363636364,0.28727272727272724,0.6306909090909091,0.525090909090909,0.6793134829083529,20.496264346024343,0.031,0.044,0.015,0.024,0.003,0.359
15,oracle,5,0,r0.7,0.4123636363636364,0.33090909090909093,0.6679272727272727,0.552,0.6818269778582264,21.749986348208957,0.029,0.057,0.015,0.027,0.005,0.614
16,curtrack,5,0,r0.7,0.3781818181818182,0.29818181818181816,0.6708363636363636,0.5556363636363637,0.6791572541413824,21.35935113401896,0.020,0.022,0.008,0.017,0.004,0.514
17,zerotrack,5,0,r0.7,0.384,0.3018181818181818,0.6612363636363636,0.5505454545454546,0.6806281591684987,20.107407917428787,0.016,0.019,0.010,0.009,0.003,0.308
18,oracle,10,0,r0.5,0.2852,0.21200000000000002,0.556,0.376,0.5186359729600324,35.41109714264479,0.007,0.016,0.008,0.007,0.010,1.322
19,curtrack,10,0,r0.5,0.28200000000000003,0.124,0.51768,0.3088,0.528869470057195,34.22876219610341,0.022,0.015,0.007,0.009,0.007,1.014
20,zerotrack,10,0,r0.5,0.23920000000000002,0.05600000000000001,0.5134399999999999,0.3344,0.5835173986564729,26.784591702500393,0.017,0.015,0.006,0.016,0.003,0.286
21,oracle,10,0,r0.6,0.37200000000000005,0.22400000000000003,0.5729599999999999,0.4112,0.5791391240415169,30.19123716579073,0.011,0.020,0.005,0.013,0.004,0.481
22,curtrack,10,0,r0.6,0.4176,0.22000000000000003,0.5772,0.36479999999999996,0.5741866612781366,30.485597666295057,0.009,0.018,0.005,0.011,0.005,0.711
23,zerotrack,10,0,r0.6,0.27680000000000005,0.1,0.5837600000000001,0.4264,0.6288451541109076,23.86571582120295,0.009,0.013,0.008,0.008,0.004,0.355
24,oracle,10,0,r0.7,0.27440000000000003,0.152,0.53696,0.364,0.5371601497823575,35.211020086637994,0.011,0.024,0.018,0.018,0.009,1.087
25,curtrack,10,0,r0.7,0.2428,0.08,0.516,0.288,0.5307373099631258,34.408644098954184,0.014,0.013,0.013,0.013,0.007,0.879
26,zerotrack,10,0,r0.7,0.26280000000000003,0.1,0.58008,0.4,0.6261102825274754,24.293015000265434,0.036,0.033,0.009,0.016,0.004,0.381
