,model,prediction_length,halfmode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse,top1acc_std,top1acc_farmost_std,top5acc_std,top5acc_farmost_std,tau_std,rmse_std
0,oracle,2,0,r0.5,0.47413793103448276,0.3931034482758621,0.7548275862068966,0.7055172413793104,0.7869815290628633,12.389952707406982,0.026,0.020,0.011,0.019,0.004,0.373
1,curtrack,2,0,r0.5,0.43275862068965515,0.3241379310344828,0.7637931034482759,0.7096551724137932,0.7776513987754837,14.08734068496887,0.018,0.013,0.009,0.012,0.002,0.222
2,zerotrack,2,0,r0.5,0.4206896551724138,0.35517241379310344,0.7293103448275862,0.6848275862068964,0.7651360429908582,13.818224177593743,0.040,0.048,0.013,0.009,0.003,0.317
3,oracle,2,0,r0.6,0.5379310344827586,0.493103448275862,0.7841379310344827,0.7475862068965518,0.803940124040772,11.828949361094791,0.028,0.028,0.012,0.011,0.004,0.382
4,curtrack,2,0,r0.6,0.6017241379310344,0.5620689655172413,0.8096551724137931,0.7579310344827586,0.8230472736435122,10.221334497281273,0.017,0.018,0.005,0.004,0.003,0.286
5,zerotrack,2,0,r0.6,0.48793103448275865,0.4206896551724138,0.7513793103448275,0.6924137931034482,0.776994272105327,13.365650172776862,0.026,0.034,0.005,0.009,0.006,0.521
6,oracle,2,0,r0.7,0.4793103448275862,0.4,0.786206896551724,0.7296551724137932,0.808243246570612,11.193428861881637,0.018,0.037,0.007,0.006,0.001,0.182
7,curtrack,2,0,r0.7,0.5189655172413793,0.46551724137931033,0.7468965517241379,0.7020689655172413,0.7912203508635294,12.891758873920793,0.011,0.022,0.009,0.010,0.005,0.441
8,zerotrack,2,0,r0.7,0.49827586206896557,0.4517241379310345,0.7686206896551724,0.716551724137931,0.7983624477957751,11.630036500370082,0.043,0.033,0.012,0.012,0.004,0.334
9,oracle,5,0,r0.5,0.29745454545454547,0.25090909090909086,0.6568727272727273,0.5607272727272727,0.682275138692303,19.56315315203316,0.009,0.033,0.004,0.011,0.002,0.258
10,curtrack,5,0,r0.5,0.32363636363636367,0.2436363636363636,0.6449454545454546,0.5265454545454544,0.6803282880426986,19.83802865372952,0.009,0.019,0.007,0.007,0.005,0.494
11,zerotrack,5,0,r0.5,0.38036363636363635,0.29818181818181816,0.6498909090909091,0.5672727272727273,0.666230301535505,21.01002933195629,0.023,0.025,0.005,0.008,0.004,0.355
12,oracle,5,0,r0.6,0.514909090909091,0.4727272727272728,0.6907636363636364,0.6050909090909091,0.7147465016803273,17.22258140442488,0.021,0.034,0.005,0.010,0.004,0.467
13,curtrack,5,0,r0.6,0.38836363636363636,0.3381818181818182,0.6731636363636364,0.5890909090909091,0.7013155876487045,18.86673240640197,0.009,0.019,0.007,0.011,0.005,0.490
14,zerotrack,5,0,r0.6,0.38109090909090904,0.3090909090909091,0.6350545454545455,0.5352727272727272,0.6843259422485426,20.05930966952532,0.022,0.034,0.004,0.020,0.004,0.349
15,oracle,5,0,r0.7,0.442909090909091,0.34545454545454546,0.6865454545454546,0.5854545454545454,0.7149058361662277,17.674611165710296,0.021,0.030,0.007,0.009,0.002,0.239
16,curtrack,5,0,r0.7,0.3941818181818182,0.3090909090909091,0.6882909090909092,0.5745454545454545,0.7130215931005365,17.30119776790038,0.026,0.033,0.006,0.010,0.002,0.223
17,zerotrack,5,0,r0.7,0.3992727272727273,0.31636363636363635,0.6654545454545454,0.5527272727272727,0.681469878170225,20.09768079881471,0.019,0.025,0.007,0.007,0.004,0.431
18,oracle,10,0,r0.5,0.28200000000000003,0.21200000000000002,0.6020000000000001,0.4608,0.5747622555235048,28.421161900939644,0.010,0.010,0.007,0.006,0.004,0.561
19,curtrack,10,0,r0.5,0.2872,0.14800000000000002,0.5588799999999999,0.38239999999999996,0.5803508504052923,27.57739913468174,0.022,0.016,0.010,0.009,0.002,0.241
20,zerotrack,10,0,r0.5,0.23879999999999998,0.06799999999999999,0.51176,0.34,0.5851563702025738,26.512527976854063,0.023,0.032,0.010,0.006,0.006,0.518
21,oracle,10,0,r0.6,0.42000000000000004,0.31200000000000006,0.6272,0.488,0.643134718438254,22.423449820035035,0.014,0.037,0.007,0.013,0.004,0.441
22,curtrack,10,0,r0.6,0.49160000000000004,0.372,0.64112,0.45600000000000007,0.6399578095307364,22.816467869830653,0.010,0.024,0.009,0.012,0.007,0.758
23,zerotrack,10,0,r0.6,0.2612,0.08800000000000001,0.58112,0.4208,0.6229206952035178,24.418041995222165,0.014,0.016,0.007,0.010,0.003,0.282
24,oracle,10,0,r0.7,0.27,0.10800000000000001,0.56952,0.396,0.5924369037399655,28.491917189149014,0.006,0.020,0.004,0.007,0.004,0.442
25,curtrack,10,0,r0.7,0.23279999999999998,0.084,0.5479999999999999,0.32880000000000004,0.5852120888903652,27.745345998832086,0.023,0.020,0.006,0.009,0.003,0.414
26,zerotrack,10,0,r0.7,0.2572,0.092,0.5904,0.4032,0.6267347305613966,24.26886986123056,0.018,0.020,0.007,0.015,0.004,0.339
