,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,27,0.926,0.926,0.993,0.985,0.954,1.655
1,fulloracle,2,10,11,0.955,0.909,0.955,0.945,0.929,2.595
2,fulloracle,2,01,49,0.643,0.510,0.778,0.722,0.795,16.600
3,fulloracle,2,11,31,0.887,0.839,0.900,0.858,0.903,6.817
4,fulloracle,2,aa,118,0.801,0.729,0.875,0.839,0.872,9.305
0,notracklap,2,00,27,0.926,0.926,0.993,0.985,0.955,1.611
1,notracklap,2,10,11,0.955,0.909,0.955,0.945,0.934,2.319
2,notracklap,2,01,49,0.571,0.449,0.765,0.702,0.793,17.191
3,notracklap,2,11,31,0.790,0.742,0.913,0.877,0.903,6.695
4,notracklap,2,aa,118,0.746,0.678,0.874,0.836,0.872,9.483
0,laponly,2,00,27,0.926,0.926,0.993,0.985,0.952,1.758
1,laponly,2,10,11,0.955,0.909,0.955,0.945,0.932,2.644
2,laponly,2,01,49,0.582,0.469,0.776,0.714,0.793,17.021
3,laponly,2,11,31,0.806,0.742,0.919,0.897,0.908,6.282
4,laponly,2,aa,118,0.754,0.686,0.880,0.846,0.873,9.367
0,trackonly,2,00,27,0.926,0.926,0.993,0.985,0.953,1.669
1,trackonly,2,10,11,0.955,0.909,0.955,0.945,0.937,2.074
2,trackonly,2,01,49,0.561,0.449,0.765,0.706,0.794,17.059
3,trackonly,2,11,31,0.774,0.710,0.916,0.890,0.907,6.468
4,trackonly,2,aa,118,0.737,0.669,0.875,0.841,0.873,9.358
0,fullpred,2,00,27,0.926,0.926,0.993,0.985,0.954,1.598
1,fullpred,2,10,11,0.955,0.909,0.955,0.945,0.930,2.437
2,fullpred,2,01,49,0.571,0.449,0.765,0.706,0.789,17.615
3,fullpred,2,11,31,0.758,0.677,0.913,0.884,0.904,6.769
4,fullpred,2,aa,118,0.737,0.661,0.874,0.839,0.870,9.686
0,predtrack,2,00,27,0.926,0.926,0.993,0.985,0.954,1.662
1,predtrack,2,10,11,0.955,0.909,0.955,0.945,0.931,2.465
2,predtrack,2,01,49,0.571,0.449,0.765,0.702,0.792,17.174
3,predtrack,2,11,31,0.774,0.710,0.910,0.884,0.906,6.537
4,predtrack,2,aa,118,0.742,0.669,0.873,0.837,0.872,9.459
0,predpit,2,00,27,0.926,0.926,0.993,0.985,0.950,1.848
1,predpit,2,10,11,0.955,0.909,0.945,0.945,0.934,2.257
2,predpit,2,01,49,0.571,0.449,0.767,0.706,0.789,17.538
3,predpit,2,11,31,0.758,0.710,0.906,0.877,0.901,6.917
4,predpit,2,aa,118,0.737,0.669,0.872,0.837,0.869,9.733
