,model,prediction_length,halfmode,datamode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse,top1acc_std,top1acc_farmost_std,top5acc_std,top5acc_farmost_std,tau_std,rmse_std
0,oracle,2,0,"MODE_ORACLE,",indy500,0.801,0.729,0.875,0.839,0.872,9.305,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE,",indy500,0.678,0.583,0.793,0.677,0.790,17.489,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_TRACKONLY,MODE_ORACLE_LAPONLY,",indy500,0.746,0.669,0.875,0.841,0.873,9.449,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_TRACKONLY,MODE_ORACLE_LAPONLY,",indy500,0.617,0.496,0.785,0.666,0.788,18.114,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_LAPONLY,",indy500,0.788,0.703,0.875,0.842,0.873,9.297,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_LAPONLY,",indy500,0.692,0.574,0.792,0.678,0.790,17.592,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_TRACKONLY,",indy500,0.737,0.669,0.874,0.836,0.873,9.454,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_TRACKONLY,",indy500,0.616,0.496,0.784,0.664,0.788,18.137,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_PREDTRACK,MODE_PREDPIT,",indy500,0.737,0.669,0.871,0.836,0.869,9.798,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_PREDTRACK,MODE_PREDPIT,",indy500,0.621,0.496,0.781,0.659,0.784,18.465,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_TRACKONLY,MODE_PREDTRACK,",indy500,0.737,0.661,0.873,0.837,0.873,9.452,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_TRACKONLY,MODE_PREDTRACK,",indy500,0.619,0.496,0.784,0.664,0.787,18.158,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_LAPONLY,MODE_PREDPIT,",indy500,0.737,0.669,0.876,0.842,0.870,9.596,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_LAPONLY,MODE_PREDPIT,",indy500,0.617,0.496,0.780,0.661,0.784,18.546,0.000,0.000,0.000,0.000,0.000,0.000
