,model,prediction_length,halfmode,datamode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse,top1acc_std,top1acc_farmost_std,top5acc_std,top5acc_farmost_std,tau_std,rmse_std
0,oracle-trackonly,2,0,"MODE_ORACLE,",2018,222.000,-0.222,5.325,5.325,1.887,0.035,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle-trackonly,5,0,"MODE_ORACLE,",2018,547.000,-1.932,5.313,5.313,4.774,0.036,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle-trackonly,10,0,"MODE_ORACLE,",2018,1055.000,-0.425,5.291,5.291,9.599,0.036,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle-trackonly,2,0,"MODE_ORACLE_TRACKONLY,MODE_ORACLE_LAPONLY,",2018,222.000,-0.188,5.325,5.325,1.884,0.035,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle-trackonly,5,0,"MODE_ORACLE_TRACKONLY,MODE_ORACLE_LAPONLY,",2018,547.000,-1.962,5.313,5.313,4.775,0.036,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle-trackonly,10,0,"MODE_ORACLE_TRACKONLY,MODE_ORACLE_LAPONLY,",2018,1055.000,-0.496,5.291,5.291,9.599,0.036,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle-trackonly,2,0,"MODE_ORACLE_TRACKONLY,",2018,222.000,-0.097,5.325,5.325,1.887,0.035,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle-trackonly,5,0,"MODE_ORACLE_TRACKONLY,",2018,547.000,-1.932,5.313,5.313,4.774,0.036,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle-trackonly,10,0,"MODE_ORACLE_TRACKONLY,",2018,1055.000,-0.426,5.291,5.291,9.599,0.036,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle-trackonly,2,0,"MODE_ORACLE_TRACKONLY,MODE_PREDTRACK,",2018,222.000,-0.450,5.325,5.325,1.887,0.035,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle-trackonly,5,0,"MODE_ORACLE_TRACKONLY,MODE_PREDTRACK,",2018,547.000,-1.956,5.313,5.313,4.775,0.036,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle-trackonly,10,0,"MODE_ORACLE_TRACKONLY,MODE_PREDTRACK,",2018,1055.000,-0.488,5.291,5.291,9.599,0.036,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle-trackonly,2,0,"MODE_TESTCURTRACK,",2018,222.000,0.852,5.325,5.325,1.894,0.035,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle-trackonly,5,0,"MODE_TESTCURTRACK,",2018,547.000,-1.932,5.313,5.313,4.774,0.036,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle-trackonly,10,0,"MODE_TESTCURTRACK,",2018,1055.000,-0.430,5.291,5.291,9.599,0.036,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle-trackonly,2,0,"MODE_TESTZERO,",2018,222.000,-0.231,5.325,5.325,1.884,0.035,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle-trackonly,5,0,"MODE_TESTZERO,",2018,547.000,-1.966,5.313,5.313,4.775,0.036,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle-trackonly,10,0,"MODE_TESTZERO,",2018,1055.000,-0.494,5.291,5.291,9.600,0.036,0.000,0.000,0.000,0.000,0.000,0.000
0,deepAR,2,0,"MODE_ORACLE,",2018,222.000,-2.309,5.325,5.325,1.901,0.035,0.000,0.000,0.000,0.000,0.000,0.000
1,deepAR,5,0,"MODE_ORACLE,",2018,547.000,-1.975,5.313,5.313,4.774,0.036,0.000,0.000,0.000,0.000,0.000,0.000
2,deepAR,10,0,"MODE_ORACLE,",2018,1055.000,-1.257,5.291,5.291,9.605,0.036,0.000,0.000,0.000,0.000,0.000,0.000
0,zero,2,0,"MODE_ORACLE,",2018,222.000,0.000,5.325,5.325,1.881,0.035,0.000,0.000,0.000,0.000,0.000,0.000
1,zero,5,0,"MODE_ORACLE,",2018,547.000,0.000,5.313,5.313,4.757,0.036,0.000,0.000,0.000,0.000,0.000,0.000
2,zero,10,0,"MODE_ORACLE,",2018,1055.000,0.000,5.291,5.291,9.591,0.036,0.000,0.000,0.000,0.000,0.000,0.000
