,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,27,0.000,-0.048,5.333,5.333,0.003,0.000
1,fulloracle,2,10,11,0.000,-0.005,5.073,5.073,0.002,0.000
2,fulloracle,2,01,49,146.000,-0.078,5.457,5.457,2.982,0.055
3,fulloracle,2,11,31,76.000,-0.091,5.200,5.200,2.466,0.048
4,fulloracle,2,aa,118,222.000,-0.222,5.325,5.325,1.887,0.035
0,fulloracle,5,00,13,0.000,-0.239,5.508,5.508,0.019,0.000
1,fulloracle,5,10,2,0.000,-0.044,5.200,5.200,0.023,0.000
2,fulloracle,5,01,54,331.000,-0.924,5.437,5.437,6.148,0.045
3,fulloracle,5,11,46,216.000,-0.725,5.117,5.117,4.713,0.037
4,fulloracle,5,aa,115,547.000,-1.932,5.313,5.313,4.774,0.036
0,fulloracle,10,00,2,0.000,-0.010,5.600,5.600,0.009,0.000
1,fulloracle,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,fulloracle,10,01,51,539.000,-0.236,5.549,5.549,10.577,0.038
3,fulloracle,10,11,57,516.000,-0.178,5.049,5.049,9.060,0.036
4,fulloracle,10,aa,110,1055.000,-0.425,5.291,5.291,9.599,0.036
0,notracklap,2,00,27,0.000,-0.049,5.333,5.333,0.003,0.000
1,notracklap,2,10,11,0.000,-0.011,5.073,5.073,0.002,0.000
2,notracklap,2,01,49,146.000,-0.078,5.457,5.457,2.982,0.055
3,notracklap,2,11,31,76.000,-0.051,5.200,5.200,2.454,0.048
4,notracklap,2,aa,118,222.000,-0.188,5.325,5.325,1.884,0.035
0,notracklap,5,00,13,0.000,-0.239,5.508,5.508,0.019,0.000
1,notracklap,5,10,2,0.000,-0.047,5.200,5.200,0.024,0.000
2,notracklap,5,01,54,331.000,-0.923,5.437,5.437,6.148,0.045
3,notracklap,5,11,46,216.000,-0.753,5.117,5.117,4.713,0.037
4,notracklap,5,aa,115,547.000,-1.962,5.313,5.313,4.775,0.036
0,notracklap,10,00,2,0.000,-0.011,5.600,5.600,0.009,0.000
1,notracklap,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,notracklap,10,01,51,539.000,-0.237,5.549,5.549,10.577,0.038
3,notracklap,10,11,57,516.000,-0.248,5.049,5.049,9.061,0.036
4,notracklap,10,aa,110,1055.000,-0.496,5.291,5.291,9.599,0.036
0,trackonly,2,00,27,0.000,-0.048,5.333,5.333,0.003,0.000
1,trackonly,2,10,11,0.000,-0.002,5.073,5.073,0.002,0.000
2,trackonly,2,01,49,146.000,-0.078,5.457,5.457,2.982,0.055
3,trackonly,2,11,31,76.000,0.031,5.200,5.200,2.467,0.048
4,trackonly,2,aa,118,222.000,-0.097,5.325,5.325,1.887,0.035
0,trackonly,5,00,13,0.000,-0.239,5.508,5.508,0.019,0.000
1,trackonly,5,10,2,0.000,-0.044,5.200,5.200,0.023,0.000
2,trackonly,5,01,54,331.000,-0.924,5.437,5.437,6.148,0.045
3,trackonly,5,11,46,216.000,-0.725,5.117,5.117,4.713,0.037
4,trackonly,5,aa,115,547.000,-1.932,5.313,5.313,4.774,0.036
0,trackonly,10,00,2,0.000,-0.011,5.600,5.600,0.009,0.000
1,trackonly,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,trackonly,10,01,51,539.000,-0.239,5.549,5.549,10.577,0.038
3,trackonly,10,11,57,516.000,-0.176,5.049,5.049,9.060,0.036
4,trackonly,10,aa,110,1055.000,-0.426,5.291,5.291,9.599,0.036
0,predtrack,2,00,27,0.000,-0.049,5.333,5.333,0.003,0.000
1,predtrack,2,10,11,0.000,-0.015,5.073,5.073,0.002,0.000
2,predtrack,2,01,49,146.000,-0.078,5.457,5.457,2.982,0.055
3,predtrack,2,11,31,76.000,-0.308,5.200,5.200,2.468,0.048
4,predtrack,2,aa,118,222.000,-0.450,5.325,5.325,1.887,0.035
0,predtrack,5,00,13,0.000,-0.239,5.508,5.508,0.019,0.000
1,predtrack,5,10,2,0.000,-0.047,5.200,5.200,0.024,0.000
2,predtrack,5,01,54,331.000,-0.924,5.437,5.437,6.148,0.045
3,predtrack,5,11,46,216.000,-0.745,5.117,5.117,4.713,0.037
4,predtrack,5,aa,115,547.000,-1.956,5.313,5.313,4.775,0.036
0,predtrack,10,00,2,0.000,-0.011,5.600,5.600,0.009,0.000
1,predtrack,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,predtrack,10,01,51,539.000,-0.239,5.549,5.549,10.577,0.038
3,predtrack,10,11,57,516.000,-0.238,5.049,5.049,9.061,0.036
4,predtrack,10,aa,110,1055.000,-0.488,5.291,5.291,9.599,0.036
0,curtrack,2,00,27,0.000,-0.046,5.333,5.333,0.003,0.000
1,curtrack,2,10,11,0.000,-0.002,5.073,5.073,0.002,0.000
2,curtrack,2,01,49,146.000,-0.078,5.457,5.457,2.982,0.055
3,curtrack,2,11,31,76.000,0.978,5.200,5.200,2.492,0.048
4,curtrack,2,aa,118,222.000,0.852,5.325,5.325,1.894,0.035
0,curtrack,5,00,13,0.000,-0.237,5.508,5.508,0.019,0.000
1,curtrack,5,10,2,0.000,-0.044,5.200,5.200,0.023,0.000
