,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,27,0.000,0.000,0.000,0.000,0.431,2.111
1,fulloracle,2,10,11,0.000,0.000,0.000,0.000,0.487,74.251
2,fulloracle,2,01,49,0.000,0.000,0.000,0.000,0.479,42.087
3,fulloracle,2,11,31,0.000,0.000,0.000,0.000,0.388,190.368
4,fulloracle,2,aa,118,0.000,0.000,0.000,0.000,0.445,74.893
0,fulloracle,5,00,13,0.000,0.000,0.000,0.000,0.265,1.035
1,fulloracle,5,10,2,0.000,0.000,0.000,0.000,0.520,195.606
2,fulloracle,5,01,54,0.000,0.000,0.000,0.000,0.374,19.503
3,fulloracle,5,11,46,0.000,0.000,0.000,0.000,0.462,140.589
4,fulloracle,5,aa,115,0.000,0.000,0.000,0.000,0.399,68.913
0,fulloracle,10,00,2,0.000,0.000,0.000,0.000,0.101,0.672
1,fulloracle,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,fulloracle,10,01,51,0.000,0.000,0.000,0.000,0.219,13.206
3,fulloracle,10,11,57,0.000,0.000,0.000,0.000,0.506,106.092
4,fulloracle,10,aa,110,0.000,0.000,0.000,0.000,0.365,61.110
0,notracklap,2,00,27,0.000,0.000,0.000,0.000,0.368,13.242
1,notracklap,2,10,11,0.000,0.000,0.000,0.000,0.053,750.426
2,notracklap,2,01,49,0.000,0.000,0.000,0.000,0.144,80.722
3,notracklap,2,11,31,0.000,0.000,0.000,0.000,0.192,1203.156
4,notracklap,2,aa,118,0.000,0.000,0.000,0.000,0.199,422.588
0,notracklap,5,00,13,0.000,0.000,0.000,0.000,0.195,6.058
1,notracklap,5,10,2,0.000,0.000,0.000,0.000,-0.338,1274.996
2,notracklap,5,01,54,0.000,0.000,0.000,0.000,0.091,52.173
3,notracklap,5,11,46,0.000,0.000,0.000,0.000,0.165,1195.110
4,notracklap,5,aa,115,0.000,0.000,0.000,0.000,0.125,525.401
0,notracklap,10,00,2,0.000,0.000,0.000,0.000,0.032,2.065
1,notracklap,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,notracklap,10,01,51,0.000,0.000,0.000,0.000,0.071,41.663
3,notracklap,10,11,57,0.000,0.000,0.000,0.000,0.100,1096.132
4,notracklap,10,aa,110,0.000,0.000,0.000,0.000,0.085,587.350
0,laponly,2,00,27,0.000,0.000,0.000,0.000,0.413,12.190
1,laponly,2,10,11,0.000,0.000,0.000,0.000,0.083,752.676
2,laponly,2,01,49,0.000,0.000,0.000,0.000,0.467,44.958
3,laponly,2,11,31,0.000,0.000,0.000,0.000,0.267,1103.737
4,laponly,2,aa,118,0.000,0.000,0.000,0.000,0.366,381.588
0,laponly,5,00,13,0.000,0.000,0.000,0.000,0.228,5.539
1,laponly,5,10,2,0.000,0.000,0.000,0.000,-0.337,1287.876
2,laponly,5,01,54,0.000,0.000,0.000,0.000,0.377,21.419
3,laponly,5,11,46,0.000,0.000,0.000,0.000,0.253,1105.633
4,laponly,5,aa,115,0.000,0.000,0.000,0.000,0.298,475.335
0,laponly,10,00,2,0.000,0.000,0.000,0.000,0.083,0.654
1,laponly,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,laponly,10,01,51,0.000,0.000,0.000,0.000,0.193,14.044
3,laponly,10,11,57,0.000,0.000,0.000,0.000,0.179,1008.810
4,laponly,10,aa,110,0.000,0.000,0.000,0.000,0.184,529.270
0,trackonly,2,00,27,0.000,0.000,0.000,0.000,0.364,3.177
1,trackonly,2,10,11,0.000,0.000,0.000,0.000,0.452,75.892
2,trackonly,2,01,49,0.000,0.000,0.000,0.000,0.150,79.280
3,trackonly,2,11,31,0.000,0.000,0.000,0.000,0.304,212.750
4,trackonly,2,aa,118,0.000,0.000,0.000,0.000,0.267,96.615
0,trackonly,5,00,13,0.000,0.000,0.000,0.000,0.231,1.552
1,trackonly,5,10,2,0.000,0.000,0.000,0.000,0.535,215.050
2,trackonly,5,01,54,0.000,0.000,0.000,0.000,0.096,50.757
3,trackonly,5,11,46,0.000,0.000,0.000,0.000,0.359,158.563
4,trackonly,5,aa,115,0.000,0.000,0.000,0.000,0.224,91.174
0,trackonly,10,00,2,0.000,0.000,0.000,0.000,0.012,2.052
1,trackonly,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,trackonly,10,01,51,0.000,0.000,0.000,0.000,0.076,41.131
3,trackonly,10,11,57,0.000,0.000,0.000,0.000,0.424,131.404
4,trackonly,10,aa,110,0.000,0.000,0.000,0.000,0.256,87.198
0,fullpred,2,00,27,0.000,0.000,0.000,0.000,0.384,54.315
1,fullpred,2,10,11,0.000,0.000,0.000,0.000,0.249,342.958
2,fullpred,2,01,49,0.000,0.000,0.000,0.000,0.327,76.699
3,fullpred,2,11,31,0.000,0.000,0.000,0.000,0.266,466.758
4,fullpred,2,aa,118,0.000,0.000,0.000,0.000,0.317,198.871
0,fullpred,5,00,13,0.000,0.000,0.000,0.000,0.203,30.330
1,fullpred,5,10,2,0.000,0.000,0.000,0.000,-0.272,1348.093
2,fullpred,5,01,54,0.000,0.000,0.000,0.000,0.193,55.508
3,fullpred,5,11,46,0.000,0.000,0.000,0.000,0.224,730.748
4,fullpred,5,aa,115,0.000,0.000,0.000,0.000,0.199,345.237
0,fullpred,10,00,2,0.000,0.000,0.000,0.000,0.092,0.684
1,fullpred,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,fullpred,10,01,51,0.000,0.000,0.000,0.000,0.104,50.904
