,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,27,0.815,0.778,0.974,0.970,0.956,1.777
1,fulloracle,2,10,11,0.455,0.455,0.727,0.655,0.700,23.248
2,fulloracle,2,01,49,0.949,0.939,0.957,0.947,0.947,1.876
3,fulloracle,2,11,31,0.823,0.710,0.832,0.768,0.842,9.968
4,fulloracle,2,aa,118,0.839,0.797,0.907,0.878,0.898,5.972
0,fulloracle,5,00,13,0.846,0.846,0.923,0.877,0.913,3.846
1,fulloracle,5,10,2,0.300,0.000,0.400,0.100,0.399,51.908
2,fulloracle,5,01,54,0.833,0.759,0.929,0.893,0.909,3.079
3,fulloracle,5,11,46,0.578,0.435,0.643,0.509,0.700,21.474
4,fulloracle,5,aa,115,0.723,0.626,0.805,0.723,0.817,11.373
0,fulloracle,10,00,2,1.000,1.000,0.950,0.900,0.923,2.250
1,fulloracle,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,fulloracle,10,01,51,0.812,0.667,0.905,0.851,0.871,5.446
3,fulloracle,10,11,57,0.568,0.404,0.663,0.512,0.674,21.822
4,fulloracle,10,aa,110,0.689,0.536,0.781,0.676,0.770,13.874
0,notracklap,2,00,27,0.815,0.778,0.952,0.948,0.944,3.059
1,notracklap,2,10,11,0.773,0.727,0.809,0.800,0.781,18.324
2,notracklap,2,01,49,0.571,0.469,0.792,0.735,0.819,14.621
3,notracklap,2,11,31,0.742,0.677,0.897,0.858,0.899,6.539
4,notracklap,2,aa,118,0.691,0.619,0.858,0.822,0.865,10.198
0,notracklap,5,00,13,0.831,0.769,0.895,0.862,0.880,6.882
1,notracklap,5,10,2,1.000,1.000,0.860,0.800,0.732,15.638
2,notracklap,5,01,54,0.422,0.241,0.696,0.496,0.685,27.394
3,notracklap,5,11,46,0.561,0.391,0.744,0.626,0.751,19.079
4,notracklap,5,aa,115,0.534,0.374,0.741,0.595,0.734,21.545
0,notracklap,10,00,2,1.000,1.000,0.950,0.900,0.896,3.425
1,notracklap,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,notracklap,10,01,51,0.437,0.196,0.605,0.302,0.583,41.374
3,notracklap,10,11,57,0.486,0.281,0.620,0.470,0.626,28.268
4,notracklap,10,aa,110,0.473,0.255,0.619,0.400,0.611,33.893
0,laponly,2,00,27,0.796,0.778,0.944,0.933,0.936,4.132
1,laponly,2,10,11,0.773,0.727,0.800,0.782,0.775,18.491
2,laponly,2,01,49,0.929,0.898,0.959,0.955,0.943,2.210
3,laponly,2,11,31,0.968,0.968,0.958,0.948,0.930,3.232
4,laponly,2,aa,118,0.894,0.873,0.941,0.932,0.922,4.436
0,laponly,5,00,13,0.831,0.769,0.902,0.877,0.871,8.333
1,laponly,5,10,2,0.600,0.500,0.840,0.800,0.696,20.654
2,laponly,5,01,54,0.815,0.685,0.927,0.889,0.902,3.556
3,laponly,5,11,46,0.726,0.587,0.852,0.804,0.838,9.974
4,laponly,5,aa,115,0.777,0.652,0.893,0.852,0.869,6.961
0,laponly,10,00,2,1.000,1.000,0.960,0.900,0.920,2.307
1,laponly,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,laponly,10,01,51,0.792,0.608,0.904,0.847,0.857,6.781
3,laponly,10,11,57,0.735,0.614,0.813,0.754,0.792,11.571
4,laponly,10,aa,110,0.766,0.618,0.858,0.800,0.824,9.182
0,trackonly,2,00,27,0.796,0.778,0.970,0.963,0.953,1.707
1,trackonly,2,10,11,0.636,0.636,0.727,0.673,0.726,20.486
2,trackonly,2,01,49,0.571,0.469,0.792,0.735,0.822,14.282
3,trackonly,2,11,31,0.710,0.645,0.794,0.735,0.820,11.580
4,trackonly,2,aa,118,0.665,0.602,0.827,0.781,0.843,11.273
