,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,27,0.944,0.926,0.970,0.963,0.965,1.732
1,fulloracle,2,10,11,0.364,0.364,0.755,0.727,0.749,19.074
2,fulloracle,2,01,49,0.949,0.939,0.959,0.951,0.956,1.241
3,fulloracle,2,11,31,0.774,0.645,0.858,0.819,0.872,7.590
4,fulloracle,2,aa,118,0.847,0.805,0.916,0.898,0.917,4.684
0,fulloracle,5,00,13,0.923,0.846,0.985,0.985,0.964,1.137
1,fulloracle,5,10,2,0.600,0.500,0.720,0.500,0.620,26.977
2,fulloracle,5,01,54,0.904,0.852,0.944,0.933,0.939,2.068
3,fulloracle,5,11,46,0.530,0.457,0.778,0.700,0.794,12.945
4,fulloracle,5,aa,115,0.751,0.687,0.878,0.838,0.878,6.747
0,fulloracle,10,00,2,1.000,1.000,1.000,1.000,0.976,0.407
1,fulloracle,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,fulloracle,10,01,51,0.898,0.804,0.940,0.922,0.923,2.768
3,fulloracle,10,11,57,0.574,0.526,0.779,0.702,0.763,13.621
4,fulloracle,10,aa,110,0.732,0.664,0.858,0.809,0.841,8.349
0,notracklap,2,00,27,0.907,0.889,0.952,0.948,0.943,3.226
1,notracklap,2,10,11,0.773,0.818,0.791,0.782,0.782,17.881
2,notracklap,2,01,49,0.561,0.449,0.792,0.731,0.822,14.358
3,notracklap,2,11,31,0.677,0.613,0.887,0.852,0.901,6.362
4,notracklap,2,aa,118,0.691,0.627,0.853,0.817,0.867,10.039
0,notracklap,5,00,13,0.923,0.923,0.914,0.908,0.902,6.448
1,notracklap,5,10,2,0.500,0.500,0.860,0.800,0.872,3.969
2,notracklap,5,01,54,0.474,0.296,0.702,0.522,0.710,26.215
3,notracklap,5,11,46,0.609,0.543,0.771,0.696,0.782,17.146
4,notracklap,5,aa,115,0.579,0.470,0.757,0.640,0.763,19.966
0,notracklap,10,00,2,1.000,1.000,1.000,1.000,0.933,2.332
1,notracklap,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,notracklap,10,01,51,0.455,0.196,0.621,0.325,0.606,40.411
3,notracklap,10,11,57,0.489,0.351,0.660,0.540,0.676,24.734
4,notracklap,10,aa,110,0.483,0.291,0.648,0.449,0.648,31.595
0,laponly,2,00,27,0.870,0.852,0.937,0.933,0.933,4.688
1,laponly,2,10,11,0.773,0.818,0.818,0.818,0.775,18.823
2,laponly,2,01,49,0.949,0.939,0.947,0.939,0.946,1.853
3,laponly,2,11,31,0.887,0.839,0.952,0.929,0.925,3.660
4,laponly,2,aa,118,0.898,0.881,0.934,0.924,0.922,4.558
0,laponly,5,00,13,0.923,0.923,0.908,0.908,0.897,7.751
1,laponly,5,10,2,0.100,0.000,0.820,0.800,0.783,12.231
2,laponly,5,01,54,0.904,0.833,0.926,0.911,0.930,2.495
3,laponly,5,11,46,0.813,0.761,0.873,0.857,0.862,8.461
4,laponly,5,aa,115,0.856,0.800,0.901,0.887,0.896,5.645
0,laponly,10,00,2,1.000,1.000,1.000,1.000,0.979,0.368
1,laponly,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
