,testid,plen,type,reccnt,top1acc,top1acc_farmost,ot_recall,ot_precision,tau,rmse
0,fulloracle,2,00,27,0.815,0.778,0.138,0.057,29.000,70.000
1,fulloracle,2,10,11,0.455,0.455,0.268,0.042,41.000,262.000
2,fulloracle,2,01,49,0.949,0.939,0.442,0.232,43.000,82.000
3,fulloracle,2,11,31,0.823,0.710,0.190,0.012,21.000,337.000
4,fulloracle,2,aa,118,0.839,0.797,0.284,0.051,134.000,751.000
0,fulloracle,5,00,13,0.846,0.846,0.120,0.035,25.000,85.000
1,fulloracle,5,10,2,0.300,0.000,0.000,0.000,27.000,117.000
2,fulloracle,5,01,54,0.833,0.759,0.333,0.129,78.000,201.000
3,fulloracle,5,11,46,0.578,0.435,0.071,0.010,140.000,1043.000
4,fulloracle,5,aa,115,0.723,0.626,0.144,0.027,270.000,1446.000
0,fulloracle,10,00,2,1.000,1.000,0.000,0.000,2.000,9.000
1,fulloracle,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,fulloracle,10,01,51,0.812,0.667,0.396,0.147,96.000,258.000
3,fulloracle,10,11,57,0.568,0.404,0.102,0.024,293.000,1249.000
4,fulloracle,10,aa,110,0.689,0.536,0.174,0.045,391.000,1516.000
0,notracklap,2,00,27,0.815,0.778,0.207,0.073,29.000,82.000
1,notracklap,2,10,11,0.773,0.727,0.268,0.062,41.000,176.000
2,notracklap,2,01,49,0.571,0.469,0.256,0.108,43.000,102.000
3,notracklap,2,11,31,0.742,0.677,0.000,0.000,21.000,83.000
4,notracklap,2,aa,118,0.691,0.619,0.209,0.063,134.000,443.000
0,notracklap,5,00,13,0.831,0.769,0.240,0.055,25.000,110.000
1,notracklap,5,10,2,1.000,1.000,0.000,0.000,27.000,36.000
2,notracklap,5,01,54,0.422,0.241,0.077,0.029,78.000,205.000
3,notracklap,5,11,46,0.561,0.391,0.071,0.026,140.000,384.000
4,notracklap,5,aa,115,0.534,0.374,0.081,0.030,270.000,735.000
0,notracklap,10,00,2,1.000,1.000,0.000,0.000,2.000,5.000
1,notracklap,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,notracklap,10,01,51,0.437,0.196,0.021,0.009,96.000,213.000
3,notracklap,10,11,57,0.486,0.281,0.044,0.028,293.000,463.000
4,notracklap,10,aa,110,0.473,0.255,0.038,0.022,391.000,681.000
0,laponly,2,00,27,0.796,0.778,0.241,0.061,29.000,115.000
1,laponly,2,10,11,0.773,0.727,0.268,0.061,41.000,180.000
2,laponly,2,01,49,0.929,0.898,0.419,0.217,43.000,83.000
3,laponly,2,11,31,0.968,0.968,0.143,0.027,21.000,113.000
4,laponly,2,aa,118,0.894,0.873,0.291,0.079,134.000,491.000
0,laponly,5,00,13,0.831,0.769,0.240,0.045,25.000,134.000
1,laponly,5,10,2,0.600,0.500,0.074,0.039,27.000,51.000
2,laponly,5,01,54,0.815,0.685,0.333,0.125,78.000,208.000
3,laponly,5,11,46,0.726,0.587,0.114,0.038,140.000,420.000
4,laponly,5,aa,115,0.777,0.652,0.185,0.062,270.000,813.000
0,laponly,10,00,2,1.000,1.000,0.000,0.000,2.000,8.000
1,laponly,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,laponly,10,01,51,0.792,0.608,0.406,0.144,96.000,270.000
3,laponly,10,11,57,0.735,0.614,0.102,0.055,293.000,545.000
4,laponly,10,aa,110,0.766,0.618,0.176,0.084,391.000,823.000
0,trackonly,2,00,27,0.796,0.778,0.172,0.072,29.000,69.000
1,trackonly,2,10,11,0.636,0.636,0.317,0.048,41.000,272.000
2,trackonly,2,01,49,0.571,0.469,0.233,0.101,43.000,99.000
3,trackonly,2,11,31,0.710,0.645,0.143,0.010,21.000,312.000
4,trackonly,2,aa,118,0.665,0.602,0.231,0.041,134.000,752.000
0,trackonly,5,00,13,0.831,0.769,0.160,0.045,25.000,89.000
1,trackonly,5,10,2,0.300,0.000,0.000,0.000,27.000,99.000
2,trackonly,5,01,54,0.430,0.241,0.077,0.030,78.000,203.000
3,trackonly,5,11,46,0.483,0.348,0.079,0.011,140.000,978.000
4,trackonly,5,aa,115,0.494,0.339,0.078,0.015,270.000,1369.000
0,trackonly,10,00,2,1.000,1.000,0.000,0.000,2.000,7.000
1,trackonly,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,trackonly,10,01,51,0.431,0.176,0.021,0.010,96.000,206.000
3,trackonly,10,11,57,0.377,0.175,0.058,0.013,293.000,1334.000
4,trackonly,10,aa,110,0.414,0.191,0.049,0.012,391.000,1547.000
0,fullpred,2,00,27,0.759,0.704,0.138,0.015,29.000,270.000
1,fullpred,2,10,11,0.636,0.636,0.268,0.092,41.000,119.000
2,fullpred,2,01,49,0.582,0.469,0.372,0.108,43.000,148.000
3,fullpred,2,11,31,0.629,0.484,0.095,0.006,21.000,329.000
4,fullpred,2,aa,118,0.640,0.542,0.246,0.038,134.000,866.000
0,fullpred,5,00,13,0.708,0.615,0.200,0.013,25.000,373.000
1,fullpred,5,10,2,0.900,0.500,0.000,0.000,27.000,34.000
2,fullpred,5,01,54,0.433,0.278,0.115,0.023,78.000,388.000
3,fullpred,5,11,46,0.417,0.326,0.071,0.013,140.000,741.000
4,fullpred,5,aa,115,0.466,0.339,0.089,0.016,270.000,1536.000
0,fullpred,10,00,2,1.000,1.000,0.000,0.000,2.000,9.000
1,fullpred,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,fullpred,10,01,51,0.422,0.216,0.052,0.009,96.000,530.000
3,fullpred,10,11,57,0.384,0.228,0.085,0.029,293.000,867.000
4,fullpred,10,aa,110,0.413,0.236,0.077,0.021,391.000,1406.000
0,predtrack,2,00,27,0.796,0.778,0.138,0.060,29.000,67.000
1,predtrack,2,10,11,0.682,0.636,0.293,0.082,41.000,146.000
2,predtrack,2,01,49,0.571,0.469,0.209,0.093,43.000,97.000
3,predtrack,2,11,31,0.677,0.581,0.190,0.014,21.000,294.000
4,predtrack,2,aa,118,0.661,0.585,0.216,0.048,134.000,604.000
0,predtrack,5,00,13,0.800,0.769,0.200,0.057,25.000,88.000
1,predtrack,5,10,2,0.500,0.000,0.000,0.000,27.000,34.000
2,predtrack,5,01,54,0.433,0.222,0.077,0.031,78.000,196.000
3,predtrack,5,11,46,0.422,0.326,0.071,0.014,140.000,724.000
4,predtrack,5,aa,115,0.471,0.322,0.078,0.020,270.000,1042.000
0,predtrack,10,00,2,1.000,1.000,0.000,0.000,2.000,7.000
1,predtrack,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,predtrack,10,01,51,0.431,0.196,0.000,0.000,96.000,209.000
3,predtrack,10,11,57,0.391,0.228,0.065,0.027,293.000,707.000
4,predtrack,10,aa,110,0.421,0.227,0.049,0.021,391.000,923.000
0,predpit,2,00,27,0.741,0.704,0.276,0.020,29.000,395.000
1,predpit,2,10,11,0.773,0.727,0.293,0.069,41.000,175.000
2,predpit,2,01,49,0.571,0.449,0.372,0.147,43.000,109.000
3,predpit,2,11,31,0.726,0.645,0.190,0.025,21.000,158.000
4,predpit,2,aa,118,0.669,0.585,0.299,0.048,134.000,837.000
0,predpit,5,00,13,0.600,0.538,0.280,0.015,25.000,452.000
1,predpit,5,10,2,0.600,0.500,0.074,0.040,27.000,50.000
2,predpit,5,01,54,0.426,0.241,0.154,0.031,78.000,391.000
3,predpit,5,11,46,0.530,0.435,0.100,0.028,140.000,504.000
4,predpit,5,aa,115,0.490,0.357,0.130,0.025,270.000,1397.000
0,predpit,10,00,2,1.000,1.000,0.000,0.000,2.000,8.000
1,predpit,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,predpit,10,01,51,0.388,0.196,0.062,0.010,96.000,585.000
3,predpit,10,11,57,0.396,0.211,0.078,0.030,293.000,757.000
4,predpit,10,aa,110,0.404,0.218,0.074,0.021,391.000,1350.000
0,curtrack,2,00,27,0.796,0.741,0.241,0.041,29.000,169.000
1,curtrack,2,10,11,0.545,0.545,0.341,0.071,41.000,197.000
2,curtrack,2,01,49,0.582,0.469,0.419,0.222,43.000,81.000
3,curtrack,2,11,31,0.661,0.516,0.048,0.003,21.000,379.000
4,curtrack,2,aa,118,0.648,0.551,0.299,0.048,134.000,826.000
0,curtrack,5,00,13,0.785,0.692,0.200,0.036,25.000,138.000
1,curtrack,5,10,2,0.100,0.000,0.037,0.007,27.000,141.000
2,curtrack,5,01,54,0.441,0.222,0.141,0.055,78.000,200.000
3,curtrack,5,11,46,0.400,0.261,0.100,0.016,140.000,866.000
4,curtrack,5,aa,115,0.457,0.287,0.115,0.023,270.000,1345.000
0,curtrack,10,00,2,1.000,1.000,0.000,0.000,2.000,7.000
1,curtrack,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,curtrack,10,01,51,0.418,0.216,0.052,0.019,96.000,257.000
3,curtrack,10,11,57,0.347,0.140,0.055,0.015,293.000,1069.000
4,curtrack,10,aa,110,0.392,0.191,0.054,0.016,391.000,1333.000
0,zerotrack,2,00,27,0.815,0.778,0.138,0.057,29.000,70.000
1,zerotrack,2,10,11,0.636,0.636,0.293,0.094,41.000,128.000
2,zerotrack,2,01,49,0.582,0.469,0.395,0.218,43.000,78.000
3,zerotrack,2,11,31,0.694,0.613,0.095,0.010,21.000,199.000
4,zerotrack,2,aa,118,0.669,0.593,0.261,0.074,134.000,475.000
0,zerotrack,5,00,13,0.846,0.769,0.160,0.048,25.000,84.000
1,zerotrack,5,10,2,0.100,0.000,0.037,0.024,27.000,41.000
2,zerotrack,5,01,54,0.433,0.241,0.115,0.048,78.000,187.000
3,zerotrack,5,11,46,0.474,0.413,0.093,0.029,140.000,445.000
4,zerotrack,5,aa,115,0.490,0.365,0.100,0.036,270.000,757.000
0,zerotrack,10,00,2,1.000,1.000,0.000,0.000,2.000,11.000
1,zerotrack,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,zerotrack,10,01,51,0.453,0.216,0.042,0.018,96.000,217.000
3,zerotrack,10,11,57,0.393,0.211,0.075,0.042,293.000,523.000
4,zerotrack,10,aa,110,0.432,0.227,0.066,0.035,391.000,751.000
0,deepAR,2,00,27,0.685,0.630,0.207,0.022,29.000,268.000
1,deepAR,2,10,11,0.591,0.545,0.244,0.038,41.000,261.000
2,deepAR,2,01,49,0.429,0.306,0.233,0.033,43.000,302.000
3,deepAR,2,11,31,0.387,0.258,0.000,0.000,21.000,452.000
4,deepAR,2,aa,118,0.492,0.390,0.194,0.020,134.000,1283.000
0,deepAR,5,00,13,0.523,0.077,0.160,0.012,25.000,323.000
1,deepAR,5,10,2,0.300,0.000,0.074,0.018,27.000,109.000
2,deepAR,5,01,54,0.304,0.167,0.141,0.016,78.000,686.000
3,deepAR,5,11,46,0.396,0.326,0.071,0.010,140.000,1025.000
4,deepAR,5,aa,115,0.365,0.217,0.100,0.013,270.000,2143.000
0,deepAR,10,00,2,0.700,0.500,0.500,0.013,2.000,76.000
1,deepAR,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,deepAR,10,01,51,0.284,0.039,0.052,0.007,96.000,731.000
3,deepAR,10,11,57,0.258,0.105,0.068,0.016,293.000,1237.000
4,deepAR,10,aa,110,0.278,0.082,0.066,0.013,391.000,2044.000
0,naive,2,00,27,0.833,0.815,0.448,0.057,29.000,230.000
1,naive,2,10,11,0.636,0.636,0.439,0.075,41.000,239.000
2,naive,2,01,49,0.592,0.510,0.395,0.060,43.000,281.000
3,naive,2,11,31,0.565,0.452,0.190,0.010,21.000,388.000
4,naive,2,aa,118,0.644,0.576,0.388,0.046,134.000,1138.000
0,naive,5,00,13,0.815,0.769,0.480,0.042,25.000,289.000
1,naive,5,10,2,0.200,0.000,0.111,0.031,27.000,96.000
2,naive,5,01,54,0.474,0.296,0.154,0.030,78.000,398.000
3,naive,5,11,46,0.439,0.304,0.129,0.022,140.000,827.000
4,naive,5,aa,115,0.494,0.348,0.167,0.028,270.000,1610.000
0,naive,10,00,2,0.850,0.500,1.000,0.050,2.000,40.000
1,naive,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,naive,10,01,51,0.445,0.255,0.094,0.016,96.000,556.000
3,naive,10,11,57,0.307,0.140,0.075,0.020,293.000,1075.000
