,testid,plen,type,reccnt,top1acc,top1acc_farmost,ot_recall,ot_precision,tau,rmse
0,fulloracle,2,00,27,0.796,0.778,0.455,0.233,44.000,86.000
1,fulloracle,2,10,11,0.455,0.455,0.356,0.057,45.000,282.000
2,fulloracle,2,01,49,0.949,0.939,0.814,0.757,1028.000,1105.000
3,fulloracle,2,11,31,0.823,0.774,0.504,0.221,228.000,521.000
4,fulloracle,2,aa,118,0.835,0.814,0.735,0.495,1345.000,1994.000
0,fulloracle,5,00,13,0.815,0.769,0.294,0.114,34.000,88.000
1,fulloracle,5,10,2,0.300,0.000,0.000,0.000,28.000,135.000
2,fulloracle,5,01,54,0.841,0.722,0.753,0.689,2344.000,2563.000
3,fulloracle,5,11,46,0.543,0.348,0.462,0.234,912.000,1796.000
4,fulloracle,5,aa,115,0.710,0.565,0.662,0.479,3318.000,4582.000
0,fulloracle,10,00,2,0.950,0.500,0.444,0.333,9.000,12.000
1,fulloracle,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,fulloracle,10,01,51,0.820,0.647,0.678,0.629,3843.000,4142.000
3,fulloracle,10,11,57,0.526,0.281,0.430,0.300,2502.000,3589.000
4,fulloracle,10,aa,110,0.670,0.455,0.580,0.476,6354.000,7743.000
0,notracklap,2,00,27,0.815,0.778,0.273,0.132,44.000,91.000
1,notracklap,2,10,11,0.773,0.727,0.289,0.076,45.000,171.000
2,notracklap,2,01,49,0.571,0.469,0.075,0.362,1028.000,213.000
3,notracklap,2,11,31,0.758,0.677,0.083,0.157,228.000,121.000
4,notracklap,2,aa,118,0.695,0.619,0.090,0.203,1345.000,596.000
0,notracklap,5,00,13,0.785,0.692,0.265,0.074,34.000,121.000
1,notracklap,5,10,2,1.000,1.000,0.036,0.021,28.000,48.000
2,notracklap,5,01,54,0.426,0.241,0.034,0.174,2344.000,459.000
3,notracklap,5,11,46,0.565,0.413,0.054,0.088,912.000,556.000
4,notracklap,5,aa,115,0.532,0.374,0.042,0.117,3318.000,1184.000
0,notracklap,10,00,2,1.000,1.000,0.333,0.300,9.000,10.000
1,notracklap,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,notracklap,10,01,51,0.431,0.196,0.016,0.108,3843.000,586.000
3,notracklap,10,11,57,0.456,0.246,0.030,0.084,2502.000,882.000
4,notracklap,10,aa,110,0.455,0.236,0.022,0.095,6354.000,1478.000
0,laponly,2,00,27,0.815,0.778,0.432,0.146,44.000,130.000
1,laponly,2,10,11,0.773,0.727,0.311,0.077,45.000,183.000
2,laponly,2,01,49,0.918,0.878,0.817,0.755,1028.000,1113.000
3,laponly,2,11,31,0.935,0.903,0.640,0.446,228.000,327.000
4,laponly,2,aa,118,0.886,0.847,0.758,0.581,1345.000,1753.000
0,laponly,5,00,13,0.815,0.692,0.441,0.109,34.000,138.000
1,laponly,5,10,2,0.600,0.500,0.071,0.038,28.000,52.000
2,laponly,5,01,54,0.819,0.741,0.759,0.682,2344.000,2608.000
3,laponly,5,11,46,0.730,0.565,0.587,0.412,912.000,1298.000
4,laponly,5,aa,115,0.779,0.661,0.702,0.569,3318.000,4096.000
0,laponly,10,00,2,1.000,1.000,0.333,0.250,9.000,12.000
1,laponly,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,laponly,10,01,51,0.800,0.608,0.671,0.618,3843.000,4175.000
3,laponly,10,11,57,0.718,0.614,0.509,0.459,2502.000,2774.000
4,laponly,10,aa,110,0.761,0.618,0.607,0.554,6354.000,6961.000
0,trackonly,2,00,27,0.796,0.778,0.273,0.148,44.000,81.000
1,trackonly,2,10,11,0.591,0.545,0.422,0.070,45.000,271.000
2,trackonly,2,01,49,0.571,0.469,0.078,0.372,1028.000,215.000
3,trackonly,2,11,31,0.694,0.581,0.149,0.085,228.000,399.000
4,trackonly,2,aa,118,0.657,0.576,0.108,0.150,1345.000,966.000
0,trackonly,5,00,13,0.831,0.769,0.206,0.072,34.000,97.000
1,trackonly,5,10,2,0.400,0.000,0.036,0.009,28.000,108.000
2,trackonly,5,01,54,0.441,0.222,0.034,0.178,2344.000,443.000
3,trackonly,5,11,46,0.457,0.304,0.089,0.059,912.000,1363.000
4,trackonly,5,aa,115,0.490,0.313,0.051,0.084,3318.000,2011.000
0,trackonly,10,00,2,1.000,1.000,0.333,0.214,9.000,14.000
1,trackonly,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,trackonly,10,01,51,0.439,0.196,0.016,0.109,3843.000,569.000
3,trackonly,10,11,57,0.358,0.193,0.039,0.042,2502.000,2306.000
4,trackonly,10,aa,110,0.407,0.209,0.026,0.056,6354.000,2889.000
0,fullpred,2,00,27,0.704,0.667,0.409,0.068,44.000,265.000
1,fullpred,2,10,11,0.591,0.636,0.333,0.087,45.000,173.000
2,fullpred,2,01,49,0.582,0.469,0.199,0.538,1028.000,381.000
3,fullpred,2,11,31,0.629,0.516,0.193,0.102,228.000,433.000
4,fullpred,2,aa,118,0.623,0.542,0.210,0.225,1345.000,1252.000
0,fullpred,5,00,13,0.708,0.615,0.294,0.023,34.000,435.000
1,fullpred,5,10,2,0.300,0.000,0.000,0.000,28.000,44.000
2,fullpred,5,01,54,0.404,0.241,0.081,0.247,2344.000,773.000
3,fullpred,5,11,46,0.417,0.326,0.093,0.084,912.000,1016.000
4,fullpred,5,aa,115,0.442,0.313,0.086,0.126,3318.000,2268.000
0,fullpred,10,00,2,0.950,0.500,0.444,0.333,9.000,12.000
1,fullpred,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,fullpred,10,01,51,0.410,0.235,0.036,0.085,3843.000,1626.000
3,fullpred,10,11,57,0.360,0.175,0.071,0.110,2502.000,1609.000
4,fullpred,10,aa,110,0.394,0.209,0.050,0.098,6354.000,3247.000
0,predtrack,2,00,27,0.833,0.778,0.273,0.122,44.000,98.000
1,predtrack,2,10,11,0.636,0.636,0.289,0.108,45.000,120.000
2,predtrack,2,01,49,0.571,0.469,0.077,0.364,1028.000,217.000
3,predtrack,2,11,31,0.613,0.452,0.149,0.093,228.000,367.000
4,predtrack,2,aa,118,0.648,0.551,0.103,0.172,1345.000,802.000
0,predtrack,5,00,13,0.846,0.846,0.235,0.081,34.000,99.000
1,predtrack,5,10,2,0.600,0.500,0.036,0.024,28.000,41.000
2,predtrack,5,01,54,0.419,0.222,0.034,0.179,2344.000,446.000
3,predtrack,5,11,46,0.426,0.326,0.066,0.066,912.000,916.000
4,predtrack,5,aa,115,0.473,0.339,0.045,0.099,3318.000,1502.000
0,predtrack,10,00,2,1.000,1.000,0.333,0.300,9.000,10.000
1,predtrack,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,predtrack,10,01,51,0.425,0.157,0.016,0.107,3843.000,562.000
3,predtrack,10,11,57,0.393,0.211,0.029,0.064,2502.000,1122.000
4,predtrack,10,aa,110,0.419,0.200,0.021,0.080,6354.000,1694.000
0,predpit,2,00,27,0.778,0.778,0.477,0.060,44.000,352.000
1,predpit,2,10,11,0.773,0.727,0.289,0.071,45.000,184.000
2,predpit,2,01,49,0.612,0.510,0.196,0.489,1028.000,413.000
3,predpit,2,11,31,0.726,0.613,0.167,0.178,228.000,214.000
4,predpit,2,aa,118,0.695,0.619,0.204,0.236,1345.000,1163.000
0,predpit,5,00,13,0.769,0.615,0.382,0.027,34.000,478.000
1,predpit,5,10,2,0.600,0.500,0.036,0.019,28.000,53.000
2,predpit,5,01,54,0.396,0.241,0.076,0.208,2344.000,855.000
3,predpit,5,11,46,0.517,0.370,0.094,0.109,912.000,786.000
4,predpit,5,aa,115,0.490,0.339,0.084,0.128,3318.000,2172.000
0,predpit,10,00,2,1.000,1.000,0.556,0.385,9.000,13.000
1,predpit,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,predpit,10,01,51,0.408,0.216,0.037,0.085,3843.000,1700.000
3,predpit,10,11,57,0.411,0.246,0.062,0.108,2502.000,1422.000
4,predpit,10,aa,110,0.420,0.245,0.048,0.097,6354.000,3135.000
0,curtrack,2,00,27,0.796,0.741,0.432,0.095,44.000,201.000
1,curtrack,2,10,11,0.545,0.545,0.356,0.059,45.000,270.000
2,curtrack,2,01,49,0.582,0.469,0.188,0.596,1028.000,324.000
3,curtrack,2,11,31,0.581,0.452,0.171,0.080,228.000,487.000
4,curtrack,2,aa,118,0.627,0.534,0.199,0.208,1345.000,1282.000
0,curtrack,5,00,13,0.785,0.692,0.324,0.070,34.000,158.000
1,curtrack,5,10,2,0.100,0.000,0.000,0.000,28.000,163.000
2,curtrack,5,01,54,0.422,0.241,0.073,0.308,2344.000,555.000
