,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,27,0.926,0.926,0.993,0.985,0.965,1.381
1,fulloracle,2,10,11,0.909,0.818,0.955,0.945,0.945,1.975
2,fulloracle,2,01,49,0.653,0.551,0.806,0.751,0.818,14.433
3,fulloracle,2,11,31,1.000,1.000,0.945,0.935,0.922,5.041
4,fulloracle,2,aa,118,0.831,0.780,0.899,0.871,0.891,7.818
0,notracklap,2,00,27,0.907,0.926,0.989,0.985,0.964,1.533
1,notracklap,2,10,11,0.955,0.909,0.955,0.945,0.948,1.861
2,notracklap,2,01,49,0.571,0.449,0.773,0.710,0.809,16.135
3,notracklap,2,11,31,0.806,0.774,0.913,0.884,0.916,6.162
4,notracklap,2,aa,118,0.746,0.686,0.876,0.841,0.885,8.843
0,laponly,2,00,27,0.926,0.926,0.993,0.985,0.968,1.089
1,laponly,2,10,11,0.955,0.909,0.955,0.945,0.941,2.337
2,laponly,2,01,49,0.663,0.592,0.806,0.751,0.819,14.367
3,laponly,2,11,31,0.984,0.968,0.945,0.935,0.923,4.831
4,laponly,2,aa,118,0.835,0.797,0.899,0.871,0.892,7.702
0,trackonly,2,00,27,0.926,0.926,0.989,0.978,0.967,1.197
1,trackonly,2,10,11,0.955,0.909,0.955,0.945,0.947,1.889
2,trackonly,2,01,49,0.551,0.429,0.771,0.706,0.807,16.279
3,trackonly,2,11,31,0.790,0.742,0.913,0.884,0.917,6.068
4,trackonly,2,aa,118,0.737,0.669,0.875,0.837,0.885,8.804
0,fullpred,2,00,27,0.926,0.926,0.981,0.963,0.964,1.275
1,fullpred,2,10,11,0.909,0.909,0.955,0.945,0.946,1.815
2,fullpred,2,01,49,0.551,0.429,0.767,0.706,0.801,16.793
3,fullpred,2,11,31,0.774,0.710,0.923,0.890,0.913,6.271
4,fullpred,2,aa,118,0.729,0.661,0.875,0.836,0.881,9.082
0,predtrack,2,00,27,0.926,0.926,0.993,0.985,0.966,1.193
1,predtrack,2,10,11,0.955,0.909,0.955,0.945,0.946,1.927
2,predtrack,2,01,49,0.582,0.469,0.771,0.706,0.808,16.155
3,predtrack,2,11,31,0.790,0.742,0.913,0.884,0.916,6.114
4,predtrack,2,aa,118,0.750,0.686,0.876,0.839,0.885,8.767
0,predpit,2,00,27,0.926,0.926,0.993,0.985,0.962,1.389
1,predpit,2,10,11,0.909,0.909,0.955,0.945,0.950,1.664
2,predpit,2,01,49,0.571,0.469,0.773,0.706,0.800,16.835
3,predpit,2,11,31,0.774,0.710,0.923,0.897,0.915,6.160
4,predpit,2,aa,118,0.737,0.678,0.880,0.842,0.881,9.082
0,curtrack,2,00,27,0.926,0.926,0.993,0.985,0.967,1.170
1,curtrack,2,10,11,0.909,0.818,0.955,0.945,0.947,1.836
2,curtrack,2,01,49,0.571,0.469,0.776,0.710,0.804,16.342
3,curtrack,2,11,31,0.790,0.742,0.916,0.890,0.915,6.166
4,curtrack,2,aa,118,0.742,0.678,0.879,0.842,0.884,8.845
0,zerotrack,2,00,27,0.926,0.926,0.993,0.985,0.967,1.172
1,zerotrack,2,10,11,0.955,0.909,0.955,0.945,0.946,1.888
2,zerotrack,2,01,49,0.561,0.449,0.771,0.706,0.804,16.484
3,zerotrack,2,11,31,0.790,0.742,0.919,0.890,0.917,6.030
4,zerotrack,2,aa,118,0.742,0.678,0.878,0.841,0.884,8.873
0,baseline,2,00,27,0.926,0.926,0.993,0.985,0.958,1.604
1,baseline,2,10,11,0.955,0.909,0.955,0.945,0.944,2.092
2,baseline,2,01,49,0.551,0.429,0.761,0.690,0.793,17.354
3,baseline,2,11,31,0.758,0.677,0.913,0.884,0.905,6.748
4,baseline,2,aa,118,0.729,0.653,0.872,0.832,0.874,9.541
0,baseline,2,00,27,0.926,0.926,0.993,0.985,0.978,0.798
1,baseline,2,10,11,0.955,0.909,0.955,0.945,0.957,1.491
2,baseline,2,01,49,0.582,0.469,0.780,0.718,0.824,15.229
3,baseline,2,11,31,0.774,0.710,0.916,0.890,0.927,5.731
4,baseline,2,aa,118,0.746,0.678,0.881,0.846,0.899,8.151
