,model,prediction_length,halfmode,datamode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse,top1acc_std,top1acc_farmost_std,top5acc_std,top5acc_farmost_std,tau_std,rmse_std
0,oracle,2,0,"MODE_ORACLE,",2018,0.826,0.780,0.893,0.858,0.883,8.283,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE,",2018,0.711,0.600,0.811,0.701,0.802,16.000,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE,",2018,0.704,0.564,0.761,0.615,0.721,22.620,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_TRACKONLY,MODE_ORACLE_LAPONLY,",2018,0.729,0.661,0.877,0.842,0.881,8.937,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_TRACKONLY,MODE_ORACLE_LAPONLY,",2018,0.617,0.496,0.781,0.656,0.787,18.071,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE_TRACKONLY,MODE_ORACLE_LAPONLY,",2018,0.535,0.345,0.677,0.485,0.680,29.044,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_LAPONLY,",2018,0.822,0.771,0.892,0.856,0.884,8.228,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_LAPONLY,",2018,0.713,0.617,0.817,0.711,0.803,15.796,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE_LAPONLY,",2018,0.700,0.573,0.762,0.604,0.722,22.423,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_TRACKONLY,",2018,0.733,0.669,0.876,0.839,0.881,8.966,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_TRACKONLY,",2018,0.616,0.496,0.782,0.659,0.788,18.062,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE_TRACKONLY,",2018,0.532,0.355,0.676,0.484,0.680,29.049,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_PREDTRACK,MODE_PREDPIT,",2018,0.742,0.678,0.881,0.842,0.876,9.258,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_PREDTRACK,MODE_PREDPIT,",2018,0.612,0.487,0.776,0.654,0.784,18.432,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_PREDTRACK,MODE_PREDPIT,",2018,0.525,0.364,0.671,0.489,0.677,29.019,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_TRACKONLY,MODE_PREDTRACK,",2018,0.729,0.661,0.875,0.839,0.881,8.949,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_TRACKONLY,MODE_PREDTRACK,",2018,0.602,0.461,0.782,0.659,0.788,18.043,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE_TRACKONLY,MODE_PREDTRACK,",2018,0.526,0.355,0.677,0.484,0.680,29.054,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_LAPONLY,MODE_PREDPIT,",2018,0.750,0.686,0.877,0.841,0.875,9.230,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_LAPONLY,MODE_PREDPIT,",2018,0.605,0.470,0.775,0.656,0.783,18.547,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE_LAPONLY,MODE_PREDPIT,",2018,0.525,0.345,0.669,0.482,0.676,29.055,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_TESTCURTRACK,",2018,0.725,0.653,0.877,0.842,0.876,9.163,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_TESTCURTRACK,",2018,0.610,0.487,0.778,0.650,0.785,18.494,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_TESTCURTRACK,",2018,0.534,0.373,0.675,0.484,0.678,29.166,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_TESTZERO,",2018,0.733,0.661,0.879,0.842,0.875,9.294,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_TESTZERO,",2018,0.612,0.496,0.777,0.656,0.784,18.538,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_TESTZERO,",2018,0.527,0.336,0.676,0.485,0.678,29.170,0.000,0.000,0.000,0.000,0.000,0.000
0,deepAR,2,0,"MODE_ORACLE,",2018,0.742,0.669,0.873,0.836,0.874,9.499,0.000,0.000,0.000,0.000,0.000,0.000
1,deepAR,5,0,"MODE_ORACLE,",2018,0.626,0.522,0.770,0.645,0.775,19.077,0.000,0.000,0.000,0.000,0.000,0.000
2,deepAR,10,0,"MODE_ORACLE,",2018,0.533,0.345,0.678,0.485,0.675,29.106,0.000,0.000,0.000,0.000,0.000,0.000
0,naive,2,0,"MODE_ORACLE,",2018,0.746,0.678,0.881,0.846,0.899,8.151,0.000,0.000,0.000,0.000,0.000,0.000
1,naive,5,0,"MODE_ORACLE,",2018,0.628,0.513,0.788,0.670,0.802,17.322,0.000,0.000,0.000,0.000,0.000,0.000
2,naive,10,0,"MODE_ORACLE,",2018,0.528,0.327,0.675,0.478,0.683,29.006,0.000,0.000,0.000,0.000,0.000,0.000
0,zero,2,0,"MODE_ORACLE,",2018,0.017,0.017,0.114,0.114,-0.011,120.990,0.000,0.000,0.000,0.000,0.000,0.000
1,zero,5,0,"MODE_ORACLE,",2018,0.017,0.017,0.117,0.117,-0.006,119.745,0.000,0.000,0.000,0.000,0.000,0.000
2,zero,10,0,"MODE_ORACLE,",2018,0.025,0.018,0.118,0.122,0.000,117.752,0.000,0.000,0.000,0.000,0.000,0.000
