,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,27,0.926,0.926,0.989,0.978,0.957,1.633
1,fulloracle,2,10,11,0.909,0.909,0.955,0.945,0.938,2.203
2,fulloracle,2,01,49,0.653,0.551,0.800,0.739,0.807,15.307
3,fulloracle,2,11,31,0.984,0.968,0.935,0.910,0.919,5.131
4,fulloracle,2,aa,118,0.826,0.780,0.893,0.858,0.883,8.283
0,fulloracle,5,00,13,1.000,1.000,1.000,1.000,0.953,2.314
1,fulloracle,5,10,2,1.000,1.000,0.860,0.800,0.918,2.085
2,fulloracle,5,01,54,0.556,0.352,0.725,0.548,0.715,25.355
3,fulloracle,5,11,46,0.800,0.761,0.856,0.791,0.856,9.490
4,fulloracle,5,aa,115,0.711,0.600,0.811,0.701,0.802,16.000
0,fulloracle,10,00,2,1.000,1.000,1.000,1.000,0.936,4.229
1,fulloracle,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,fulloracle,10,01,51,0.657,0.431,0.739,0.502,0.659,32.249
3,fulloracle,10,11,57,0.735,0.667,0.772,0.702,0.769,14.651
4,fulloracle,10,aa,110,0.704,0.564,0.761,0.615,0.721,22.620
0,notracklap,2,00,27,0.926,0.926,0.993,0.985,0.960,1.369
1,notracklap,2,10,11,0.864,0.818,0.955,0.945,0.942,2.044
2,notracklap,2,01,49,0.561,0.449,0.773,0.710,0.804,16.428
3,notracklap,2,11,31,0.774,0.710,0.913,0.890,0.914,6.132
4,notracklap,2,aa,118,0.729,0.661,0.877,0.842,0.881,8.937
0,notracklap,5,00,13,1.000,1.000,1.000,1.000,0.951,2.409
1,notracklap,5,10,2,1.000,1.000,0.860,0.800,0.907,2.554
2,notracklap,5,01,54,0.489,0.315,0.691,0.504,0.702,27.516
3,notracklap,5,11,46,0.643,0.543,0.820,0.730,0.836,12.085
4,notracklap,5,aa,115,0.617,0.496,0.781,0.656,0.787,18.071
0,notracklap,10,00,2,1.000,1.000,1.000,1.000,0.934,4.796
1,notracklap,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,notracklap,10,01,51,0.500,0.216,0.645,0.353,0.613,40.315
3,notracklap,10,11,57,0.549,0.439,0.694,0.586,0.731,19.811
4,notracklap,10,aa,110,0.535,0.345,0.677,0.485,0.680,29.044
0,laponly,2,00,27,0.926,0.926,0.993,0.985,0.958,1.540
1,laponly,2,10,11,0.909,0.909,0.955,0.945,0.938,2.157
2,laponly,2,01,49,0.684,0.571,0.798,0.731,0.809,15.252
3,laponly,2,11,31,0.919,0.903,0.929,0.910,0.919,5.107
4,laponly,2,aa,118,0.822,0.771,0.892,0.856,0.884,8.228
0,laponly,5,00,13,1.000,1.000,1.000,1.000,0.953,2.310
1,laponly,5,10,2,1.000,1.000,0.860,0.800,0.917,2.092
2,laponly,5,01,54,0.570,0.389,0.731,0.559,0.715,25.307
3,laponly,5,11,46,0.787,0.761,0.865,0.804,0.857,9.038
4,laponly,5,aa,115,0.713,0.617,0.817,0.711,0.803,15.796
0,laponly,10,00,2,1.000,1.000,1.000,1.000,0.938,3.536
1,laponly,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,laponly,10,01,51,0.659,0.431,0.732,0.478,0.657,32.550
3,laponly,10,11,57,0.726,0.684,0.781,0.702,0.773,14.024
4,laponly,10,aa,110,0.700,0.573,0.762,0.604,0.722,22.423
0,trackonly,2,00,27,0.926,0.926,0.989,0.978,0.961,1.387
1,trackonly,2,10,11,0.864,0.818,0.955,0.945,0.938,2.243
2,trackonly,2,01,49,0.571,0.469,0.773,0.710,0.804,16.433
3,trackonly,2,11,31,0.774,0.710,0.913,0.884,0.914,6.148
4,trackonly,2,aa,118,0.733,0.669,0.876,0.839,0.881,8.966
0,trackonly,5,00,13,1.000,1.000,1.000,1.000,0.953,2.203
1,trackonly,5,10,2,1.000,1.000,0.860,0.800,0.910,2.423
2,trackonly,5,01,54,0.489,0.315,0.690,0.500,0.701,27.654
3,trackonly,5,11,46,0.639,0.543,0.826,0.743,0.839,11.963
4,trackonly,5,aa,115,0.616,0.496,0.782,0.659,0.788,18.062
0,trackonly,10,00,2,1.000,1.000,1.000,1.000,0.937,4.739
1,trackonly,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,trackonly,10,01,51,0.506,0.235,0.645,0.353,0.613,40.270
3,trackonly,10,11,57,0.539,0.439,0.693,0.582,0.731,19.861
4,trackonly,10,aa,110,0.532,0.355,0.676,0.484,0.680,29.049
0,fullpred,2,00,27,0.926,0.926,0.993,0.985,0.958,1.415
1,fullpred,2,10,11,0.909,0.818,0.955,0.945,0.939,2.179
2,fullpred,2,01,49,0.571,0.469,0.780,0.714,0.795,17.032
3,fullpred,2,11,31,0.790,0.742,0.916,0.884,0.909,6.312
4,fullpred,2,aa,118,0.742,0.678,0.881,0.842,0.876,9.258
0,fullpred,5,00,13,0.985,0.923,0.994,1.000,0.947,2.473
1,fullpred,5,10,2,1.000,1.000,0.860,0.800,0.911,2.331
2,fullpred,5,01,54,0.485,0.315,0.684,0.496,0.695,28.286
3,fullpred,5,11,46,0.639,0.543,0.820,0.735,0.838,12.074
4,fullpred,5,aa,115,0.612,0.487,0.776,0.654,0.784,18.432
0,fullpred,10,00,2,1.000,1.000,1.000,1.000,0.935,4.121
1,fullpred,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,fullpred,10,01,51,0.498,0.255,0.638,0.376,0.608,40.456
3,fullpred,10,11,57,0.532,0.439,0.689,0.572,0.730,19.659
4,fullpred,10,aa,110,0.525,0.364,0.671,0.489,0.677,29.019
0,predtrack,2,00,27,0.926,0.926,0.993,0.985,0.961,1.329
1,predtrack,2,10,11,0.909,0.909,0.955,0.945,0.938,2.251
2,predtrack,2,01,49,0.561,0.449,0.771,0.706,0.804,16.388
3,predtrack,2,11,31,0.758,0.677,0.906,0.884,0.912,6.204
4,predtrack,2,aa,118,0.729,0.661,0.875,0.839,0.881,8.949
0,predtrack,5,00,13,1.000,1.000,1.000,1.000,0.952,2.290
1,predtrack,5,10,2,1.000,1.000,0.860,0.800,0.914,2.169
2,predtrack,5,01,54,0.493,0.315,0.690,0.500,0.701,27.623
3,predtrack,5,11,46,0.600,0.457,0.824,0.743,0.838,11.938
4,predtrack,5,aa,115,0.602,0.461,0.782,0.659,0.788,18.043
0,predtrack,10,00,2,1.000,1.000,1.000,1.000,0.933,4.779
1,predtrack,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,predtrack,10,01,51,0.496,0.216,0.645,0.353,0.613,40.280
3,predtrack,10,11,57,0.537,0.456,0.694,0.582,0.730,19.861
4,predtrack,10,aa,110,0.526,0.355,0.677,0.484,0.680,29.054
0,predpit,2,00,27,0.926,0.926,0.993,0.985,0.956,1.509
1,predpit,2,10,11,0.955,0.909,0.955,0.945,0.942,1.943
2,predpit,2,01,49,0.561,0.449,0.773,0.710,0.795,16.956
3,predpit,2,11,31,0.823,0.774,0.913,0.884,0.908,6.329
4,predpit,2,aa,118,0.750,0.686,0.877,0.841,0.875,9.230
0,predpit,5,00,13,0.969,0.923,0.982,0.985,0.948,2.413
1,predpit,5,10,2,1.000,1.000,0.860,0.800,0.913,2.277
2,predpit,5,01,54,0.485,0.296,0.684,0.500,0.694,28.518
3,predpit,5,11,46,0.626,0.522,0.818,0.739,0.837,12.110
4,predpit,5,aa,115,0.605,0.470,0.775,0.656,0.783,18.547
0,predpit,10,00,2,1.000,1.000,1.000,1.000,0.935,4.229
1,predpit,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,predpit,10,01,51,0.502,0.255,0.638,0.365,0.607,40.488
3,predpit,10,11,57,0.528,0.404,0.685,0.568,0.729,19.697
4,predpit,10,aa,110,0.525,0.345,0.669,0.482,0.676,29.055
0,curtrack,2,00,27,0.926,0.926,0.993,0.985,0.956,1.551
1,curtrack,2,10,11,0.818,0.727,0.955,0.945,0.938,2.050
2,curtrack,2,01,49,0.561,0.449,0.773,0.710,0.797,16.766
3,curtrack,2,11,31,0.774,0.710,0.913,0.890,0.911,6.301
4,curtrack,2,aa,118,0.725,0.653,0.877,0.842,0.876,9.163
0,curtrack,5,00,13,0.985,0.923,0.997,0.985,0.952,2.483
1,curtrack,5,10,2,1.000,1.000,0.860,0.800,0.924,1.854
2,curtrack,5,01,54,0.489,0.315,0.687,0.496,0.695,28.404
3,curtrack,5,11,46,0.630,0.543,0.819,0.730,0.838,12.108
4,curtrack,5,aa,115,0.610,0.487,0.778,0.650,0.785,18.494
0,curtrack,10,00,2,0.950,1.000,1.000,1.000,0.936,3.979
1,curtrack,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,curtrack,10,01,51,0.498,0.235,0.645,0.353,0.610,40.661
3,curtrack,10,11,57,0.551,0.474,0.691,0.582,0.730,19.765
4,curtrack,10,aa,110,0.534,0.373,0.675,0.484,0.678,29.166
0,zerotrack,2,00,27,0.926,0.926,0.993,0.985,0.957,1.485
1,zerotrack,2,10,11,0.909,0.818,0.955,0.945,0.937,2.171
2,zerotrack,2,01,49,0.561,0.449,0.776,0.710,0.796,16.992
3,zerotrack,2,11,31,0.774,0.710,0.916,0.890,0.907,6.454
4,zerotrack,2,aa,118,0.733,0.661,0.879,0.842,0.875,9.294
0,zerotrack,5,00,13,1.000,1.000,1.000,1.000,0.954,2.292
1,zerotrack,5,10,2,1.000,1.000,0.860,0.800,0.920,2.023
2,zerotrack,5,01,54,0.489,0.315,0.684,0.500,0.693,28.552
3,zerotrack,5,11,46,0.630,0.543,0.819,0.735,0.837,12.092
4,zerotrack,5,aa,115,0.612,0.496,0.777,0.656,0.784,18.538
0,zerotrack,10,00,2,1.000,1.000,1.000,1.000,0.935,4.079
1,zerotrack,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,zerotrack,10,01,51,0.494,0.196,0.644,0.353,0.610,40.720
3,zerotrack,10,11,57,0.540,0.439,0.693,0.586,0.730,19.716
4,zerotrack,10,aa,110,0.527,0.336,0.676,0.485,0.678,29.170
0,deepAR,2,00,27,0.926,0.926,0.989,0.978,0.957,1.664
1,deepAR,2,10,11,0.955,0.909,0.955,0.945,0.941,2.310
2,deepAR,2,01,49,0.571,0.449,0.765,0.702,0.794,17.253
3,deepAR,2,11,31,0.774,0.710,0.913,0.884,0.906,6.618
4,deepAR,2,aa,118,0.742,0.669,0.873,0.836,0.874,9.499
0,deepAR,5,00,13,1.000,1.000,0.991,0.985,0.934,3.478
1,deepAR,5,10,2,1.000,1.000,0.860,0.800,0.898,3.069
2,deepAR,5,01,54,0.507,0.333,0.678,0.489,0.685,29.030
3,deepAR,5,11,46,0.643,0.587,0.812,0.726,0.830,12.497
4,deepAR,5,aa,115,0.626,0.522,0.770,0.645,0.775,19.077
0,deepAR,10,00,2,1.000,1.000,0.990,1.000,0.905,6.596
1,deepAR,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,deepAR,10,01,51,0.533,0.235,0.654,0.369,0.608,40.245
3,deepAR,10,11,57,0.516,0.421,0.688,0.572,0.726,19.929
4,deepAR,10,aa,110,0.533,0.345,0.678,0.485,0.675,29.106
0,naive,2,00,27,0.926,0.926,0.993,0.985,0.978,0.798
1,naive,2,10,11,0.955,0.909,0.955,0.945,0.957,1.491
2,naive,2,01,49,0.582,0.469,0.780,0.718,0.824,15.229
3,naive,2,11,31,0.774,0.710,0.916,0.890,0.927,5.731
4,naive,2,aa,118,0.746,0.678,0.881,0.846,0.899,8.151
0,naive,5,00,13,1.000,1.000,1.000,1.000,0.966,1.673
1,naive,5,10,2,1.000,1.000,0.860,0.800,0.927,1.800
2,naive,5,01,54,0.496,0.315,0.702,0.522,0.715,26.597
3,naive,5,11,46,0.661,0.587,0.825,0.743,0.851,11.531
4,naive,5,aa,115,0.628,0.513,0.788,0.670,0.802,17.322
0,naive,10,00,2,1.000,1.000,1.000,1.000,0.950,4.421
1,naive,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,naive,10,01,51,0.494,0.196,0.646,0.353,0.619,39.859
3,naive,10,11,57,0.542,0.421,0.690,0.572,0.732,20.158
4,naive,10,aa,110,0.528,0.327,0.675,0.478,0.683,29.006
0,zero,2,00,27,0.000,0.000,0.044,0.044,-0.083,135.519
1,zero,2,10,11,0.000,0.000,0.182,0.182,0.071,94.805
2,zero,2,01,49,0.000,0.000,0.129,0.131,-0.013,127.254
3,zero,2,11,31,0.065,0.065,0.126,0.123,0.024,107.727
4,zero,2,aa,118,0.017,0.017,0.114,0.114,-0.011,120.990
0,zero,5,00,13,0.000,0.000,0.000,0.000,-0.106,147.041
1,zero,5,10,2,0.000,0.000,0.000,0.000,-0.027,115.546
2,zero,5,01,54,0.000,0.000,0.110,0.122,-0.023,129.063
3,zero,5,11,46,0.043,0.043,0.163,0.148,0.042,101.276
4,zero,5,aa,115,0.017,0.017,0.117,0.117,-0.006,119.745
0,zero,10,00,2,0.000,0.000,0.000,0.000,-0.106,148.696
1,zero,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,zero,10,01,51,0.000,0.000,0.084,0.129,-0.046,138.036
3,zero,10,11,57,0.047,0.035,0.153,0.119,0.045,98.517
4,zero,10,aa,110,0.025,0.018,0.118,0.122,0.000,117.752
