,target,eventid,car_number,stageid,firststage,pit_in_caution,start_position,start_rank,start_rank_ratio,top_pack,bottom_pack,average_rank,average_rank_all,change_in_rank,change_in_rank_all,rate_of_change,rate_of_change_all,laptime_green_mean_prev,laptime_green_std_prev,laptime_green_mean_all,laptime_green_std_all,laptime_mean_prev,laptime_std_prev,laptime_mean_all,laptime_std_all,laps_prev,laps_after_last_pitstop,pittime_prev,prev_nb0_change_in_rank,prev_nb1_change_in_rank,prev_nb2_change_in_rank,follow_nb0_change_in_rank,follow_nb1_change_in_rank,follow_nb2_change_in_rank
0,-4,0,1,0,0,0,7,7,0.21212121212121213,0,0,7.0,7.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
1,0,0,1,1,1,0,7,3,0.09090909090909091,1,0,7.413793103448276,7.413793103448276,-4,-4.0,0,0.0,44.377253846153856,11.01521082480008,44.377253846153856,11.01521082480008,50.67492413793103,23.559272937520582,50.67492413793103,23.559272937520582,29,29,66.0815,2,-1,0,2,2,0
2,0,0,1,2,1,1,7,3,0.09090909090909091,1,0,4.925925925925926,6.214285714285714,0,-2.0,0,0.0,45.36823684210526,10.765100177997734,44.79566888888889,10.921281527769985,58.56171481481482,24.14731622757683,54.477483928571424,24.168071649350402,27,25,62.0677,0,-2,0,0,4,0
3,0,0,1,3,1,0,7,3,0.09090909090909091,1,0,2.5625,4.886363636363637,0,-1.3333333333333333,0,2.0,42.62070714285714,7.758052969101045,43.961436986301365,9.885816167822183,47.70461875,16.88166144034773,52.014623863636366,22.044162527438758,32,30,91.23935,-3,-8,0,-8,3,0
4,-1,0,1,4,1,0,7,3,0.09090909090909091,1,0,3.96875,4.641666666666667,0,-1.0,0,1.3333333333333333,42.5061625,5.211871475280617,43.517924761904766,8.756274077034636,42.5061625,5.211871475280617,49.479034166666665,19.526487407862582,32,30,61.19415,-2,-1,0,0,-5,-3
5,1,0,1,5,1,0,7,2,0.06060606060606061,1,0,2.8666666666666667,4.286666666666667,-1,-1.0,-1,0.75,42.65633666666667,5.33685667938743,43.326460740740735,8.12967930395778,42.65633666666667,5.33685667938743,48.114494666666666,17.83735542122313,30,28,60.8541,-2,0,0,1,0,-3
6,0,0,1,6,1,0,7,3,0.09090909090909091,1,0,3.5172413793103448,4.162011173184357,1,-0.6666666666666666,2,1.0,42.376517241379304,5.464888632999033,43.15848292682927,7.734151636802188,42.376517241379304,5.464888632999033,47.1848782122905,16.611211503553324,29,27,60.66945,-1,1,0,-2,0,0
7,9,0,2,0,0,0,5,5,0.15151515151515152,1,0,5.0,5.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
8,10,0,2,1,1,0,5,14,0.42424242424242425,0,0,15.2,15.2,9,9.0,0,0.0,44.362014814814806,10.5698108401275,44.362014814814806,10.5698108401275,50.58416666666666,23.503941741508427,50.58416666666666,23.503941741508427,30,30,67.40105,0,-10,-12,6,1,-6
9,-12,0,2,2,1,1,5,24,0.7272727272727273,0,0,19.428571428571427,16.0,10,9.5,0,0.0,51.777875,12.143163567698288,45.31889999999999,11.068533487061128,58.80282857142857,18.30089588889917,52.13904864864865,22.839563429675575,7,5,62.5415,-12,-11,-10,1,0,17
10,-8,0,2,3,1,1,5,12,0.36363636363636365,0,0,18.42105263157895,16.821428571428573,-12,2.3333333333333335,-22,-10.5,42.99463076923077,6.99567411810653,44.63218409090909,10.094528069182811,59.29014736842105,25.39336230124898,54.56531428571429,23.977106146134695,19,17,104.44945,1,5,8,4,2,-2
11,-3,0,2,4,1,0,5,4,0.12121212121212122,1,0,7.625,13.477272727272727,-8,-0.25,4,-5.666666666666667,42.38808571428571,6.788754328915383,43.759479166666665,9.021725495358067,47.6203625,16.680958755620697,52.039877272727274,21.867581115098044,32,30,91.059,0,-3,-8,3,0,3
12,0,0,2,5,1,0,5,1,0.030303030303030304,1,0,3.9545454545454546,11.572727272727272,-3,-0.8,5,-3.0,42.8408590909091,6.3539397636183255,43.5444829787234,8.481899578898513,42.8408590909091,6.3539397636183255,50.200073636363626,20.10390267698686,22,20,61.5085,0,0,0,-3,0,3
13,3,0,2,6,1,0,5,1,0.030303030303030304,1,0,11.774193548387096,11.617021276595745,0,-0.6666666666666666,3,-1.8,42.78654838709676,5.923993525832917,43.3565152,7.931659562256121,42.78654838709676,5.923993525832917,48.570149645390075,18.23321088888428,31,29,63.83645,0,0,0,0,-2,-1
14,3,0,2,7,1,0,5,4,0.12121212121212122,1,0,10.433333333333334,11.409356725146198,3,-0.14285714285714285,3,-1.0,42.373946666666676,5.618371969276825,43.166340645161284,7.549511189335131,42.373946666666676,5.618371969276825,47.48309649122806,16.888376235887808,30,28,61.74585,4,-2,-1,-1,-2,0
15,-4,0,3,0,0,0,8,8,0.24242424242424243,0,0,8.0,8.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
16,0,0,3,1,1,0,8,4,0.12121212121212122,1,0,6.433333333333334,6.433333333333334,-4,-4.0,0,0.0,44.289344444444446,10.673620309048303,44.289344444444446,10.673620309048303,50.363060000000004,23.171610500230667,50.363060000000004,23.171610500230667,30,30,65.13645,0,2,-4,-6,-11,-8
17,-1,0,3,2,1,1,8,4,0.12121212121212122,1,0,4.961538461538462,5.75,0,-2.0,0,0.0,45.46853333333334,10.497190371078668,44.76102,10.619125261539514,59.20050769230769,24.128549326582515,54.466160714285714,24.02840333451136,26,24,61.6129,0,0,-2,4,0,3
18,1,0,3,3,1,0,8,3,0.09090909090909091,1,0,6.911764705882353,6.188888888888889,-1,-1.6666666666666667,-1,1.5,42.41444666666666,6.782530416136902,43.82239066666667,9.347840278298488,47.35677352941177,16.539056261135492,51.78039222222222,21.782265911869313,34,32,93.0804,-5,-2,0,-6,-9,-14
19,-2,0,3,4,1,0,8,4,0.12121212121212122,1,0,5.129032258064516,5.917355371900826,1,-1.0,2,1.6666666666666667,42.561780645161285,5.406170397014959,43.45372169811322,8.408521034158605,42.561780645161285,5.406170397014959,49.418599173553716,19.405968988626153,31,29,61.4985,0,0,0,-6,-9,7
20,0,0,3,5,1,0,8,2,0.06060606060606061,1,0,4.612903225806452,5.651315789473684,-2,-1.2,-3,0.5,42.56893870967741,5.268720937190111,43.25351532846715,7.818124524461351,42.56893870967741,5.268720937190111,48.02162894736842,17.69365611255327,31,29,61.01615,0,0,0,-2,4,-1
21,4,0,3,6,1,0,8,2,0.06060606060606061,1,0,5.67741935483871,5.655737704918033,0,-1.0,2,0.8,42.26435483870968,5.367792353673343,43.070991666666664,7.436959050735153,42.26435483870968,5.367792353673343,47.046353005464475,16.41880660090104,31,29,60.96765,0,0,0,-6,0,1
22,2,0,4,0,0,0,10,10,0.30303030303030304,0,0,10.0,10.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
