,target,eventid,car_number,stageid,firststage,pit_in_caution,start_position,start_rank,start_rank_ratio,top_pack,bottom_pack,average_rank,average_rank_all,change_in_rank,change_in_rank_all,rate_of_change,rate_of_change_all,laptime_green_mean_prev,laptime_green_std_prev,laptime_green_mean_all,laptime_green_std_all,laptime_mean_prev,laptime_std_prev,laptime_mean_all,laptime_std_all,laps_prev,laps_after_last_pitstop,pittime_prev,prev_nb0_change_in_rank,prev_nb1_change_in_rank,prev_nb2_change_in_rank,follow_nb0_change_in_rank,follow_nb1_change_in_rank,follow_nb2_change_in_rank
0,-2,0,1,0,0,0,7,7,0.21212121212121213,0,0,7.0,7.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
1,-2,0,1,1,1,0,7,5,0.15151515151515152,1,0,7.62962962962963,7.62962962962963,-2,-2.0,0,0.0,44.642341666666674,11.425065411370616,44.642341666666674,11.425065411370616,51.37705185185184,24.26941904058854,51.37705185185184,24.26941904058854,27,27,66.0815,2,2,-2,2,0,0
2,0,0,1,2,1,1,7,3,0.09090909090909091,1,0,5.037037037037037,6.333333333333333,-2,-2.0,0,0.0,45.373715789473685,10.762719848100575,44.96550697674419,11.143180224973047,58.56557037037037,24.144462942246044,54.971311111111106,24.472404771320658,27,23,62.0677,1,-2,0,-4,3,0
3,1,0,1,3,1,0,7,3,0.09090909090909091,1,0,2.5625,4.930232558139535,0,-1.3333333333333333,2,1.0,42.623557142857145,7.75771599300743,44.04192112676056,10.012273503209686,47.7071125,16.880774951937745,52.268353488372085,22.235406108986577,32,28,91.23935,-3,-8,0,-8,3,0
4,-1,0,1,4,1,0,7,4,0.12121212121212122,1,0,3.90625,4.6525423728813555,1,-0.75,1,1.0,42.425646875,5.214472486202726,43.53977766990291,8.83789607544551,42.425646875,5.214472486202726,49.599144915254236,19.668666041097016,32,28,61.19415,-3,-4,-1,0,-3,-4
5,1,0,1,5,1,0,7,3,0.09090909090909091,1,0,2.933333333333333,4.304054054054054,-1,-0.8,-2,0.25,42.74713,5.327407534949184,43.360984962406015,8.185445168942177,42.74713,5.327407534949184,48.21022297297297,17.938237126769984,30,26,60.8541,0,-1,0,-2,-3,-1
6,-1,0,1,6,1,0,7,4,0.12121212121212122,1,0,3.4827586206896552,4.169491525423729,1,-0.5,2,0.6,42.37563448275861,5.466566026516025,43.184595061728395,7.778148538113891,42.37563448275861,5.466566026516025,47.25427344632769,16.691888762463265,29,25,60.66945,-3,1,-5,-5,1,2
7,14,0,2,0,0,0,5,5,0.15151515151515152,1,0,5.0,5.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0,0,0,0,0,0
8,5,0,2,1,1,0,5,19,0.5757575757575758,0,0,14.964285714285714,14.964285714285714,14,14.0,0,0.0,44.614507999999994,10.944960393822173,44.614507999999994,10.944960393822173,51.25404642857143,24.19005416689858,51.25404642857143,24.19005416689858,28,28,67.40105,0,-11,-6,7,-6,7
9,-12,0,2,2,1,1,5,24,0.7272727272727273,0,0,17.857142857142858,15.542857142857143,5,9.5,0,0.0,48.25386666666666,11.097996150757227,45.31889999999999,11.068533487061128,47.23009999999999,10.576343111329711,50.44925714285715,22.205619252281757,7,3,62.5415,-8,-11,-6,7,0,1
