,lap_distance,start_lap,caution_distance,eventid,car_number,stageid,pit_in_caution,yellowflag_raised,start_position,start_rank,end_rank
0,32,0,1,0,1,0,0,1,7,7,15
1,28,31,2,0,1,1,1,1,7,15,3
2,33,58,1,0,1,2,0,1,7,3,17
3,33,90,1,0,1,3,0,0,7,17,10
4,31,122,1,0,1,4,0,0,7,10,15
5,30,152,1,0,1,5,0,0,7,15,12
6,33,0,1,0,2,0,0,1,5,5,13
7,8,32,6,0,2,1,1,1,5,13,24
8,20,39,2,0,2,2,1,1,5,24,11
9,33,58,1,0,2,3,0,1,5,11,18
10,23,90,1,0,2,4,0,0,5,18,25
11,32,112,1,0,2,5,0,0,5,25,24
12,31,143,1,0,2,6,0,0,5,24,20
13,33,0,1,0,3,0,0,1,8,8,7
14,27,32,2,0,3,1,1,1,8,7,4
15,35,58,1,0,3,2,0,1,8,4,2
16,32,92,1,0,3,3,0,0,8,2,7
17,32,123,1,0,3,4,0,0,8,7,7
18,32,154,1,0,3,5,0,0,8,7,4
19,31,0,1,0,5,0,0,1,4,4,23
20,29,30,2,0,5,1,1,1,4,23,6
21,34,58,1,0,5,2,0,1,4,6,11
22,32,91,1,0,5,3,0,0,4,11,11
23,32,122,1,0,5,4,0,0,4,11,12
24,29,153,1,0,5,5,0,0,4,12,15
25,32,0,1,0,6,0,0,1,27,27,22
26,33,0,1,0,7,0,0,1,15,15,17
27,27,32,2,0,7,1,1,1,15,17,23
28,35,58,1,0,7,2,0,1,15,23,9
29,30,92,1,0,7,3,0,0,15,9,19
30,32,121,1,0,7,4,0,0,15,19,16
31,33,0,1,0,8,0,0,1,23,23,15
32,27,32,2,0,8,1,1,1,23,15,19
33,33,58,1,0,8,2,0,1,23,19,24
34,32,90,1,0,8,3,0,0,23,24,20
35,32,121,1,0,8,4,0,0,23,20,17
36,31,152,1,0,8,5,0,0,23,17,11
37,33,0,1,0,9,0,0,1,16,16,11
38,27,32,2,0,9,1,1,1,16,11,12
39,34,58,1,0,9,2,0,1,16,12,12
40,33,91,1,0,9,3,0,0,16,12,8
41,34,123,1,0,9,4,0,0,16,8,2
42,28,156,1,0,9,5,0,0,16,2,7
43,33,0,1,0,10,0,0,1,17,17,9
44,27,32,2,0,10,1,1,1,17,9,14
45,35,58,1,0,10,2,0,1,17,14,5
46,33,92,1,0,10,3,0,0,17,5,5
47,33,124,1,0,10,4,0,0,17,5,5
48,33,156,1,0,10,5,0,0,17,5,2
49,30,0,1,0,11,0,0,1,12,12,26
50,30,29,2,0,11,1,1,1,12,26,5
51,33,58,1,0,11,2,0,1,12,5,16
52,32,90,1,0,11,3,0,0,12,16,14
53,33,121,1,0,11,4,0,0,12,14,9
54,26,153,1,0,11,5,0,0,12,9,15
55,34,0,1,0,12,0,0,1,6,6,5
56,26,33,2,0,12,1,1,1,6,5,8
57,32,58,1,0,12,2,0,1,6,8,23
58,33,89,1,0,12,3,0,0,6,23,17
59,34,121,1,0,12,4,0,0,6,17,8
60,32,154,1,0,12,5,0,0,6,8,5
61,12,185,3,0,12,6,1,1,6,5,13
62,32,0,1,0,14,0,0,1,18,18,21
63,29,31,3,0,14,1,1,1,18,21,27
64,33,59,1,0,14,2,0,1,18,27,13
65,26,91,1,0,14,3,0,0,18,13,23
66,31,116,1,0,14,4,0,0,18,23,23
67,30,146,1,0,14,5,0,0,18,23,19
68,6,0,2,0,15,0,1,1,26,26,29
69,34,5,4,0,15,1,1,1,26,29,17
70,21,38,2,0,15,2,1,1,26,17,21
71,33,58,1,0,15,3,0,1,26,21,23
72,32,90,1,0,15,4,0,0,26,23,18
73,32,121,1,0,15,5,0,0,26,18,18
74,20,152,1,0,15,6,0,0,26,18,23
75,6,0,2,0,16,0,1,1,20,20,28
76,34,5,4,0,16,1,1,1,20,28,14
77,21,38,2,0,16,2,1,1,20,14,22
78,34,58,1,0,16,3,0,1,20,22,26
79,5,91,1,0,16,4,0,0,20,26,27
80,26,95,1,0,16,5,0,0,20,27,27
81,32,120,1,0,16,6,0,0,20,27,26
82,30,151,1,0,16,7,0,0,20,26,23
83,32,0,1,0,18,0,0,1,29,29,28
84,10,31,7,0,18,1,1,1,29,28,28
85,19,40,2,0,18,2,1,1,29,28,26
86,34,58,1,0,18,3,0,1,29,26,19
87,31,91,1,0,18,4,0,0,29,19,21
88,32,121,1,0,18,5,0,0,29,21,19
89,32,152,1,0,18,6,0,0,29,19,9
90,33,0,1,0,19,0,0,1,14,14,14
91,27,32,2,0,19,1,1,1,14,14,18
92,34,58,1,0,19,2,0,1,14,18,22
93,31,91,1,0,19,3,0,0,14,22,22
94,33,121,1,0,19,4,0,0,14,22,14
95,31,153,1,0,19,5,0,0,14,14,8
96,31,0,1,0,20,0,0,1,1,1,22
97,29,30,2,0,20,1,1,1,1,22,1
98,33,58,1,0,20,2,0,1,1,1,20
99,32,90,1,0,20,3,0,0,1,20,15
100,33,121,1,0,20,4,0,0,1,15,10
101,26,153,1,0,20,5,0,0,1,10,17
102,28,0,1,0,21,0,0,1,25,25,32
103,11,27,4,0,21,1,1,1,25,32,29
104,21,37,2,0,21,2,1,1,25,29,28
105,11,57,1,0,21,3,0,1,25,28,29
106,30,67,1,0,21,4,0,0,25,29,29
107,30,96,1,0,21,5,0,0,25,29,29
108,29,125,1,0,21,6,0,0,25,29,29
109,19,153,1,0,21,7,0,0,25,29,29
110,32,0,1,0,22,0,0,1,13,13,20
111,28,31,2,0,22,1,1,1,13,20,13
112,33,58,1,0,22,2,0,1,13,13,22
113,32,90,1,0,22,3,0,0,13,22,16
114,33,121,1,0,22,4,0,0,13,16,11
115,29,153,1,0,22,5,0,0,13,11,13
