,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,27,0.870,0.852,0.981,0.978,0.949,1.517
1,fulloracle,2,10,11,0.864,0.909,0.927,0.891,0.873,5.023
2,fulloracle,2,01,49,0.704,0.633,0.820,0.751,0.852,9.628
3,fulloracle,2,11,31,0.806,0.710,0.910,0.884,0.890,4.927
4,fulloracle,2,aa,118,0.784,0.729,0.891,0.851,0.886,6.108
0,fulloracle,5,00,13,0.815,0.769,0.982,0.969,0.924,3.041
1,fulloracle,5,10,2,1.000,1.000,0.860,0.800,0.864,4.646
2,fulloracle,5,01,54,0.596,0.463,0.773,0.637,0.819,12.034
3,fulloracle,5,11,46,0.822,0.783,0.871,0.800,0.852,6.590
4,fulloracle,5,aa,115,0.718,0.635,0.837,0.743,0.845,8.711
0,fulloracle,10,00,2,1.000,1.000,1.000,1.000,0.950,1.575
1,fulloracle,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,fulloracle,10,01,51,0.696,0.412,0.783,0.569,0.806,12.822
3,fulloracle,10,11,57,0.656,0.474,0.764,0.677,0.791,9.262
4,fulloracle,10,aa,110,0.681,0.455,0.777,0.633,0.801,10.772
0,notracklap,2,00,27,0.870,0.852,0.978,0.963,0.959,1.254
1,notracklap,2,10,11,0.909,0.909,0.964,0.927,0.907,4.051
2,notracklap,2,01,49,0.531,0.408,0.771,0.698,0.804,15.745
3,notracklap,2,11,31,0.742,0.677,0.881,0.845,0.902,6.320
4,notracklap,2,aa,118,0.699,0.627,0.865,0.819,0.875,8.863
0,notracklap,5,00,13,0.954,0.846,0.966,0.954,0.925,3.160
1,notracklap,5,10,2,1.000,1.000,0.860,0.800,0.905,2.523
2,notracklap,5,01,54,0.463,0.278,0.676,0.493,0.700,26.594
3,notracklap,5,11,46,0.639,0.543,0.812,0.717,0.826,12.127
4,notracklap,5,aa,115,0.598,0.461,0.766,0.640,0.779,17.739
0,notracklap,10,00,2,1.000,1.000,1.000,1.000,0.915,5.068
1,notracklap,10,10,0,0.000,0.000,0.000,0.000,0.000,0.000
2,notracklap,10,01,51,0.484,0.196,0.644,0.341,0.609,38.812
3,notracklap,10,11,57,0.533,0.386,0.679,0.561,0.714,20.173
4,notracklap,10,aa,110,0.519,0.309,0.669,0.467,0.669,28.540
0,laponly,2,00,27,0.852,0.815,0.985,0.978,0.955,1.406
1,laponly,2,10,11,0.909,0.909,0.982,0.964,0.917,2.923
2,laponly,2,01,49,0.684,0.612,0.820,0.751,0.858,9.245
