,model,prediction_length,halfmode,datamode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse,top1acc_std,top1acc_farmost_std,top5acc_std,top5acc_farmost_std,tau_std,rmse_std
0,oracle,2,0,"MODE_ORACLE,",2018,0.814,0.771,0.916,0.897,0.915,5.127,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE,",2018,0.766,0.703,0.868,0.818,0.868,8.829,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE,",2018,0.664,0.535,0.828,0.741,0.812,12.762,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_TRACKONLY,MODE_ORACLE_LAPONLY,",2018,0.718,0.649,0.868,0.833,0.871,10.880,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_TRACKONLY,MODE_ORACLE_LAPONLY,",2018,0.621,0.497,0.790,0.699,0.784,19.315,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE_TRACKONLY,MODE_ORACLE_LAPONLY,",2018,0.509,0.341,0.698,0.546,0.686,28.742,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_LAPONLY,",2018,0.880,0.862,0.929,0.917,0.915,6.396,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_LAPONLY,",2018,0.819,0.751,0.899,0.879,0.885,8.832,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE_LAPONLY,",2018,0.801,0.729,0.880,0.846,0.855,9.367,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_TRACKONLY,",2018,0.707,0.622,0.871,0.835,0.870,10.065,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_TRACKONLY,",2018,0.558,0.422,0.778,0.674,0.776,18.797,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE_TRACKONLY,",2018,0.447,0.259,0.674,0.512,0.665,29.114,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_PREDTRACK,MODE_PREDPIT,",2018,0.694,0.622,0.869,0.831,0.876,9.723,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_PREDTRACK,MODE_PREDPIT,",2018,0.569,0.454,0.766,0.653,0.768,20.593,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_PREDTRACK,MODE_PREDPIT,",2018,0.425,0.265,0.646,0.467,0.646,32.974,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_TRACKONLY,MODE_PREDTRACK,",2018,0.729,0.649,0.882,0.852,0.888,8.092,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_TRACKONLY,MODE_PREDTRACK,",2018,0.602,0.497,0.799,0.706,0.799,16.772,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE_TRACKONLY,MODE_PREDTRACK,",2018,0.474,0.300,0.696,0.540,0.693,26.863,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_LAPONLY,MODE_PREDPIT,",2018,0.734,0.665,0.850,0.805,0.850,13.525,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_LAPONLY,MODE_PREDPIT,",2018,0.592,0.476,0.756,0.642,0.743,25.230,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE_LAPONLY,MODE_PREDPIT,",2018,0.471,0.300,0.644,0.468,0.635,36.015,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_TESTCURTRACK,",2018,0.697,0.622,0.861,0.809,0.871,10.420,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_TESTCURTRACK,",2018,0.565,0.443,0.758,0.643,0.762,21.484,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_TESTCURTRACK,",2018,0.420,0.218,0.650,0.467,0.659,31.517,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_TESTZERO,",2018,0.737,0.676,0.897,0.865,0.907,6.782,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_TESTZERO,",2018,0.653,0.546,0.820,0.728,0.827,14.069,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_TESTZERO,",2018,0.496,0.347,0.714,0.554,0.718,24.282,0.000,0.000,0.000,0.000,0.000,0.000
0,deepAR,2,0,"MODE_ORACLE,",2018,0.524,0.404,0.724,0.649,0.722,24.258,0.000,0.000,0.000,0.000,0.000,0.000
1,deepAR,5,0,"MODE_ORACLE,",2018,0.395,0.141,0.623,0.435,0.616,35.393,0.000,0.000,0.000,0.000,0.000,0.000
