,model,prediction_length,halfmode,datamode,trainid,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse,top1acc_std,top1acc_farmost_std,top5acc_std,top5acc_farmost_std,tau_std,rmse_std
0,oracle,2,0,"MODE_ORACLE,",2018,0.814,0.766,0.889,0.862,0.892,6.943,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE,",2018,0.711,0.584,0.795,0.698,0.797,14.928,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE,",2018,0.574,0.371,0.752,0.626,0.730,20.570,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_TRACKONLY,MODE_ORACLE_LAPONLY,",2018,0.723,0.660,0.868,0.838,0.864,11.484,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_TRACKONLY,MODE_ORACLE_LAPONLY,",2018,0.591,0.432,0.766,0.645,0.746,22.063,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE_TRACKONLY,MODE_ORACLE_LAPONLY,",2018,0.447,0.206,0.650,0.453,0.627,34.225,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_LAPONLY,",2018,0.878,0.840,0.931,0.919,0.908,7.180,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_LAPONLY,",2018,0.752,0.649,0.875,0.821,0.848,10.961,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE_LAPONLY,",2018,0.672,0.471,0.822,0.741,0.788,14.969,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_TRACKONLY,",2018,0.713,0.638,0.840,0.791,0.848,11.610,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_TRACKONLY,",2018,0.526,0.378,0.688,0.535,0.694,26.558,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE_TRACKONLY,",2018,0.395,0.176,0.596,0.393,0.577,38.855,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_PREDTRACK,MODE_PREDPIT,",2018,0.689,0.601,0.831,0.786,0.839,12.915,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_PREDTRACK,MODE_PREDPIT,",2018,0.525,0.389,0.704,0.566,0.707,26.002,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_PREDTRACK,MODE_PREDPIT,",2018,0.408,0.200,0.598,0.400,0.591,38.535,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_TRACKONLY,MODE_PREDTRACK,",2018,0.705,0.628,0.844,0.807,0.859,10.433,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_TRACKONLY,MODE_PREDTRACK,",2018,0.545,0.400,0.730,0.601,0.724,23.235,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE_TRACKONLY,MODE_PREDTRACK,",2018,0.431,0.194,0.620,0.424,0.617,34.402,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_ORACLE_LAPONLY,MODE_PREDPIT,",2018,0.718,0.638,0.861,0.820,0.851,13.422,0.000,0.000,0.000,0.000,0.000,0.000
1,oracle,5,0,"MODE_ORACLE_LAPONLY,MODE_PREDPIT,",2018,0.539,0.389,0.730,0.594,0.708,27.812,0.000,0.000,0.000,0.000,0.000,0.000
2,oracle,10,0,"MODE_ORACLE_LAPONLY,MODE_PREDPIT,",2018,0.415,0.212,0.604,0.394,0.574,42.438,0.000,0.000,0.000,0.000,0.000,0.000
0,oracle,2,0,"MODE_TESTCURTRACK,",2018,0.654,0.564,0.839,0.783,0.849,12.119,0.000,0.000,0.000,0.000,0.000,0.000
