,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,64,0.898,0.875,0.978,0.972,0.966,1.717
1,fulloracle,2,10,24,0.625,0.583,0.825,0.775,0.807,15.888
2,fulloracle,2,01,57,0.956,0.947,0.954,0.951,0.943,1.906
3,fulloracle,2,11,43,0.651,0.535,0.826,0.772,0.855,8.615
4,fulloracle,2,aa,188,0.824,0.782,0.916,0.895,0.913,5.161
0,fulloracle,5,00,40,0.930,0.900,0.979,0.970,0.963,1.604
1,fulloracle,5,10,13,0.585,0.692,0.782,0.692,0.765,21.828
2,fulloracle,5,01,65,0.917,0.862,0.940,0.920,0.925,2.628
3,fulloracle,5,11,67,0.522,0.358,0.757,0.651,0.774,15.980
4,fulloracle,5,aa,185,0.754,0.676,0.871,0.817,0.867,8.591
0,fulloracle,10,00,9,0.889,0.889,0.991,0.956,0.917,3.390
1,fulloracle,10,10,6,0.683,0.667,0.853,0.833,0.773,25.384
2,fulloracle,10,01,67,0.858,0.731,0.938,0.904,0.913,3.256
3,fulloracle,10,11,88,0.475,0.284,0.747,0.618,0.725,20.421
4,fulloracle,10,aa,170,0.655,0.506,0.839,0.756,0.811,12.929
0,notracklap,2,00,64,0.883,0.859,0.959,0.947,0.950,4.163
1,notracklap,2,10,24,0.771,0.708,0.946,0.925,0.924,4.018
2,notracklap,2,01,57,0.561,0.439,0.765,0.702,0.793,17.897
3,notracklap,2,11,43,0.663,0.605,0.895,0.865,0.902,6.256
4,notracklap,2,aa,188,0.721,0.654,0.884,0.851,0.888,8.787
0,notracklap,5,00,40,0.935,0.950,0.945,0.940,0.917,7.866
1,notracklap,5,10,13,0.631,0.538,0.880,0.846,0.861,13.134
2,notracklap,5,01,65,0.455,0.231,0.687,0.514,0.685,29.438
3,notracklap,5,11,67,0.579,0.448,0.790,0.704,0.805,14.735
4,notracklap,5,aa,185,0.616,0.486,0.794,0.698,0.791,18.303
0,notracklap,10,00,9,0.689,0.667,0.898,0.889,0.807,21.288
1,notracklap,10,10,6,0.717,0.667,1.000,1.000,0.898,4.702
2,notracklap,10,01,67,0.481,0.239,0.627,0.367,0.618,38.993
3,notracklap,10,11,88,0.433,0.318,0.724,0.616,0.739,19.371
4,notracklap,10,aa,170,0.475,0.318,0.705,0.546,0.700,26.688
0,laponly,2,00,64,0.891,0.875,0.952,0.938,0.944,5.129
1,laponly,2,10,24,0.875,0.833,0.929,0.917,0.920,5.153
2,laponly,2,01,57,0.965,0.947,0.949,0.940,0.944,1.898
3,laponly,2,11,43,0.814,0.767,0.930,0.916,0.935,2.672
4,laponly,2,aa,188,0.894,0.867,0.943,0.931,0.939,3.590
0,laponly,5,00,40,0.905,0.900,0.947,0.945,0.919,8.133
1,laponly,5,10,13,0.538,0.538,0.834,0.785,0.773,26.391
2,laponly,5,01,65,0.892,0.800,0.939,0.917,0.916,3.090
3,laponly,5,11,67,0.746,0.672,0.876,0.827,0.877,7.529
4,laponly,5,aa,185,0.817,0.757,0.911,0.881,0.893,7.425
0,laponly,10,00,9,0.689,0.667,0.889,0.889,0.810,21.979
1,laponly,10,10,6,0.817,0.833,0.983,0.967,0.884,8.944
2,laponly,10,01,67,0.881,0.731,0.927,0.872,0.899,4.235
3,laponly,10,11,88,0.732,0.693,0.873,0.848,0.861,6.973
