,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,64,0.914,0.891,0.981,0.978,0.973,1.167
1,fulloracle,2,10,24,0.625,0.583,0.842,0.817,0.829,12.995
2,fulloracle,2,01,57,0.947,0.930,0.953,0.944,0.946,1.768
3,fulloracle,2,11,43,0.593,0.488,0.812,0.758,0.836,11.080
4,fulloracle,2,aa,188,0.814,0.771,0.916,0.897,0.915,5.127
0,fulloracle,5,00,40,0.955,0.950,0.986,0.985,0.971,1.045
1,fulloracle,5,10,13,0.585,0.615,0.809,0.708,0.804,16.455
2,fulloracle,5,01,65,0.902,0.800,0.938,0.914,0.930,2.511
3,fulloracle,5,11,67,0.558,0.478,0.741,0.648,0.759,18.126
4,fulloracle,5,aa,185,0.766,0.703,0.868,0.818,0.868,8.829
0,fulloracle,10,00,9,0.900,0.889,0.967,0.956,0.907,4.317
1,fulloracle,10,10,6,0.683,0.667,0.847,0.833,0.722,35.320
2,fulloracle,10,01,67,0.854,0.716,0.929,0.893,0.911,3.365
3,fulloracle,10,11,88,0.494,0.352,0.735,0.598,0.733,19.243
4,fulloracle,10,aa,170,0.664,0.535,0.828,0.741,0.812,12.762
0,notracklap,2,00,64,0.891,0.875,0.948,0.938,0.927,7.291
1,notracklap,2,10,24,0.792,0.750,0.863,0.850,0.861,11.285
2,notracklap,2,01,57,0.561,0.439,0.768,0.705,0.795,17.796
3,notracklap,2,11,43,0.628,0.535,0.881,0.837,0.891,6.830
4,notracklap,2,aa,188,0.718,0.649,0.868,0.833,0.871,10.880
0,notracklap,5,00,40,0.910,0.900,0.945,0.945,0.913,8.515
1,notracklap,5,10,13,0.662,0.692,0.868,0.846,0.827,17.821
2,notracklap,5,01,65,0.462,0.262,0.685,0.517,0.689,29.122
3,notracklap,5,11,67,0.594,0.448,0.783,0.701,0.791,16.538
4,notracklap,5,aa,185,0.621,0.497,0.790,0.699,0.784,19.315
0,notracklap,10,00,9,0.689,0.667,0.889,0.889,0.773,27.374
1,notracklap,10,10,6,0.717,0.667,1.000,1.000,0.903,4.466
2,notracklap,10,01,67,0.473,0.224,0.625,0.364,0.616,39.219
3,notracklap,10,11,88,0.503,0.375,0.714,0.618,0.715,22.560
4,notracklap,10,aa,170,0.509,0.341,0.698,0.546,0.686,28.742
0,laponly,2,00,64,0.867,0.875,0.939,0.931,0.918,8.644
1,laponly,2,10,24,0.833,0.792,0.867,0.850,0.847,13.319
2,laponly,2,01,57,0.956,0.930,0.949,0.940,0.944,1.954
3,laponly,2,11,43,0.826,0.791,0.923,0.902,0.911,5.073
4,laponly,2,aa,188,0.880,0.862,0.929,0.917,0.915,6.396
0,laponly,5,00,40,0.925,0.925,0.946,0.945,0.914,8.821
1,laponly,5,10,13,0.585,0.615,0.778,0.754,0.723,35.812
2,laponly,5,01,65,0.877,0.785,0.931,0.908,0.923,2.956
3,laponly,5,11,67,0.746,0.642,0.863,0.836,0.863,9.304
4,laponly,5,aa,185,0.819,0.751,0.899,0.879,0.885,8.832
0,laponly,10,00,9,0.744,0.667,0.887,0.889,0.786,25.177
1,laponly,10,10,6,0.817,0.833,0.860,0.833,0.826,22.364
