,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,98,0.893,0.857,0.956,0.945,0.973,1.422
1,fulloracle,2,10,3,0.833,0.667,0.833,0.800,0.853,7.162
2,fulloracle,2,01,48,0.917,0.875,0.967,0.958,0.956,2.026
3,fulloracle,2,11,39,0.692,0.667,0.790,0.749,0.864,7.923
4,fulloracle,2,aa,188,0.856,0.819,0.922,0.905,0.944,3.016
0,fulloracle,5,00,75,0.813,0.747,0.918,0.893,0.951,2.664
1,fulloracle,5,10,3,0.600,0.333,0.800,0.733,0.766,13.833
2,fulloracle,5,01,59,0.864,0.763,0.961,0.925,0.947,2.619
3,fulloracle,5,11,48,0.512,0.375,0.693,0.583,0.794,14.514
4,fulloracle,5,aa,185,0.748,0.649,0.872,0.821,0.906,5.906
0,fulloracle,10,00,35,0.746,0.657,0.794,0.749,0.877,7.688
1,fulloracle,10,10,3,0.400,0.333,0.400,0.267,0.602,32.995
2,fulloracle,10,01,69,0.787,0.667,0.943,0.913,0.932,3.507
3,fulloracle,10,11,63,0.471,0.302,0.646,0.476,0.720,24.264
4,fulloracle,10,aa,170,0.655,0.524,0.793,0.706,0.836,12.580
0,notracklap,2,00,98,0.827,0.806,0.924,0.904,0.946,4.213
1,notracklap,2,10,3,0.333,0.000,0.667,0.467,0.719,20.919
2,notracklap,2,01,48,0.885,0.833,0.887,0.842,0.887,9.928
3,notracklap,2,11,39,0.564,0.513,0.736,0.646,0.828,12.677
4,notracklap,2,aa,188,0.779,0.739,0.872,0.828,0.903,7.694
0,notracklap,5,00,75,0.747,0.693,0.865,0.816,0.906,8.072
1,notracklap,5,10,3,0.133,0.000,0.413,0.133,0.569,37.573
2,notracklap,5,01,59,0.729,0.559,0.843,0.749,0.845,14.935
3,notracklap,5,11,48,0.388,0.146,0.593,0.421,0.729,22.123
4,notracklap,5,aa,185,0.638,0.497,0.780,0.681,0.835,14.385
0,notracklap,10,00,35,0.517,0.371,0.718,0.657,0.789,20.352
1,notracklap,10,10,3,0.033,0.000,0.220,0.133,0.506,45.124
2,notracklap,10,01,69,0.567,0.333,0.766,0.609,0.798,20.881
3,notracklap,10,11,63,0.238,0.032,0.488,0.340,0.646,31.985
4,notracklap,10,aa,170,0.425,0.224,0.644,0.511,0.734,25.315
0,laponly,2,00,98,0.816,0.786,0.929,0.906,0.947,4.052
1,laponly,2,10,3,0.167,0.000,0.500,0.400,0.683,27.041
2,laponly,2,01,48,0.927,0.896,0.967,0.963,0.956,2.000
3,laponly,2,11,39,0.705,0.667,0.838,0.810,0.903,5.185
4,laponly,2,aa,188,0.811,0.777,0.913,0.893,0.936,4.130
0,laponly,5,00,75,0.731,0.640,0.860,0.824,0.906,8.183
1,laponly,5,10,3,0.133,0.000,0.293,0.133,0.545,41.077
2,laponly,5,01,59,0.902,0.814,0.964,0.942,0.947,2.582
3,laponly,5,11,48,0.608,0.458,0.820,0.783,0.860,8.230
4,laponly,5,aa,185,0.744,0.638,0.874,0.840,0.901,6.942
0,laponly,10,00,35,0.511,0.400,0.718,0.651,0.789,20.069
1,laponly,10,10,3,0.033,0.000,0.220,0.133,0.520,43.814
2,laponly,10,01,69,0.787,0.710,0.941,0.904,0.932,3.463
3,laponly,10,11,63,0.543,0.460,0.803,0.730,0.841,9.485
4,laponly,10,aa,170,0.626,0.541,0.831,0.774,0.861,9.825
0,trackonly,2,00,98,0.862,0.827,0.949,0.943,0.968,1.879
1,trackonly,2,10,3,0.833,0.667,0.733,0.600,0.785,13.081
2,trackonly,2,01,48,0.844,0.771,0.892,0.850,0.886,9.972
3,trackonly,2,11,39,0.615,0.538,0.721,0.662,0.820,12.538
4,trackonly,2,aa,188,0.806,0.750,0.884,0.855,0.914,6.335
0,trackonly,5,00,75,0.829,0.787,0.912,0.880,0.948,2.891
1,trackonly,5,10,3,0.667,0.333,0.613,0.467,0.720,18.806
2,trackonly,5,01,59,0.698,0.475,0.841,0.746,0.845,14.913
3,trackonly,5,11,48,0.375,0.146,0.590,0.442,0.716,22.711
4,trackonly,5,aa,185,0.667,0.514,0.801,0.717,0.851,12.126
0,trackonly,10,00,35,0.717,0.600,0.790,0.720,0.870,8.638
1,trackonly,10,10,3,0.400,0.333,0.367,0.267,0.606,32.930
2,trackonly,10,01,69,0.546,0.362,0.759,0.614,0.799,20.775
3,trackonly,10,11,63,0.297,0.143,0.496,0.330,0.611,36.865
4,trackonly,10,aa,170,0.486,0.329,0.661,0.525,0.740,24.453
0,fullpred,2,00,98,0.862,0.816,0.955,0.945,0.973,1.403
1,fullpred,2,10,3,0.833,0.667,0.967,0.933,0.851,7.972
2,fullpred,2,01,48,0.531,0.375,0.802,0.729,0.859,13.603
3,fullpred,2,11,39,0.564,0.462,0.733,0.656,0.835,11.766
4,fullpred,2,aa,188,0.715,0.628,0.870,0.830,0.913,6.772
0,fullpred,5,00,75,0.784,0.733,0.905,0.861,0.946,2.922
1,fullpred,5,10,3,0.667,0.333,0.800,0.733,0.788,11.870
2,fullpred,5,01,59,0.444,0.220,0.738,0.559,0.790,21.984
3,fullpred,5,11,48,0.333,0.167,0.599,0.429,0.725,22.785
4,fullpred,5,aa,185,0.557,0.416,0.771,0.651,0.836,14.300
0,fullpred,10,00,35,0.654,0.457,0.772,0.663,0.841,10.646
1,fullpred,10,10,3,0.467,0.000,0.467,0.333,0.644,27.627
2,fullpred,10,01,69,0.400,0.116,0.690,0.522,0.753,24.789
3,fullpred,10,11,63,0.190,0.048,0.488,0.397,0.640,30.915
4,fullpred,10,aa,170,0.376,0.159,0.628,0.501,0.727,24.197
0,predtrack,2,00,98,0.862,0.837,0.946,0.933,0.969,1.908
1,predtrack,2,10,3,0.833,0.667,0.833,0.800,0.809,11.702
2,predtrack,2,01,48,0.854,0.792,0.890,0.850,0.887,9.979
3,predtrack,2,11,39,0.628,0.590,0.744,0.682,0.828,12.207
4,predtrack,2,aa,188,0.811,0.771,0.888,0.857,0.916,6.262
0,predtrack,5,00,75,0.840,0.800,0.923,0.896,0.946,3.050
1,predtrack,5,10,3,0.733,0.333,0.693,0.533,0.721,18.530
2,predtrack,5,01,59,0.685,0.492,0.840,0.753,0.845,14.922
3,predtrack,5,11,48,0.379,0.146,0.589,0.450,0.731,21.334
4,predtrack,5,aa,185,0.669,0.524,0.806,0.729,0.855,11.831
0,predtrack,10,00,35,0.720,0.686,0.797,0.743,0.871,8.500
1,predtrack,10,10,3,0.467,0.333,0.540,0.533,0.704,20.727
2,predtrack,10,01,69,0.567,0.333,0.760,0.609,0.799,20.801
3,predtrack,10,11,63,0.241,0.048,0.499,0.356,0.647,31.630
4,predtrack,10,aa,170,0.476,0.300,0.667,0.541,0.756,22.280
0,predpit,2,00,98,0.862,0.837,0.928,0.904,0.947,4.145
1,predpit,2,10,3,0.167,0.000,0.500,0.400,0.676,27.572
2,predpit,2,01,48,0.510,0.375,0.787,0.713,0.847,14.951
3,predpit,2,11,39,0.615,0.487,0.723,0.631,0.844,11.391
4,predpit,2,aa,188,0.710,0.633,0.843,0.790,0.896,8.781
0,predpit,5,00,75,0.733,0.640,0.859,0.800,0.903,8.403
1,predpit,5,10,3,0.133,0.000,0.267,0.067,0.545,41.664
2,predpit,5,01,59,0.444,0.203,0.738,0.569,0.790,21.911
3,predpit,5,11,48,0.312,0.104,0.583,0.429,0.726,22.833
4,predpit,5,aa,185,0.522,0.351,0.739,0.618,0.815,16.994
0,predpit,10,00,35,0.483,0.257,0.698,0.600,0.764,22.170
1,predpit,10,10,3,0.067,0.000,0.180,0.067,0.513,45.078
2,predpit,10,01,69,0.436,0.159,0.690,0.510,0.749,25.320
3,predpit,10,11,63,0.183,0.063,0.517,0.441,0.655,28.696
4,predpit,10,aa,170,0.345,0.141,0.619,0.495,0.713,26.271
0,curtrack,2,00,98,0.878,0.837,0.952,0.927,0.964,2.682
1,curtrack,2,10,3,0.833,0.667,0.933,0.933,0.843,7.579
2,curtrack,2,01,48,0.521,0.354,0.806,0.733,0.862,13.262
3,curtrack,2,11,39,0.564,0.462,0.713,0.631,0.828,12.574
4,curtrack,2,aa,188,0.721,0.633,0.865,0.816,0.908,7.514
0,curtrack,5,00,75,0.789,0.707,0.893,0.856,0.922,7.275
1,curtrack,5,10,3,0.333,0.000,0.600,0.200,0.582,40.729
2,curtrack,5,01,59,0.417,0.153,0.761,0.614,0.804,20.664
3,curtrack,5,11,48,0.296,0.104,0.539,0.350,0.695,26.188
4,curtrack,5,aa,185,0.535,0.362,0.754,0.637,0.820,16.995
0,curtrack,10,00,35,0.723,0.686,0.767,0.709,0.811,19.870
1,curtrack,10,10,3,0.133,0.000,0.267,0.133,0.285,92.069
2,curtrack,10,01,69,0.413,0.116,0.713,0.548,0.773,24.210
3,curtrack,10,11,63,0.162,0.016,0.470,0.362,0.608,36.584
4,curtrack,10,aa,170,0.379,0.194,0.626,0.505,0.711,29.100
0,zerotrack,2,00,98,0.878,0.847,0.955,0.943,0.972,1.482
1,zerotrack,2,10,3,0.833,1.000,0.867,0.867,0.844,8.119
2,zerotrack,2,01,48,0.469,0.271,0.806,0.733,0.861,13.289
3,zerotrack,2,11,39,0.564,0.487,0.746,0.682,0.841,11.338
4,zerotrack,2,aa,188,0.707,0.628,0.872,0.834,0.915,6.647
0,zerotrack,5,00,75,0.803,0.747,0.918,0.885,0.949,2.755
1,zerotrack,5,10,3,0.667,0.333,0.853,0.733,0.784,12.525
2,zerotrack,5,01,59,0.424,0.153,0.757,0.600,0.804,20.638
3,zerotrack,5,11,48,0.346,0.167,0.611,0.446,0.744,21.178
4,zerotrack,5,aa,185,0.561,0.400,0.786,0.678,0.847,13.397
0,zerotrack,10,00,35,0.726,0.686,0.800,0.749,0.876,7.764
1,zerotrack,10,10,3,0.433,0.333,0.600,0.533,0.707,20.420
2,zerotrack,10,01,69,0.417,0.130,0.712,0.545,0.773,24.202
3,zerotrack,10,11,63,0.171,0.032,0.530,0.429,0.672,28.391
4,zerotrack,10,aa,170,0.390,0.212,0.661,0.544,0.756,22.303
0,deepAR,2,00,98,0.730,0.684,0.921,0.900,0.940,4.123
1,deepAR,2,10,3,0.167,0.000,0.867,0.800,0.839,7.919
2,deepAR,2,01,48,0.448,0.312,0.758,0.688,0.800,17.694
3,deepAR,2,11,39,0.487,0.436,0.656,0.585,0.769,17.304
4,deepAR,2,aa,188,0.598,0.527,0.824,0.779,0.867,10.383
0,deepAR,5,00,75,0.664,0.480,0.851,0.757,0.864,10.482
1,deepAR,5,10,3,0.200,0.000,0.693,0.467,0.695,19.430
2,deepAR,5,01,59,0.451,0.254,0.713,0.515,0.721,28.530
3,deepAR,5,11,48,0.350,0.146,0.530,0.371,0.637,32.938
4,deepAR,5,aa,185,0.507,0.314,0.721,0.575,0.757,22.209
0,deepAR,10,00,35,0.549,0.543,0.717,0.600,0.729,26.141
1,deepAR,10,10,3,0.100,0.000,0.607,0.467,0.635,28.328
2,deepAR,10,01,69,0.419,0.174,0.618,0.400,0.640,38.606
3,deepAR,10,11,63,0.211,0.048,0.459,0.324,0.563,41.062
4,deepAR,10,aa,170,0.363,0.200,0.579,0.414,0.630,36.768
0,naive,2,00,98,0.883,0.847,0.932,0.918,0.939,5.555
1,naive,2,10,3,0.500,0.333,0.833,0.733,0.858,7.634
2,naive,2,01,48,0.562,0.417,0.792,0.717,0.831,15.976
3,naive,2,11,39,0.551,0.462,0.697,0.621,0.761,19.712
