,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,98,0.908,0.878,0.954,0.937,0.971,1.665
1,fulloracle,2,10,3,0.500,0.000,0.700,0.667,0.812,11.525
2,fulloracle,2,01,48,0.896,0.875,0.963,0.950,0.954,2.142
3,fulloracle,2,11,39,0.679,0.590,0.790,0.728,0.872,7.382
4,fulloracle,2,aa,188,0.851,0.803,0.918,0.893,0.944,3.130
0,fulloracle,5,00,75,0.848,0.813,0.911,0.888,0.949,2.996
1,fulloracle,5,10,3,0.667,0.333,0.853,0.867,0.819,9.672
2,fulloracle,5,01,59,0.844,0.729,0.956,0.925,0.945,2.766
3,fulloracle,5,11,48,0.575,0.375,0.729,0.621,0.797,14.511
4,fulloracle,5,aa,185,0.773,0.665,0.877,0.830,0.906,6.019
0,fulloracle,10,00,35,0.660,0.571,0.826,0.800,0.895,6.486
1,fulloracle,10,10,3,0.200,0.000,0.747,0.667,0.786,13.878
2,fulloracle,10,01,69,0.830,0.739,0.951,0.916,0.933,3.364
3,fulloracle,10,11,63,0.543,0.333,0.731,0.565,0.768,18.959
4,fulloracle,10,aa,170,0.678,0.541,0.840,0.758,0.861,9.971
0,notracklap,2,00,98,0.842,0.827,0.919,0.898,0.945,4.320
1,notracklap,2,10,3,0.333,0.000,0.467,0.267,0.613,34.498
2,notracklap,2,01,48,0.802,0.729,0.833,0.758,0.859,13.061
3,notracklap,2,11,39,0.410,0.333,0.623,0.528,0.793,16.664
4,notracklap,2,aa,188,0.734,0.686,0.829,0.776,0.886,9.594
0,notracklap,5,00,75,0.795,0.773,0.870,0.835,0.916,6.943
1,notracklap,5,10,3,0.133,0.000,0.173,0.067,0.512,45.170
2,notracklap,5,01,59,0.607,0.305,0.797,0.647,0.817,18.794
3,notracklap,5,11,48,0.333,0.083,0.515,0.317,0.708,25.035
4,notracklap,5,aa,185,0.604,0.432,0.743,0.628,0.824,16.036
0,notracklap,10,00,35,0.560,0.486,0.715,0.669,0.787,20.907
1,notracklap,10,10,3,0.067,0.000,0.167,0.067,0.462,50.241
2,notracklap,10,01,69,0.474,0.159,0.715,0.559,0.762,26.081
3,notracklap,10,11,63,0.190,0.016,0.456,0.346,0.625,34.483
4,notracklap,10,aa,170,0.379,0.171,0.609,0.494,0.711,28.556
0,laponly,2,00,98,0.821,0.806,0.921,0.902,0.947,4.093
1,laponly,2,10,3,0.167,0.000,0.367,0.200,0.613,35.116
2,laponly,2,01,48,0.917,0.875,0.960,0.954,0.953,2.103
3,laponly,2,11,39,0.679,0.667,0.800,0.779,0.889,6.320
4,laponly,2,aa,188,0.806,0.782,0.897,0.879,0.931,4.542
0,laponly,5,00,75,0.779,0.720,0.868,0.843,0.916,6.946
1,laponly,5,10,3,0.067,0.000,0.200,0.133,0.533,41.826
2,laponly,5,01,59,0.858,0.746,0.957,0.932,0.945,2.668
3,laponly,5,11,48,0.604,0.438,0.807,0.767,0.863,7.995
4,laponly,5,aa,185,0.747,0.643,0.870,0.840,0.905,6.420
0,laponly,10,00,35,0.600,0.543,0.718,0.674,0.788,20.622
1,laponly,10,10,3,0.067,0.000,0.167,0.067,0.462,49.519
2,laponly,10,01,69,0.790,0.710,0.949,0.907,0.934,3.394
3,laponly,10,11,63,0.637,0.524,0.823,0.765,0.848,9.060
4,laponly,10,aa,170,0.681,0.594,0.841,0.792,0.863,9.855
0,trackonly,2,00,98,0.852,0.816,0.946,0.933,0.968,1.918
1,trackonly,2,10,3,0.500,0.000,0.700,0.600,0.805,12.147
2,trackonly,2,01,48,0.771,0.688,0.842,0.775,0.859,13.061
3,trackonly,2,11,39,0.500,0.333,0.697,0.626,0.822,12.460
4,trackonly,2,aa,188,0.753,0.670,0.864,0.823,0.907,7.113
0,trackonly,5,00,75,0.813,0.773,0.909,0.888,0.947,3.268
1,trackonly,5,10,3,0.733,0.333,0.787,0.800,0.822,9.871
2,trackonly,5,01,59,0.617,0.305,0.801,0.641,0.817,18.727
3,trackonly,5,11,48,0.388,0.188,0.569,0.404,0.708,24.062
4,trackonly,5,aa,185,0.639,0.465,0.784,0.682,0.841,13.700
0,trackonly,10,00,35,0.643,0.571,0.821,0.777,0.889,7.206
1,trackonly,10,10,3,0.200,0.000,0.773,0.733,0.804,10.982
2,trackonly,10,01,69,0.486,0.188,0.714,0.557,0.762,26.066
3,trackonly,10,11,63,0.252,0.048,0.503,0.368,0.629,33.806
4,trackonly,10,aa,170,0.426,0.212,0.659,0.535,0.740,24.785
0,fullpred,2,00,98,0.872,0.837,0.949,0.933,0.969,1.911
1,fullpred,2,10,3,0.833,0.667,0.933,0.933,0.864,7.081
2,fullpred,2,01,48,0.490,0.312,0.802,0.725,0.853,14.049
3,fullpred,2,11,39,0.551,0.436,0.759,0.687,0.844,11.055
4,fullpred,2,aa,188,0.707,0.617,0.872,0.829,0.911,6.990
0,fullpred,5,00,75,0.771,0.707,0.906,0.875,0.946,3.094
1,fullpred,5,10,3,0.600,0.333,0.840,0.733,0.803,11.673
2,fullpred,5,01,59,0.437,0.220,0.732,0.569,0.787,22.363
3,fullpred,5,11,48,0.342,0.146,0.589,0.417,0.721,23.879
4,fullpred,5,aa,185,0.550,0.400,0.767,0.656,0.834,14.771
0,fullpred,10,00,35,0.577,0.457,0.808,0.720,0.883,7.252
1,fullpred,10,10,3,0.500,0.333,0.800,0.467,0.816,10.497
2,fullpred,10,01,69,0.428,0.130,0.706,0.536,0.761,24.064
3,fullpred,10,11,63,0.222,0.048,0.535,0.451,0.659,29.625
4,fullpred,10,aa,170,0.384,0.171,0.665,0.541,0.749,22.424
0,predtrack,2,00,98,0.867,0.837,0.940,0.922,0.968,2.077
1,predtrack,2,10,3,0.833,0.667,0.933,0.933,0.882,4.800
2,predtrack,2,01,48,0.792,0.708,0.835,0.762,0.860,12.924
3,predtrack,2,11,39,0.538,0.436,0.741,0.677,0.837,11.872
4,predtrack,2,aa,188,0.779,0.718,0.872,0.831,0.912,6.922
0,predtrack,5,00,75,0.816,0.733,0.916,0.885,0.946,3.210
1,predtrack,5,10,3,0.667,0.333,0.933,0.933,0.837,8.469
2,predtrack,5,01,59,0.603,0.271,0.797,0.651,0.817,18.717
3,predtrack,5,11,48,0.442,0.208,0.588,0.383,0.731,22.330
4,predtrack,5,aa,185,0.649,0.443,0.793,0.681,0.848,13.201
0,predtrack,10,00,35,0.643,0.514,0.823,0.771,0.889,7.175
1,predtrack,10,10,3,0.200,0.000,0.660,0.600,0.755,15.900
2,predtrack,10,01,69,0.494,0.188,0.708,0.548,0.763,26.043
3,predtrack,10,11,63,0.238,0.048,0.537,0.435,0.658,30.514
4,predtrack,10,aa,170,0.425,0.200,0.667,0.553,0.750,23.637
0,predpit,2,00,98,0.801,0.745,0.923,0.904,0.947,4.125
1,predpit,2,10,3,0.167,0.000,0.367,0.200,0.618,34.640
2,predpit,2,01,48,0.490,0.312,0.794,0.717,0.848,14.554
3,predpit,2,11,39,0.538,0.462,0.692,0.610,0.830,12.339
4,predpit,2,aa,188,0.657,0.564,0.834,0.784,0.892,8.979
0,predpit,5,00,75,0.787,0.733,0.871,0.835,0.914,6.945
1,predpit,5,10,3,0.067,0.000,0.200,0.133,0.534,42.369
2,predpit,5,01,59,0.410,0.136,0.737,0.559,0.788,22.107
3,predpit,5,11,48,0.367,0.146,0.582,0.425,0.729,22.646
4,predpit,5,aa,185,0.546,0.378,0.742,0.629,0.820,16.429
0,predpit,10,00,35,0.520,0.343,0.705,0.634,0.776,21.348
1,predpit,10,10,3,0.067,0.000,0.173,0.067,0.468,49.111
