,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,98,0.847,0.806,0.958,0.949,0.964,1.790
1,fulloracle,2,10,3,0.833,0.667,0.767,0.800,0.798,11.450
2,fulloracle,2,01,48,0.958,0.938,0.967,0.958,0.950,2.926
3,fulloracle,2,11,39,0.628,0.564,0.738,0.677,0.841,9.833
4,fulloracle,2,aa,188,0.830,0.787,0.912,0.893,0.932,3.903
0,fulloracle,5,00,75,0.723,0.627,0.910,0.872,0.922,4.095
1,fulloracle,5,10,3,0.667,0.333,0.733,0.667,0.774,13.631
2,fulloracle,5,01,59,0.915,0.831,0.953,0.925,0.931,3.637
3,fulloracle,5,11,48,0.537,0.375,0.660,0.504,0.767,17.297
4,fulloracle,5,aa,185,0.735,0.622,0.856,0.790,0.882,7.529
0,fulloracle,10,00,35,0.503,0.286,0.735,0.617,0.815,12.037
1,fulloracle,10,10,3,0.133,0.000,0.540,0.400,0.625,31.048
2,fulloracle,10,01,69,0.758,0.522,0.886,0.786,0.878,7.532
3,fulloracle,10,11,63,0.479,0.238,0.635,0.432,0.700,27.281
4,fulloracle,10,aa,170,0.591,0.359,0.755,0.613,0.795,16.193
0,notracklap,2,00,98,0.770,0.724,0.895,0.869,0.927,6.069
1,notracklap,2,10,3,0.333,0.000,0.467,0.200,0.612,33.462
2,notracklap,2,01,48,0.865,0.812,0.879,0.833,0.877,11.041
3,notracklap,2,11,39,0.462,0.359,0.662,0.585,0.800,15.309
4,notracklap,2,aa,188,0.723,0.660,0.836,0.790,0.883,9.693
0,notracklap,5,00,75,0.669,0.613,0.842,0.789,0.875,10.427
1,notracklap,5,10,3,0.133,0.000,0.320,0.133,0.524,43.170
2,notracklap,5,01,59,0.736,0.542,0.832,0.712,0.827,16.350
3,notracklap,5,11,48,0.371,0.125,0.581,0.412,0.732,21.163
4,notracklap,5,aa,185,0.604,0.454,0.762,0.656,0.817,15.632
0,notracklap,10,00,35,0.411,0.286,0.615,0.474,0.702,27.367
1,notracklap,10,10,3,0.067,0.000,0.207,0.133,0.465,49.415
2,notracklap,10,01,69,0.572,0.290,0.768,0.614,0.783,19.791
3,notracklap,10,11,63,0.365,0.127,0.588,0.467,0.700,24.394
4,notracklap,10,aa,170,0.454,0.224,0.660,0.522,0.730,23.579
0,laponly,2,00,98,0.781,0.724,0.902,0.878,0.931,5.639
1,laponly,2,10,3,0.333,0.000,0.367,0.200,0.607,34.464
