,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,64,0.773,0.734,0.867,0.834,0.828,16.762
1,fulloracle,2,10,24,0.604,0.542,0.733,0.683,0.716,26.117
2,fulloracle,2,01,57,0.860,0.825,0.900,0.881,0.860,7.414
3,fulloracle,2,11,43,0.407,0.302,0.609,0.516,0.689,26.589
4,fulloracle,2,aa,188,0.694,0.638,0.801,0.756,0.792,17.370
0,fulloracle,5,00,40,0.690,0.475,0.842,0.770,0.811,15.116
1,fulloracle,5,10,13,0.415,0.231,0.634,0.554,0.540,56.773
2,fulloracle,5,01,65,0.563,0.246,0.790,0.674,0.777,13.914
3,fulloracle,5,11,67,0.454,0.299,0.664,0.555,0.699,25.280
4,fulloracle,5,aa,185,0.541,0.314,0.745,0.643,0.740,21.302
0,fulloracle,10,00,9,0.333,0.111,0.584,0.444,0.488,58.801
1,fulloracle,10,10,6,0.683,0.667,0.873,0.867,0.833,10.741
2,fulloracle,10,01,67,0.510,0.358,0.771,0.693,0.734,17.746
3,fulloracle,10,11,88,0.367,0.227,0.644,0.539,0.609,33.295
4,fulloracle,10,aa,170,0.433,0.288,0.699,0.606,0.660,27.721
0,notracklap,2,00,64,0.766,0.703,0.870,0.838,0.831,16.492
1,notracklap,2,10,24,0.667,0.625,0.750,0.692,0.724,25.377
2,notracklap,2,01,57,0.904,0.860,0.907,0.891,0.856,8.059
3,notracklap,2,11,43,0.407,0.326,0.623,0.516,0.692,26.492
4,notracklap,2,aa,188,0.713,0.654,0.810,0.762,0.793,17.357
0,notracklap,5,00,40,0.690,0.450,0.845,0.785,0.807,15.775
1,notracklap,5,10,13,0.462,0.385,0.603,0.523,0.538,56.437
2,notracklap,5,01,65,0.572,0.308,0.791,0.662,0.775,14.194
3,notracklap,5,11,67,0.448,0.254,0.676,0.594,0.704,24.924
4,notracklap,5,aa,185,0.545,0.324,0.748,0.654,0.739,21.390
0,notracklap,10,00,9,0.256,0.222,0.520,0.444,0.477,59.536
1,notracklap,10,10,6,0.700,0.667,0.800,0.733,0.823,11.906
2,notracklap,10,01,67,0.525,0.373,0.785,0.716,0.733,17.690
3,notracklap,10,11,88,0.432,0.284,0.655,0.568,0.614,32.911
4,notracklap,10,aa,170,0.469,0.329,0.704,0.626,0.661,27.581
0,laponly,2,00,64,0.773,0.734,0.873,0.841,0.831,16.607
1,laponly,2,10,24,0.667,0.625,0.750,0.692,0.726,24.817
2,laponly,2,01,57,0.886,0.825,0.902,0.881,0.858,7.770
3,laponly,2,11,43,0.453,0.372,0.607,0.516,0.686,27.108
4,laponly,2,aa,188,0.721,0.665,0.805,0.760,0.793,17.377
0,laponly,5,00,40,0.680,0.450,0.844,0.765,0.815,14.437
1,laponly,5,10,13,0.400,0.308,0.655,0.585,0.551,54.734
2,laponly,5,01,65,0.582,0.354,0.789,0.662,0.780,13.621
3,laponly,5,11,67,0.442,0.284,0.675,0.576,0.699,25.363
4,laponly,5,aa,185,0.539,0.346,0.750,0.648,0.742,20.939
0,laponly,10,00,9,0.289,0.222,0.633,0.533,0.472,59.934
1,laponly,10,10,6,0.683,0.500,0.760,0.733,0.791,15.037
2,laponly,10,01,67,0.530,0.313,0.778,0.690,0.737,17.279
3,laponly,10,11,88,0.392,0.273,0.651,0.548,0.614,32.933
4,laponly,10,aa,170,0.451,0.294,0.704,0.609,0.661,27.561
0,trackonly,2,00,64,0.766,0.719,0.869,0.834,0.829,16.778
1,trackonly,2,10,24,0.688,0.625,0.754,0.700,0.724,25.080
2,trackonly,2,01,57,0.921,0.895,0.900,0.874,0.860,7.729
3,trackonly,2,11,43,0.465,0.372,0.621,0.512,0.692,26.292
4,trackonly,2,aa,188,0.734,0.681,0.807,0.755,0.794,17.270
0,trackonly,5,00,40,0.700,0.450,0.854,0.775,0.810,15.188
1,trackonly,5,10,13,0.415,0.231,0.594,0.508,0.544,55.245
2,trackonly,5,01,65,0.557,0.262,0.793,0.680,0.776,13.975
3,trackonly,5,11,67,0.448,0.313,0.663,0.558,0.701,24.943
4,trackonly,5,aa,185,0.538,0.319,0.745,0.644,0.740,21.109
0,trackonly,10,00,9,0.300,0.111,0.542,0.489,0.465,60.656
1,trackonly,10,10,6,0.817,0.833,0.843,0.833,0.831,10.672
2,trackonly,10,01,67,0.500,0.284,0.773,0.701,0.730,17.940
3,trackonly,10,11,88,0.393,0.261,0.649,0.550,0.611,33.589
4,trackonly,10,aa,170,0.445,0.282,0.699,0.616,0.658,28.046
0,fullpred,2,00,64,0.766,0.734,0.848,0.809,0.806,19.660
1,fullpred,2,10,24,0.646,0.583,0.729,0.683,0.712,26.753
2,fullpred,2,01,57,0.561,0.439,0.756,0.674,0.751,20.007
3,fullpred,2,11,43,0.314,0.233,0.598,0.498,0.650,31.572
4,fullpred,2,aa,188,0.585,0.511,0.748,0.681,0.742,23.395
0,fullpred,5,00,40,0.690,0.475,0.796,0.705,0.741,24.666
1,fullpred,5,10,13,0.462,0.385,0.622,0.554,0.548,54.634
2,fullpred,5,01,65,0.323,0.123,0.615,0.425,0.595,37.192
3,fullpred,5,11,67,0.334,0.224,0.596,0.457,0.625,34.099
4,fullpred,5,aa,185,0.416,0.254,0.648,0.506,0.634,34.589
0,fullpred,10,00,9,0.278,0.333,0.536,0.311,0.412,70.319
1,fullpred,10,10,6,0.650,0.500,0.800,0.700,0.798,13.136
2,fullpred,10,01,67,0.309,0.164,0.502,0.293,0.443,61.457
3,fullpred,10,11,88,0.277,0.091,0.513,0.334,0.469,51.279
4,fullpred,10,aa,170,0.303,0.147,0.520,0.329,0.467,54.952
0,predtrack,2,00,64,0.781,0.750,0.867,0.831,0.829,16.836
1,predtrack,2,10,24,0.708,0.667,0.729,0.683,0.724,25.259
2,predtrack,2,01,57,0.886,0.825,0.900,0.884,0.859,7.682
3,predtrack,2,11,43,0.477,0.372,0.614,0.530,0.692,26.474
4,predtrack,2,aa,188,0.734,0.676,0.802,0.760,0.793,17.340
0,predtrack,5,00,40,0.690,0.425,0.857,0.785,0.817,14.203
1,predtrack,5,10,13,0.385,0.308,0.594,0.523,0.551,54.712
2,predtrack,5,01,65,0.554,0.262,0.795,0.668,0.778,13.839
3,predtrack,5,11,67,0.487,0.343,0.679,0.576,0.707,24.583
4,predtrack,5,aa,185,0.547,0.330,0.752,0.650,0.745,20.681
0,predtrack,10,00,9,0.289,0.111,0.609,0.511,0.502,56.314
1,predtrack,10,10,6,0.783,0.667,0.810,0.767,0.794,15.055
2,predtrack,10,01,67,0.527,0.343,0.779,0.687,0.729,18.219
3,predtrack,10,11,88,0.388,0.261,0.637,0.536,0.612,33.076
4,predtrack,10,aa,170,0.451,0.300,0.698,0.602,0.659,27.815
0,predpit,2,00,64,0.742,0.703,0.844,0.806,0.799,20.789
1,predpit,2,10,24,0.625,0.625,0.721,0.667,0.724,25.778
2,predpit,2,01,57,0.579,0.491,0.758,0.674,0.756,19.568
3,predpit,2,11,43,0.349,0.279,0.577,0.488,0.650,31.771
4,predpit,2,aa,188,0.588,0.532,0.741,0.676,0.742,23.567
0,predpit,5,00,40,0.725,0.550,0.800,0.705,0.739,25.225
1,predpit,5,10,13,0.385,0.308,0.631,0.554,0.544,54.794
2,predpit,5,01,65,0.354,0.154,0.613,0.406,0.588,38.394
3,predpit,5,11,67,0.349,0.269,0.601,0.478,0.617,35.297
4,predpit,5,aa,185,0.435,0.292,0.650,0.507,0.628,35.578
0,predpit,10,00,9,0.344,0.222,0.556,0.333,0.392,73.819
1,predpit,10,10,6,0.633,0.500,0.790,0.700,0.794,13.329
2,predpit,10,01,67,0.303,0.090,0.518,0.301,0.441,61.375
3,predpit,10,11,88,0.239,0.068,0.505,0.341,0.471,51.170
4,predpit,10,aa,170,0.284,0.100,0.523,0.338,0.466,55.055
0,curtrack,2,00,64,0.758,0.719,0.867,0.834,0.828,16.985
1,curtrack,2,10,24,0.708,0.667,0.746,0.692,0.728,24.300
2,curtrack,2,01,57,0.570,0.456,0.758,0.670,0.758,19.266
3,curtrack,2,11,43,0.349,0.256,0.581,0.484,0.648,31.747
4,curtrack,2,aa,188,0.601,0.527,0.753,0.686,0.753,21.986
0,curtrack,5,00,40,0.705,0.500,0.837,0.775,0.810,15.016
1,curtrack,5,10,13,0.400,0.308,0.625,0.554,0.537,56.153
2,curtrack,5,01,65,0.345,0.154,0.615,0.403,0.613,34.540
3,curtrack,5,11,67,0.364,0.224,0.587,0.454,0.622,34.776
4,curtrack,5,aa,185,0.434,0.265,0.653,0.512,0.653,31.923
0,curtrack,10,00,9,0.356,0.333,0.604,0.489,0.478,60.128
1,curtrack,10,10,6,0.733,0.667,0.763,0.700,0.800,13.799
2,curtrack,10,01,67,0.304,0.090,0.528,0.307,0.527,47.466
3,curtrack,10,11,88,0.272,0.091,0.526,0.366,0.504,47.380
4,curtrack,10,aa,170,0.305,0.124,0.540,0.361,0.522,46.903
0,zerotrack,2,00,64,0.789,0.734,0.864,0.831,0.827,17.030
1,zerotrack,2,10,24,0.729,0.708,0.742,0.683,0.730,24.319
2,zerotrack,2,01,57,0.570,0.439,0.761,0.681,0.759,19.276
3,zerotrack,2,11,43,0.384,0.279,0.570,0.460,0.646,31.917
4,zerotrack,2,aa,188,0.622,0.537,0.750,0.682,0.753,22.046
0,zerotrack,5,00,40,0.675,0.400,0.849,0.775,0.813,14.995
1,zerotrack,5,10,13,0.415,0.385,0.606,0.523,0.533,56.712
2,zerotrack,5,01,65,0.342,0.138,0.618,0.403,0.614,34.395
3,zerotrack,5,11,67,0.328,0.164,0.589,0.454,0.629,34.345
4,zerotrack,5,aa,185,0.414,0.222,0.656,0.510,0.657,31.750
0,zerotrack,10,00,9,0.367,0.222,0.558,0.422,0.462,62.909
1,zerotrack,10,10,6,0.683,0.667,0.767,0.667,0.793,14.564
2,zerotrack,10,01,67,0.290,0.075,0.540,0.322,0.528,47.342
3,zerotrack,10,11,88,0.233,0.068,0.521,0.366,0.509,46.604
4,zerotrack,10,aa,170,0.278,0.100,0.539,0.362,0.524,46.627
0,deepAR,2,00,64,0.688,0.609,0.786,0.734,0.771,20.971
1,deepAR,2,10,24,0.521,0.375,0.621,0.533,0.685,29.487
2,deepAR,2,01,57,0.430,0.281,0.732,0.632,0.708,23.727
3,deepAR,2,11,43,0.314,0.233,0.560,0.437,0.624,33.722
4,deepAR,2,aa,188,0.503,0.394,0.697,0.610,0.708,25.810
0,deepAR,5,00,40,0.530,0.125,0.706,0.485,0.715,26.047
1,deepAR,5,10,13,0.385,0.154,0.588,0.431,0.502,60.582
2,deepAR,5,01,65,0.317,0.123,0.584,0.317,0.560,40.694
3,deepAR,5,11,67,0.370,0.239,0.565,0.403,0.595,37.046
4,deepAR,5,aa,185,0.387,0.168,0.604,0.392,0.602,37.604
0,deepAR,10,00,9,0.478,0.111,0.762,0.600,0.577,46.296
1,deepAR,10,10,6,0.717,0.667,0.727,0.667,0.694,32.238
2,deepAR,10,01,67,0.340,0.104,0.582,0.310,0.537,46.200
3,deepAR,10,11,88,0.294,0.125,0.512,0.352,0.480,49.706
4,deepAR,10,aa,170,0.337,0.135,0.560,0.360,0.515,47.527
0,naive,2,00,64,0.828,0.797,0.933,0.916,0.882,12.292
1,naive,2,10,24,0.708,0.667,0.812,0.783,0.755,25.183
2,naive,2,01,57,0.588,0.491,0.767,0.691,0.768,19.609
3,naive,2,11,43,0.581,0.465,0.749,0.693,0.747,24.059
4,naive,2,aa,188,0.684,0.612,0.825,0.780,0.800,18.848
0,naive,5,00,40,0.880,0.850,0.914,0.885,0.855,14.004
1,naive,5,10,13,0.369,0.231,0.668,0.508,0.571,53.792
2,naive,5,01,65,0.446,0.262,0.673,0.502,0.637,33.414
3,naive,5,11,67,0.463,0.299,0.642,0.501,0.620,36.781
4,naive,5,aa,185,0.541,0.400,0.714,0.585,0.674,31.869
0,naive,10,00,9,0.667,0.556,0.807,0.756,0.661,38.713
1,naive,10,10,6,0.683,0.667,0.680,0.600,0.690,33.422
2,naive,10,01,67,0.433,0.209,0.625,0.385,0.561,44.034
3,naive,10,11,88,0.327,0.182,0.533,0.393,0.495,49.430
4,naive,10,aa,170,0.399,0.229,0.589,0.416,0.536,46.171
0,zero,2,00,64,0.906,0.891,0.991,0.984,0.983,0.534
1,zero,2,10,24,0.917,0.875,0.971,0.967,0.969,1.268
2,zero,2,01,57,0.570,0.456,0.758,0.695,0.800,18.154
3,zero,2,11,43,0.791,0.721,0.919,0.893,0.928,5.402
4,zero,2,aa,188,0.779,0.718,0.901,0.873,0.913,7.083
0,zero,5,00,40,0.975,0.975,1.000,1.000,0.975,1.005
1,zero,5,10,13,0.662,0.615,0.938,0.923,0.958,1.607
2,zero,5,01,65,0.486,0.308,0.686,0.514,0.701,28.397
3,zero,5,11,67,0.660,0.522,0.843,0.758,0.866,10.037
4,zero,5,aa,185,0.667,0.551,0.828,0.736,0.838,13.943
0,zero,10,00,9,0.889,0.889,1.000,1.000,0.921,3.741
1,zero,10,10,6,0.717,0.667,1.000,1.000,0.941,3.260
2,zero,10,01,67,0.507,0.254,0.645,0.388,0.636,37.330
3,zero,10,11,88,0.550,0.455,0.744,0.636,0.779,16.305
4,zero,10,aa,170,0.557,0.406,0.728,0.571,0.736,23.466
