,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,64,0.836,0.781,0.961,0.950,0.952,2.347
1,fulloracle,2,10,24,0.708,0.708,0.767,0.717,0.787,16.538
2,fulloracle,2,01,57,0.939,0.912,0.953,0.947,0.936,2.687
3,fulloracle,2,11,43,0.674,0.581,0.767,0.698,0.805,14.070
4,fulloracle,2,aa,188,0.814,0.766,0.889,0.862,0.892,6.943
0,fulloracle,5,00,40,0.885,0.825,0.931,0.890,0.902,6.010
1,fulloracle,5,10,13,0.585,0.462,0.708,0.569,0.673,30.133
2,fulloracle,5,01,65,0.840,0.738,0.920,0.868,0.896,3.990
3,fulloracle,5,11,67,0.507,0.313,0.608,0.445,0.661,27.912
4,fulloracle,5,aa,185,0.711,0.584,0.795,0.698,0.797,14.928
0,fulloracle,10,00,9,0.489,0.222,0.809,0.644,0.770,16.849
1,fulloracle,10,10,6,0.650,0.500,0.813,0.767,0.720,30.941
2,fulloracle,10,01,67,0.754,0.567,0.895,0.812,0.859,6.454
3,fulloracle,10,11,88,0.441,0.227,0.632,0.473,0.627,30.990
4,fulloracle,10,aa,170,0.574,0.371,0.752,0.626,0.730,20.570
0,notracklap,2,00,64,0.805,0.766,0.947,0.941,0.919,8.149
1,notracklap,2,10,24,0.792,0.792,0.863,0.850,0.851,12.122
2,notracklap,2,01,57,0.570,0.456,0.768,0.705,0.793,17.873
3,notracklap,2,11,43,0.767,0.698,0.886,0.856,0.884,7.621
4,notracklap,2,aa,188,0.723,0.660,0.868,0.838,0.864,11.484
0,notracklap,5,00,40,0.820,0.700,0.926,0.890,0.874,9.841
1,notracklap,5,10,13,0.738,0.769,0.834,0.769,0.752,24.019
2,notracklap,5,01,65,0.428,0.231,0.679,0.489,0.665,30.448
3,notracklap,5,11,67,0.585,0.403,0.741,0.627,0.746,20.844
4,notracklap,5,aa,185,0.591,0.432,0.766,0.645,0.746,22.063
0,notracklap,10,00,9,0.578,0.222,0.782,0.622,0.663,35.090
1,notracklap,10,10,6,0.700,0.667,0.937,0.867,0.843,9.430
2,notracklap,10,01,67,0.419,0.164,0.611,0.334,0.591,40.767
3,notracklap,10,11,88,0.438,0.205,0.647,0.498,0.637,30.846
4,notracklap,10,aa,170,0.447,0.206,0.650,0.453,0.627,34.225
0,laponly,2,00,64,0.828,0.781,0.944,0.938,0.914,9.302
1,laponly,2,10,24,0.812,0.750,0.871,0.858,0.828,16.080
2,laponly,2,01,57,0.930,0.895,0.949,0.940,0.934,2.834
3,laponly,2,11,43,0.919,0.907,0.923,0.898,0.912,4.813
4,laponly,2,aa,188,0.878,0.840,0.931,0.919,0.908,7.180
0,laponly,5,00,40,0.830,0.775,0.924,0.885,0.874,10.179
1,laponly,5,10,13,0.538,0.538,0.726,0.646,0.660,41.939
2,laponly,5,01,65,0.803,0.708,0.923,0.880,0.891,4.376
3,laponly,5,11,67,0.699,0.537,0.827,0.758,0.827,11.806
4,laponly,5,aa,185,0.752,0.649,0.875,0.821,0.848,10.961
0,laponly,10,00,9,0.611,0.333,0.776,0.622,0.653,36.571
1,laponly,10,10,6,0.700,0.667,0.770,0.700,0.729,33.585
2,laponly,10,01,67,0.757,0.522,0.892,0.800,0.847,7.563
3,laponly,10,11,88,0.613,0.432,0.777,0.711,0.761,17.129
4,laponly,10,aa,170,0.672,0.471,0.822,0.741,0.788,14.969
0,trackonly,2,00,64,0.836,0.797,0.964,0.956,0.948,2.466
1,trackonly,2,10,24,0.771,0.750,0.796,0.733,0.822,11.594
2,trackonly,2,01,57,0.570,0.456,0.768,0.705,0.796,17.587
3,trackonly,2,11,43,0.686,0.581,0.774,0.693,0.780,17.304
4,trackonly,2,aa,188,0.713,0.638,0.840,0.791,0.848,11.610
0,trackonly,5,00,40,0.880,0.825,0.932,0.885,0.894,6.678
1,trackonly,5,10,13,0.600,0.385,0.708,0.569,0.701,25.755
2,trackonly,5,01,65,0.431,0.231,0.677,0.492,0.667,30.267
3,trackonly,5,11,67,0.394,0.254,0.550,0.361,0.600,34.984
4,trackonly,5,aa,185,0.526,0.378,0.688,0.535,0.694,26.558
0,trackonly,10,00,9,0.544,0.222,0.798,0.644,0.731,23.364
1,trackonly,10,10,6,0.817,0.667,0.850,0.800,0.800,14.754
2,trackonly,10,01,67,0.412,0.164,0.615,0.343,0.595,40.402
3,trackonly,10,11,88,0.338,0.148,0.544,0.377,0.533,40.905
4,trackonly,10,aa,170,0.395,0.176,0.596,0.393,0.577,38.855
0,fullpred,2,00,64,0.859,0.812,0.936,0.922,0.921,6.055
1,fullpred,2,10,24,0.750,0.792,0.871,0.850,0.873,8.513
2,fullpred,2,01,57,0.579,0.456,0.788,0.716,0.813,15.969
3,fullpred,2,11,43,0.593,0.488,0.749,0.684,0.778,15.876
4,fullpred,2,aa,188,0.699,0.628,0.840,0.796,0.849,11.621
0,fullpred,5,00,40,0.835,0.775,0.873,0.780,0.827,15.955
1,fullpred,5,10,13,0.708,0.615,0.775,0.723,0.742,23.038
2,fullpred,5,01,65,0.434,0.231,0.674,0.492,0.663,31.374
3,fullpred,5,11,67,0.454,0.343,0.609,0.451,0.662,28.234
4,fullpred,5,aa,185,0.547,0.416,0.701,0.556,0.703,26.317
0,fullpred,10,00,9,0.611,0.222,0.700,0.422,0.546,50.051
1,fullpred,10,10,6,0.683,0.667,0.837,0.800,0.772,22.339
2,fullpred,10,01,67,0.382,0.164,0.571,0.316,0.540,48.798
3,fullpred,10,11,88,0.399,0.205,0.614,0.448,0.632,28.913
4,fullpred,10,aa,170,0.414,0.206,0.609,0.407,0.596,37.637
0,predtrack,2,00,64,0.852,0.781,0.964,0.953,0.948,2.478
1,predtrack,2,10,24,0.750,0.750,0.871,0.833,0.881,6.323
2,predtrack,2,01,57,0.570,0.456,0.770,0.709,0.797,17.589
3,predtrack,2,11,43,0.640,0.512,0.747,0.698,0.789,15.445
4,predtrack,2,aa,188,0.705,0.617,0.844,0.805,0.857,10.516
0,predtrack,5,00,40,0.880,0.800,0.932,0.890,0.896,6.450
1,predtrack,5,10,13,0.585,0.538,0.778,0.708,0.759,19.773
2,predtrack,5,01,65,0.418,0.200,0.684,0.498,0.667,30.266
3,predtrack,5,11,67,0.484,0.358,0.621,0.478,0.663,27.956
4,predtrack,5,aa,185,0.554,0.411,0.721,0.590,0.721,23.543
0,predtrack,10,00,9,0.511,0.222,0.809,0.644,0.737,22.623
1,predtrack,10,10,6,0.817,0.833,0.853,0.800,0.803,14.814
2,predtrack,10,01,67,0.412,0.149,0.613,0.337,0.594,40.458
3,predtrack,10,11,88,0.384,0.159,0.585,0.432,0.605,32.927
4,predtrack,10,aa,170,0.417,0.182,0.618,0.419,0.615,34.710
0,predpit,2,00,64,0.773,0.703,0.908,0.884,0.876,13.706
1,predpit,2,10,24,0.792,0.792,0.863,0.842,0.825,16.561
2,predpit,2,01,57,0.579,0.456,0.786,0.712,0.814,15.723
3,predpit,2,11,43,0.733,0.651,0.874,0.828,0.861,10.265
4,predpit,2,aa,188,0.707,0.628,0.857,0.814,0.847,13.895
0,predpit,5,00,40,0.765,0.675,0.878,0.790,0.787,21.868
1,predpit,5,10,13,0.538,0.615,0.735,0.662,0.653,43.092
2,predpit,5,01,65,0.400,0.200,0.651,0.462,0.649,33.237
3,predpit,5,11,67,0.540,0.373,0.722,0.588,0.726,23.403
4,predpit,5,aa,185,0.539,0.395,0.732,0.592,0.707,27.910
0,predpit,10,00,9,0.567,0.222,0.653,0.378,0.434,69.727
1,predpit,10,10,6,0.683,0.667,0.777,0.733,0.731,33.233
2,predpit,10,01,67,0.382,0.164,0.555,0.316,0.516,51.925
3,predpit,10,11,88,0.392,0.182,0.607,0.436,0.607,35.006
4,predpit,10,aa,170,0.408,0.194,0.595,0.396,0.567,43.450
0,curtrack,2,00,64,0.797,0.734,0.952,0.934,0.937,4.392
1,curtrack,2,10,24,0.688,0.708,0.846,0.783,0.838,12.872
2,curtrack,2,01,57,0.579,0.456,0.786,0.712,0.819,15.283
3,curtrack,2,11,43,0.512,0.372,0.740,0.660,0.761,19.295
4,curtrack,2,aa,188,0.652,0.564,0.839,0.785,0.848,12.185
0,curtrack,5,00,40,0.850,0.750,0.917,0.860,0.873,10.052
1,curtrack,5,10,13,0.508,0.462,0.631,0.477,0.595,45.762
2,curtrack,5,01,65,0.418,0.215,0.683,0.498,0.676,29.405
3,curtrack,5,11,67,0.397,0.269,0.564,0.382,0.625,32.798
4,curtrack,5,aa,185,0.510,0.368,0.687,0.533,0.694,27.599
0,curtrack,10,00,9,0.489,0.222,0.764,0.600,0.714,26.158
1,curtrack,10,10,6,0.667,0.667,0.740,0.667,0.630,48.589
2,curtrack,10,01,67,0.410,0.164,0.609,0.334,0.595,40.140
3,curtrack,10,11,88,0.358,0.159,0.540,0.377,0.583,35.805
4,curtrack,10,aa,170,0.396,0.182,0.586,0.382,0.596,37.454
0,zerotrack,2,00,64,0.852,0.812,0.956,0.950,0.952,2.392
1,zerotrack,2,10,24,0.812,0.833,0.892,0.875,0.896,5.209
2,zerotrack,2,01,57,0.579,0.456,0.786,0.712,0.820,15.276
3,zerotrack,2,11,43,0.570,0.512,0.816,0.791,0.830,10.427
4,zerotrack,2,aa,188,0.699,0.638,0.864,0.832,0.877,8.496
0,zerotrack,5,00,40,0.865,0.775,0.932,0.885,0.903,5.895
1,zerotrack,5,10,13,0.708,0.692,0.822,0.769,0.788,15.429
2,zerotrack,5,01,65,0.415,0.200,0.685,0.495,0.684,28.469
3,zerotrack,5,11,67,0.496,0.418,0.718,0.594,0.746,18.420
4,zerotrack,5,aa,185,0.562,0.438,0.760,0.635,0.761,19.032
0,zerotrack,10,00,9,0.489,0.222,0.807,0.644,0.765,17.277
