,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,57,0.728,0.667,0.958,0.951,0.969,1.300
1,fulloracle,2,10,2,0.750,0.500,0.800,0.800,0.861,5.691
2,fulloracle,2,01,29,0.966,0.931,0.969,0.959,0.970,1.255
3,fulloracle,2,11,30,0.650,0.600,0.733,0.680,0.849,9.437
4,fulloracle,2,aa,118,0.767,0.712,0.901,0.881,0.937,3.432
0,fulloracle,5,00,41,0.522,0.317,0.893,0.854,0.924,3.196
1,fulloracle,5,10,2,0.100,0.000,0.840,0.900,0.799,9.717
2,fulloracle,5,01,36,0.861,0.694,0.933,0.894,0.949,1.738
3,fulloracle,5,11,36,0.572,0.361,0.701,0.567,0.794,13.909
4,fulloracle,5,aa,115,0.637,0.443,0.845,0.777,0.889,6.206
0,fulloracle,10,00,21,0.576,0.381,0.832,0.733,0.871,5.096
1,fulloracle,10,10,2,0.050,0.000,0.700,0.700,0.736,16.373
2,fulloracle,10,01,41,0.763,0.537,0.913,0.873,0.925,2.849
3,fulloracle,10,11,46,0.526,0.239,0.656,0.491,0.738,21.558
4,fulloracle,10,aa,110,0.615,0.373,0.786,0.684,0.833,11.348
0,notracklap,2,00,57,0.781,0.719,0.958,0.951,0.963,2.125
1,notracklap,2,10,2,0.500,0.000,0.900,0.900,0.912,2.778
2,notracklap,2,01,29,0.655,0.517,0.803,0.738,0.884,9.462
3,notracklap,2,11,30,0.583,0.500,0.727,0.640,0.833,11.769
4,notracklap,2,aa,118,0.695,0.602,0.860,0.819,0.910,6.391
0,notracklap,5,00,41,0.522,0.220,0.899,0.868,0.916,4.362
1,notracklap,5,10,2,0.100,0.000,0.840,0.800,0.858,4.982
2,notracklap,5,01,36,0.572,0.278,0.731,0.561,0.822,15.631
3,notracklap,5,11,36,0.428,0.194,0.603,0.406,0.742,20.784
4,notracklap,5,aa,115,0.501,0.226,0.753,0.626,0.831,13.041
0,notracklap,10,00,21,0.476,0.333,0.748,0.629,0.773,17.149
1,notracklap,10,10,2,0.100,0.000,0.890,0.800,0.828,6.963
2,notracklap,10,01,41,0.441,0.146,0.681,0.488,0.779,19.413
3,notracklap,10,11,46,0.267,0.000,0.517,0.374,0.681,25.941
4,notracklap,10,aa,110,0.369,0.118,0.629,0.473,0.738,21.484
0,laponly,2,00,57,0.798,0.719,0.954,0.944,0.964,2.196
1,laponly,2,10,2,0.500,0.000,0.700,0.500,0.752,17.517
2,laponly,2,01,29,0.931,0.897,0.972,0.966,0.971,1.174
3,laponly,2,11,30,0.833,0.767,0.883,0.873,0.911,4.216
4,laponly,2,aa,118,0.835,0.763,0.936,0.924,0.948,2.718
0,laponly,5,00,41,0.498,0.220,0.889,0.844,0.917,4.218
1,laponly,5,10,2,0.100,0.000,0.480,0.300,0.667,25.066
2,laponly,5,01,36,0.872,0.694,0.941,0.917,0.950,1.699
