,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,64,0.852,0.844,0.952,0.941,0.954,2.252
1,fulloracle,2,10,24,0.646,0.625,0.858,0.833,0.861,7.572
2,fulloracle,2,01,57,0.947,0.947,0.919,0.905,0.918,3.452
3,fulloracle,2,11,43,0.605,0.488,0.786,0.721,0.825,12.127
4,fulloracle,2,aa,188,0.798,0.766,0.892,0.866,0.902,5.554
0,fulloracle,5,00,40,0.915,0.900,0.931,0.920,0.940,3.247
1,fulloracle,5,10,13,0.400,0.385,0.732,0.662,0.743,23.916
2,fulloracle,5,01,65,0.858,0.738,0.903,0.880,0.908,3.582
3,fulloracle,5,11,67,0.501,0.313,0.708,0.597,0.733,21.217
4,fulloracle,5,aa,185,0.709,0.595,0.827,0.771,0.840,11.325
0,fulloracle,10,00,9,0.811,0.778,0.780,0.689,0.683,34.810
1,fulloracle,10,10,6,0.683,0.667,0.890,0.867,0.796,20.177
2,fulloracle,10,01,67,0.800,0.701,0.896,0.866,0.887,4.748
3,fulloracle,10,11,88,0.425,0.250,0.669,0.532,0.677,25.834
4,fulloracle,10,aa,170,0.602,0.471,0.772,0.684,0.764,17.799
0,notracklap,2,00,64,0.805,0.797,0.848,0.828,0.819,20.600
1,notracklap,2,10,24,0.729,0.667,0.721,0.675,0.690,34.028
2,notracklap,2,01,57,0.930,0.912,0.902,0.888,0.900,4.843
3,notracklap,2,11,43,0.651,0.581,0.781,0.693,0.789,16.666
4,notracklap,2,aa,188,0.798,0.766,0.833,0.796,0.820,16.637
0,notracklap,5,00,40,0.845,0.825,0.846,0.825,0.792,24.877
1,notracklap,5,10,13,0.385,0.385,0.517,0.446,0.398,82.695
2,notracklap,5,01,65,0.815,0.708,0.855,0.809,0.866,6.795
3,notracklap,5,11,67,0.597,0.373,0.707,0.600,0.707,25.389
4,notracklap,5,aa,185,0.712,0.589,0.776,0.711,0.760,22.772
0,notracklap,10,00,9,0.444,0.333,0.462,0.311,0.218,116.708
1,notracklap,10,10,6,0.667,0.667,0.677,0.667,0.588,64.155
2,notracklap,10,01,67,0.745,0.642,0.835,0.806,0.814,12.136
3,notracklap,10,11,88,0.498,0.375,0.648,0.566,0.634,33.779
4,notracklap,10,aa,170,0.598,0.488,0.713,0.651,0.682,30.712
0,laponly,2,00,64,0.805,0.797,0.848,0.828,0.818,20.646
1,laponly,2,10,24,0.708,0.667,0.725,0.675,0.693,33.571
2,laponly,2,01,57,0.939,0.912,0.898,0.881,0.900,4.868
3,laponly,2,11,43,0.663,0.581,0.777,0.684,0.789,16.439
4,laponly,2,aa,188,0.801,0.766,0.831,0.791,0.820,16.550
0,laponly,5,00,40,0.840,0.825,0.846,0.825,0.793,24.858
1,laponly,5,10,13,0.385,0.385,0.517,0.446,0.398,82.776
2,laponly,5,01,65,0.806,0.708,0.855,0.818,0.867,6.671
3,laponly,5,11,67,0.588,0.358,0.713,0.600,0.708,25.258
4,laponly,5,aa,185,0.705,0.584,0.778,0.715,0.761,22.683
0,laponly,10,00,9,0.444,0.333,0.462,0.333,0.221,116.421
1,laponly,10,10,6,0.667,0.667,0.677,0.667,0.590,64.207
2,laponly,10,01,67,0.746,0.642,0.831,0.809,0.815,12.114
3,laponly,10,11,88,0.528,0.443,0.646,0.566,0.635,33.711
4,laponly,10,aa,170,0.615,0.524,0.710,0.653,0.682,30.654
0,trackonly,2,00,64,0.859,0.859,0.950,0.941,0.955,2.237
1,trackonly,2,10,24,0.521,0.417,0.854,0.817,0.860,7.847
2,trackonly,2,01,57,0.956,0.947,0.921,0.905,0.918,3.481
3,trackonly,2,11,43,0.593,0.512,0.802,0.730,0.823,12.235
4,trackonly,2,aa,188,0.785,0.750,0.895,0.866,0.901,5.617
0,trackonly,5,00,40,0.915,0.900,0.939,0.935,0.942,3.032
1,trackonly,5,10,13,0.400,0.308,0.735,0.631,0.762,20.596
2,trackonly,5,01,65,0.862,0.738,0.900,0.877,0.906,3.653
3,trackonly,5,11,67,0.481,0.343,0.701,0.585,0.729,21.678
4,trackonly,5,aa,185,0.703,0.600,0.825,0.766,0.840,11.237
0,trackonly,10,00,9,0.711,0.667,0.793,0.667,0.680,35.052
1,trackonly,10,10,6,0.817,0.833,0.817,0.733,0.805,18.077
