,testid,plen,type,reccnt,top1acc,top1acc_farmost,top5acc,top5acc_farmost,tau,rmse
0,fulloracle,2,00,98,0.888,0.837,0.958,0.941,0.972,1.576
1,fulloracle,2,10,3,0.833,0.667,0.733,0.667,0.820,11.341
2,fulloracle,2,01,48,0.885,0.854,0.960,0.950,0.953,2.285
3,fulloracle,2,11,39,0.641,0.564,0.756,0.687,0.850,9.206
4,fulloracle,2,aa,188,0.835,0.782,0.913,0.886,0.939,3.496
0,fulloracle,5,00,75,0.811,0.733,0.912,0.893,0.947,3.267
1,fulloracle,5,10,3,0.333,0.000,0.707,0.667,0.752,15.757
2,fulloracle,5,01,59,0.864,0.746,0.954,0.925,0.943,2.859
3,fulloracle,5,11,48,0.546,0.354,0.701,0.588,0.785,15.877
4,fulloracle,5,aa,185,0.751,0.627,0.867,0.821,0.901,6.611
0,fulloracle,10,00,35,0.674,0.543,0.824,0.760,0.890,6.933
1,fulloracle,10,10,3,0.333,0.000,0.707,0.667,0.748,16.131
2,fulloracle,10,01,69,0.812,0.725,0.945,0.910,0.933,3.368
3,fulloracle,10,11,63,0.514,0.317,0.681,0.511,0.732,23.319
4,fulloracle,10,aa,170,0.665,0.524,0.818,0.727,0.847,11.721
0,notracklap,2,00,98,0.842,0.827,0.915,0.892,0.945,4.351
1,notracklap,2,10,3,0.167,0.000,0.300,0.200,0.609,36.230
2,notracklap,2,01,48,0.896,0.875,0.956,0.942,0.953,2.264
3,notracklap,2,11,39,0.590,0.564,0.785,0.749,0.881,6.911
4,notracklap,2,aa,188,0.793,0.771,0.889,0.864,0.928,4.858
0,notracklap,5,00,75,0.771,0.747,0.862,0.827,0.915,7.084
1,notracklap,5,10,3,0.067,0.000,0.173,0.067,0.508,45.238
2,notracklap,5,01,59,0.888,0.797,0.950,0.922,0.944,2.823
3,notracklap,5,11,48,0.583,0.438,0.778,0.738,0.842,9.776
4,notracklap,5,aa,185,0.748,0.670,0.857,0.822,0.899,7.043
0,notracklap,10,00,35,0.571,0.543,0.713,0.651,0.793,19.635
1,notracklap,10,10,3,0.033,0.000,0.147,0.067,0.462,50.769
2,notracklap,10,01,69,0.804,0.696,0.942,0.922,0.932,3.439
3,notracklap,10,11,63,0.571,0.444,0.799,0.724,0.829,10.669
4,notracklap,10,aa,170,0.656,0.559,0.828,0.778,0.857,10.288
0,laponly,2,00,98,0.832,0.816,0.919,0.898,0.944,4.386
1,laponly,2,10,3,0.167,0.000,0.300,0.200,0.604,35.995
2,laponly,2,01,48,0.896,0.875,0.958,0.950,0.952,2.231
3,laponly,2,11,39,0.615,0.590,0.792,0.764,0.879,6.987
4,laponly,2,aa,188,0.793,0.771,0.893,0.872,0.927,4.880
0,laponly,5,00,75,0.768,0.707,0.866,0.837,0.915,7.147
1,laponly,5,10,3,0.067,0.000,0.160,0.067,0.507,45.382
2,laponly,5,01,59,0.895,0.763,0.950,0.922,0.943,2.814
3,laponly,5,11,48,0.583,0.417,0.777,0.721,0.841,9.782
4,laponly,5,aa,185,0.749,0.638,0.858,0.822,0.898,7.069
0,laponly,10,00,35,0.603,0.543,0.714,0.674,0.793,19.599
1,laponly,10,10,3,0.033,0.000,0.147,0.067,0.459,50.612
2,laponly,10,01,69,0.786,0.696,0.939,0.904,0.934,3.340
3,laponly,10,11,63,0.559,0.444,0.798,0.730,0.826,11.004
4,laponly,10,aa,170,0.651,0.559,0.827,0.778,0.856,10.361
0,trackonly,2,00,98,0.862,0.837,0.960,0.945,0.973,1.471
1,trackonly,2,10,3,0.833,0.667,0.767,0.667,0.826,9.995
2,trackonly,2,01,48,0.896,0.875,0.958,0.950,0.953,2.201
3,trackonly,2,11,39,0.603,0.513,0.749,0.692,0.853,9.015
4,trackonly,2,aa,188,0.816,0.777,0.913,0.889,0.940,3.358
0,trackonly,5,00,75,0.824,0.800,0.911,0.885,0.947,3.364
1,trackonly,5,10,3,0.400,0.000,0.653,0.600,0.748,16.171
2,trackonly,5,01,59,0.881,0.763,0.955,0.929,0.942,2.900
3,trackonly,5,11,48,0.525,0.375,0.708,0.608,0.782,16.150
4,trackonly,5,aa,185,0.758,0.665,0.868,0.823,0.899,6.741
0,trackonly,10,00,35,0.691,0.600,0.819,0.760,0.892,6.733
1,trackonly,10,10,3,0.467,0.333,0.740,0.733,0.753,15.950
2,trackonly,10,01,69,0.784,0.696,0.936,0.904,0.932,3.432
3,trackonly,10,11,63,0.503,0.286,0.675,0.498,0.734,22.966
4,trackonly,10,aa,170,0.655,0.518,0.812,0.721,0.847,11.571
0,fullpred,2,00,98,0.878,0.837,0.960,0.947,0.972,1.511
1,fullpred,2,10,3,0.500,0.333,0.900,0.867,0.855,6.644
2,fullpred,2,01,48,0.510,0.354,0.796,0.721,0.855,13.909
3,fullpred,2,11,39,0.551,0.462,0.746,0.677,0.840,11.564
4,fullpred,2,aa,188,0.710,0.628,0.873,0.832,0.913,6.844
